uuid,id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,collegeId,is_latest
5130133_mlb,5130133,mlb,Brody Hopkins,Brody,Hopkins,SP,,False,200.0,76.0,24.0,2002-01-18T08:00Z,0.0,Summerville,SC,United States,,Winthrop,direct,,,,,TB,2026-01-31T10:10:31.396577,2737,1
5131376_mlb,5131376,mlb,Ben Jacobs,Ben,Jacobs,SP,,False,195.0,73.0,21.0,2004-06-11T07:00Z,,Huntington Beach,CA,United States,,Arizona State,direct,,,,,DET,2026-01-31T10:10:31.396577,9,1
5131516_mlb,5131516,mlb,Ethan Hedges,Ethan,Hedges,3B,,False,185.0,73.0,21.0,2004-04-19T07:00Z,,Newport Beach,CA,United States,,USC,direct,,,,,COL,2026-01-31T10:10:31.396577,30,1
5131868_mlb,5131868,mlb,Cam Leiter,Cam,Leiter,SP,,False,234.0,77.0,22.0,2004-01-28T08:00Z,,Tampa,FL,United States,,Florida State,direct,,,,,LAD,2026-01-31T10:10:31.396577,52,1
5132363_mlb,5132363,mlb,Brian Curley,Brian,Curley,P,7,False,212.0,70.0,22.0,2003-06-01T07:00Z,0.0,Midlothian,VA,United States,,Georgia,direct,,,,,ARI,2026-01-31T10:10:31.396577,61,1
5132501_mlb,5132501,mlb,Tanner Thach,Tanner,Thach,1B,,False,225.0,76.0,21.0,2004-03-11T08:00Z,,Edenton,NC,United States,,UNC Wilmington,direct,,,,,COL,2026-01-31T10:10:31.396577,350,1
5132712_mlb,5132712,mlb,Tanner Franklin,Tanner,Franklin,SP,,False,225.0,77.0,21.0,2004-05-25T07:00Z,0.0,Jefferson City,TN,United States,,Tennessee,direct,,,,,STL,2026-01-31T10:10:31.396577,2633,1
5133802_mlb,5133802,mlb,Landon Beidelschies,Landon,Beidelschies,SP,,False,230.0,75.0,21.0,2004-03-28T08:00Z,,Canfield,OH,United States,,Arkansas,direct,,,,,ATL,2026-01-31T10:10:31.396577,8,1
5134147_mlb,5134147,mlb,Carson Pierce,Carson,Pierce,SP,,False,215.0,75.0,24.0,2001-09-10T07:00Z,,Edmond,OK,United States,,Oklahoma,direct,,,,,TOR,2026-01-31T10:10:31.396577,201,1
5149087_mlb,5149087,mlb,Landen Maroudis,Landen,Maroudis,SP,,False,190.0,75.0,21.0,2004-12-16T08:00Z,,,,,,,,,,,,TOR,2026-01-31T10:10:31.396577,,1
5149098_mlb,5149098,mlb,Blake Wolters,Blake,Wolters,SP,,False,210.0,76.0,21.0,2004-10-25T07:00Z,,,,,,,,,,,,KC,2026-01-31T10:10:31.396577,,1
32161_mlb,32161,mlb,Tyler Austin,Tyler,Austin,1B,17,True,220.0,74.0,34.0,1991-09-06T07:00Z,0.0,Conyers,GA,United States,2016.0,,,2010,13,415,NYY,CHC,2026-01-31T10:10:31.396577,,1
5332363_mlb,5332363,mlb,Jase Mitchell,Jase,Mitchell,C,,False,205.0,75.0,19.0,2006-09-30T07:00Z,,Lewes,DE,United States,,,,,,,,HOU,2026-01-31T10:10:31.396577,,1
5327661_mlb,5327661,mlb,Travieso Jesus,Travieso,Jesus,SP,,False,140.0,71.0,,,0.0,Higuerote,,Venezuela,,,,,,,,PIT,2026-01-31T10:10:31.396577,,1
5329585_mlb,5329585,mlb,Sung-Mun Song,Sung-Mun,Song,3B,,True,194.0,72.0,29.0,1996-08-29T07:00Z,0.0,Seoul,,South Korea,,,,,,,,SD,2026-01-31T10:10:31.396577,,1
5330833_mlb,5330833,mlb,Tatsuya Imai,Tatsuya,Imai,SP,45,True,176.0,71.0,27.0,1998-05-09T07:00Z,,,,,,,,,,,,HOU,2026-01-31T10:10:31.396577,,1
5332124_mlb,5332124,mlb,Jose Franco,Jose,Franco,P,,False,257.0,74.0,25.0,2000-11-25T08:00Z,,Maracay,,Venezuela,,,,,,,,CIN,2026-01-31T10:10:31.396577,,1
5332329_mlb,5332329,mlb,C.J. Culpepper,C.J.,Culpepper,P,,False,193.0,75.0,24.0,2001-11-02T08:00Z,,,,,,,,,,,,MIN,2026-01-31T10:10:31.396577,,1
5332330_mlb,5332330,mlb,Tyler Schlaffer,Tyler,Schlaffer,P,,False,180.0,73.0,24.0,2001-05-24T07:00Z,,,,,,,,,,,,CHC,2026-01-31T10:10:31.396577,,1
5332360_mlb,5332360,mlb,Lan-Hong Su,Lan-Hong,Su,P,,False,150.0,73.0,18.0,2007-03-04T08:00Z,,Taipei,,Taiwan,,,,,,,,SD,2026-01-31T10:10:31.396577,,1
5332361_mlb,5332361,mlb,Seong-Jun Kim,Seong-Jun,Kim,SS,,False,185.0,74.0,18.0,2007-05-01T07:00Z,,Gwangju,,South Korea,,,,,,,,TEX,2026-01-31T10:10:31.396577,,1
5332362_mlb,5332362,mlb,Camden Lohman,Camden,Lohman,P,,False,195.0,76.0,19.0,2006-11-05T08:00Z,,O'Fallon,MO,United States,,,,,,,,NYM,2026-01-31T10:10:31.396577,,1
5332364_mlb,5332364,mlb,Luis Valdez,Luis,Valdez,P,,False,158.0,74.0,,,,,,,,,,,,,,TEX,2026-01-31T10:10:31.396577,,1
5278889_mlb,5278889,mlb,Ryan Wideman,Ryan,Wideman,OF,33,False,204.0,77.0,22.0,2003-11-04T08:00Z,3.0,Gijon,,Spain,,Western Kentucky,direct,,,,,SD,2026-01-31T10:10:31.396577,98,1
5332365_mlb,5332365,mlb,Truitt Madonna,Truitt,Madonna,C,,False,215.0,75.0,18.0,2007-03-12T07:00Z,,Seattle,WA,United States,,,,,,,,SD,2026-01-31T10:10:31.396577,,1
5332366_mlb,5332366,mlb,Yordanny Monegro,Yordanny,Monegro,P,,False,180.0,76.0,23.0,2002-10-14T07:00Z,,,,,,,,,,,,BOS,2026-01-31T10:10:31.396577,,1
5332367_mlb,5332367,mlb,Yohemy Nolasco,Yohemy,Nolasco,P,,False,160.0,75.0,22.0,2003-07-12T07:00Z,,,,,,,,,,,,,2026-01-31T10:10:31.396577,,1
5332448_mlb,5332448,mlb,Yorman Gomez,Yorman,Gomez,SP,95,True,200.0,71.0,23.0,2002-11-10T08:00Z,0.0,Coro,,Venezuela,,,,,,,,CLE,2026-01-31T10:10:31.396577,,1
5332610_mlb,5332610,mlb,Matt Barr,Matt,Barr,P,,False,195.0,78.0,20.0,2006-01-16T08:00Z,,Buffalo,NY,United States,,,,,,,,MIN,2026-01-31T10:10:31.396577,,1
5332611_mlb,5332611,mlb,CJ Gray,CJ,Gray,P,,False,205.0,74.0,19.0,2007-01-25T08:00Z,,Kannapolis,NC,United States,,,,,,,,LAA,2026-01-31T10:10:31.396577,,1
5332612_mlb,5332612,mlb,Anthony Millan,Anthony,Millan,OF,,False,170.0,71.0,17.0,2008-05-13T07:00Z,,Puerto la Cruz,,Venezuela,,,,,,,,HOU,2026-01-31T10:10:31.396577,,1
5332613_mlb,5332613,mlb,Juan Tomas,Juan,Tomas,SS,,False,177.0,74.0,18.0,2007-11-28T08:00Z,,Neyba,,Dominican Republic,,,,,,,,CHC,2026-01-31T10:10:31.396577,,1
5332622_mlb,5332622,mlb,Harold Rivas,Harold,Rivas,OF,,False,177.0,74.0,17.0,2008-05-10T07:00Z,,Barcelona,,Venezuela,,,,,,,,BOS,2026-01-31T10:10:31.396577,,1
5282794_mlb,5282794,mlb,Nick Dumesnil,Nick,Dumesnil,CF,22,False,210.0,74.0,21.0,2004-03-27T08:00Z,,Newport Beach,CA,United States,,California Baptist,direct,,,,,DET,2026-01-31T10:10:31.396577,2856,1
5270519_mlb,5270519,mlb,Core Jackson,Core,Jackson,SS,10,False,190.0,74.0,22.0,2003-10-11T07:00Z,,,,,,Utah,direct,,,,,NYY,2026-01-31T10:10:31.396577,254,1
5149100_mlb,5149100,mlb,Cole Schoenwetter,Cole,Schoenwetter,SP,,False,190.0,75.0,21.0,2004-10-01T07:00Z,,,,,,,,,,,,CIN,2026-01-31T10:10:31.396577,,1
5218349_mlb,5218349,mlb,Joey Oakie,Joey,Oakie,SP,,False,200.0,75.0,19.0,2006-05-09T07:00Z,,,,,,,,,,,,CLE,2026-01-31T10:10:31.396577,,1
5199142_mlb,5199142,mlb,Herick Hernandez,Herick,Hernandez,SP,,False,205.0,70.0,22.0,2003-08-11T07:00Z,,Hialeah,FL,United States,,Miami,direct,,,,,ATL,2026-01-31T10:10:31.396577,2390,1
5199357_mlb,5199357,mlb,Jakob Wright,Jakob,Wright,SP,,False,170.0,72.0,22.0,2003-05-30T07:00Z,0.0,Baldwin Park,CA,United States,,Cal Poly,direct,,,,,LAD,2026-01-31T10:10:31.396577,13,1
5199622_mlb,5199622,mlb,Malachi Witherspoon,Malachi,Witherspoon,SP,,False,211.0,75.0,21.0,2004-08-12T07:00Z,0.0,Kansas City,MO,United States,,Oklahoma,direct,,,,,DET,2026-01-31T10:10:31.396577,201,1
5202241_mlb,5202241,mlb,Lorenzo Meola,Lorenzo,Meola,SS,,False,172.0,71.0,22.0,2003-12-17T08:00Z,,Green Brook,NJ,United States,,Stetson,direct,,,,,SF,2026-01-31T10:10:31.396577,56,1
5202728_mlb,5202728,mlb,LP Langevin,LP,Langevin,P,,False,225.0,74.0,22.0,2003-07-04T07:00Z,,Quebec City,PQ,Canada,,Louisiana,direct,,,,,KC,2026-01-31T10:10:31.396577,309,1
5204145_mlb,5204145,mlb,Jason Reitz,Jason,Reitz,SP,,False,215.0,83.0,21.0,2004-07-23T07:00Z,,San Jose,CA,United States,,Oregon,direct,,,,,MIN,2026-01-31T10:10:31.396577,2483,1
5214006_mlb,5214006,mlb,Murf Gray,Murf,Gray,3B,,False,230.0,76.0,22.0,2003-12-30T08:00Z,0.0,Madera,CA,United States,,Fresno State,direct,,,,,PIT,2026-01-31T10:10:31.396577,278,1
5218301_mlb,5218301,mlb,Wyatt Sanford,Wyatt,Sanford,SS,,False,175.0,73.0,20.0,2005-11-24T08:00Z,,,,,,,,,,,,PIT,2026-01-31T10:10:31.396577,,1
5218347_mlb,5218347,mlb,David Shields,David,Shields,SP,,False,210.0,74.0,19.0,2006-09-09T07:00Z,,,,,,,,,,,,KC,2026-01-31T10:10:31.396577,,1
5218351_mlb,5218351,mlb,Luke Dickerson,Luke,Dickerson,SS,,False,197.0,71.0,20.0,2005-08-09T07:00Z,,,,,,,,,,,,WSH,2026-01-31T10:10:31.396577,,1
5269438_mlb,5269438,mlb,Cade Crossland,Cade,Crossland,P,23,False,210.0,74.0,21.0,2004-02-01T08:00Z,0.0,Rowlett,TX,United States,,Oklahoma,direct,,,,,STL,2026-01-31T10:10:31.396577,201,1
5218352_mlb,5218352,mlb,Bryce Meccage,Bryce,Meccage,SP,,False,210.0,76.0,19.0,2006-03-21T08:00Z,,,,,,,,,,,,MIL,2026-01-31T10:10:31.396577,,1
5218353_mlb,5218353,mlb,Dasan Hill,Dasan,Hill,SP,,False,165.0,77.0,20.0,2005-12-25T08:00Z,,,,,,,,,,,,MIN,2026-01-31T10:10:31.396577,,1
5218355_mlb,5218355,mlb,Griffin Burkholder,Griffin,Burkholder,CF,,False,195.0,74.0,20.0,2005-08-30T07:00Z,,,,,,,,,,,,PHI,2026-01-31T10:10:31.396577,,1
5218361_mlb,5218361,mlb,Owen Hall,Owen,Hall,SP,,False,185.0,75.0,20.0,2005-11-14T08:00Z,,,,,,,,,,,,DET,2026-01-31T10:10:31.396577,,1
5218369_mlb,5218369,mlb,Ethan Schiefelbein,Ethan,Schiefelbein,SP,,False,180.0,74.0,19.0,2006-04-11T07:00Z,,,,,,,,,,,,DET,2026-01-31T10:10:31.396577,,1
5218375_mlb,5218375,mlb,Chase Harlan,Chase,Harlan,3B,,False,205.0,75.0,19.0,2006-07-09T07:00Z,,,,,,,,,,,,LAD,2026-01-31T10:10:31.396577,,1
5267815_mlb,5267815,mlb,Griffin Hugus,Griffin,Hugus,P,,False,210.0,73.0,21.0,2004-02-25T08:00Z,,Wellington,FL,United States,,Miami,direct,,,,,SEA,2026-01-31T10:10:31.396577,2390,1
5268316_mlb,5268316,mlb,Antonio Jimenez,Antonio,Jimenez,SS,,False,200.0,73.0,21.0,2004-06-15T07:00Z,,Hialeah,FL,United States,,UCF,direct,,,,,NYM,2026-01-31T10:10:31.396577,2116,1
5268956_mlb,5268956,mlb,Sean Youngerman,Sean,Youngerman,P,33,False,230.0,75.0,21.0,2004-07-09T07:00Z,,Valencia,CA,United States,,Oklahoma State,direct,,,,,PHI,2026-01-31T10:10:31.396577,197,1
5128557_mlb,5128557,mlb,Jared Jones,Jared,Jones,1B,,False,246.0,76.0,22.0,2003-08-01T07:00Z,,Marietta,GA,United States,,LSU,direct,,,,,PIT,2026-01-31T10:10:31.396577,99,1
5128553_mlb,5128553,mlb,Ethan Frey,Ethan,Frey,CF,,False,225.0,78.0,21.0,2004-03-15T08:00Z,,Rosepine,LA,United States,,LSU,direct,,,,,HOU,2026-01-31T10:10:31.396577,99,1
5128552_mlb,5128552,mlb,Micah Bucknam,Micah,Bucknam,P,27,False,212.0,73.0,22.0,2003-08-26T07:00Z,,Abbotsford,BC,Canada,,Dallas Baptist,direct,,,,,TOR,2026-01-31T10:10:31.396577,514,1
4718801_mlb,4718801,mlb,Caden Grice,Caden,Grice,P,,False,250.0,78.0,23.0,2002-06-15T07:00Z,,Greer,SC,United States,,Clemson,direct,,,,,ARI,2026-01-31T10:10:31.396577,228,1
4620709_mlb,4620709,mlb,Ramsey David,Ramsey,David,RP,,False,195.0,75.0,24.0,2001-02-08T08:00Z,,Atlanta,GA,United States,,Auburn,direct,,,,,HOU,2026-01-31T10:10:31.396577,2,1
4620716_mlb,4620716,mlb,Hayden Mullins,Hayden,Mullins,P,,False,194.0,72.0,25.0,2000-09-14T07:00Z,,Gallatin,TN,United States,,Auburn,direct,,,,,BOS,2026-01-31T10:10:31.396577,2,1
4621681_mlb,4621681,mlb,Reese Sharp,Reese,Sharp,P,,False,220.0,75.0,25.0,2000-08-07T07:00Z,,Noblesville,IN,United States,,Indiana,direct,,,,,,2026-01-31T10:10:31.396577,84,1
4622146_mlb,4622146,mlb,Riley Cornelio,Riley,Cornelio,P,,False,195.0,75.0,25.0,2000-06-06T07:00Z,,Honolulu,HI,United States,,TCU,direct,,,,,WSH,2026-01-31T10:10:31.396577,2628,1
4635316_mlb,4635316,mlb,Jake Miller,Jake,Miller,SP,,False,185.0,74.0,24.0,2001-06-27T07:00Z,,Suffern,NY,United States,,Valparaiso,direct,,,,,DET,2026-01-31T10:10:31.396577,2674,1
4635685_mlb,4635685,mlb,Tyler Uberstine,Tyler,Uberstine,P,28,False,200.0,73.0,26.0,1999-06-01T07:00Z,,Santa Monica,CA,United States,,Northwestern,direct,,,,,BOS,2026-01-31T10:10:31.396577,77,1
4637754_mlb,4637754,mlb,Dylan Ross,Dylan,Ross,RP,,False,251.0,77.0,25.0,2000-09-01T07:00Z,,Statesboro,GA,United States,,Georgia,direct,,,,,NYM,2026-01-31T10:10:31.396577,61,1
4654024_mlb,4654024,mlb,Jake Bennett,Jake,Bennett,SP,,False,234.0,78.0,25.0,2000-12-02T08:00Z,,Bixby,OK,United States,,Oklahoma,direct,,,,,BOS,2026-01-31T10:10:31.396577,201,1
4718748_mlb,4718748,mlb,Grant Knipp,Grant,Knipp,C,,False,220.0,74.0,24.0,2001-11-29T08:00Z,,Louisville,KY,United States,,Campbell,direct,,,,,SEA,2026-01-31T10:10:31.396577,2097,1
4718838_mlb,4718838,mlb,Will Sanders,Will,Sanders,P,,False,230.0,78.0,23.0,2002-03-30T08:00Z,,Atlanta,GA,United States,,South Carolina,direct,,,,,CHC,2026-01-31T10:10:31.396577,2579,1
4338265_mlb,4338265,mlb,Nick Krall,Nick,Krall,UN,,True,,,,,,,,,,,,,,,,,2026-01-31T10:10:31.396577,,1
4718925_mlb,4718925,mlb,Kade Snell,Kade,Snell,LF,,False,220.0,73.0,23.0,2002-07-29T07:00Z,,Dothan,AL,United States,,Alabama,direct,,,,,CHC,2026-01-31T10:10:31.396577,333,1
4719344_mlb,4719344,mlb,Alejandro Rosario,Alejandro,Rosario,P,,False,182.0,73.0,24.0,2002-01-06T08:00Z,,Miami,FL,United States,,Miami,direct,,,,,TEX,2026-01-31T10:10:31.396577,2390,1
4719479_mlb,4719479,mlb,Jackson Nezuh,Jackson,Nezuh,SP,,False,190.0,73.0,23.0,2002-02-11T08:00Z,,St. Cloud,FL,United States,,Louisiana,direct,,,,,HOU,2026-01-31T10:10:31.396577,309,1
4719513_mlb,4719513,mlb,Garrett Edwards,Garrett,Edwards,SP,,False,218.0,77.0,24.0,2002-01-03T08:00Z,,Leesville,LA,United States,,LSU,direct,,,,,TB,2026-01-31T10:10:31.396577,99,1
4721046_mlb,4721046,mlb,Levi Wells,Levi,Wells,P,,False,216.0,74.0,24.0,2001-09-21T07:00Z,,La Porte,TX,United States,,Texas State,direct,,,,,BAL,2026-01-31T10:10:31.396577,326,1
4723140_mlb,4723140,mlb,Hunter Owen,Hunter,Owen,SP,,False,261.0,78.0,24.0,2002-01-30T08:00Z,,South Portland,ME,United States,,Vanderbilt,direct,,,,,KC,2026-01-31T10:10:31.396577,238,1
4723544_mlb,4723544,mlb,Wyatt Hudepohl,Wyatt,Hudepohl,SP,,False,220.0,76.0,24.0,2001-09-25T07:00Z,,Mason,OH,United States,,Charlotte,direct,,,,,NYM,2026-01-31T10:10:31.396577,2429,1
4736801_mlb,4736801,mlb,Cade Kuehler,Cade,Kuehler,SP,,False,215.0,72.0,23.0,2002-05-24T07:00Z,,Waxhaw,NC,United States,,Campbell,direct,,,,,ATL,2026-01-31T10:10:31.396577,2097,1
4740108_mlb,4740108,mlb,Tanner Hall,Tanner,Hall,SP,,False,186.0,73.0,23.0,2002-03-18T08:00Z,,Zachary,LA,United States,,Southern Miss,direct,,,,,MIN,2026-01-31T10:10:31.396577,2572,1
4414012_mlb,4414012,mlb,Christian MacLeod,Christian,MacLeod,P,43,False,227.0,76.0,25.0,2000-04-12T07:00Z,,Huntsville,AL,United States,,Mississippi State,direct,,,,,MIN,2026-01-31T10:10:31.396577,344,1
4078701_mlb,4078701,mlb,Jeff Pickler,Jeff,Pickler,UN,,True,,,,,,,,,,,,,,,,,2026-01-31T10:10:31.396577,,1
5080781_mlb,5080781,mlb,Karson Milbrandt,Karson,Milbrandt,SP,83,False,190.0,74.0,21.0,2004-04-21T07:00Z,0.0,Liberty,MO,United States,,,,,,,,MIA,2026-01-31T10:10:31.396577,,1
2324962_mlb,2324962,mlb,Walt Jocketty,Walt,Jocketty,UN,,True,,,,,,,,,,,,,,,,,2026-01-31T10:10:31.396577,,1
36015_mlb,36015,mlb,Lupe Chavez,Lupe,Chavez,UN,,False,150.0,74.0,28.0,1997-12-03T08:00Z,,Sinaloa,,Mexico,,,,,,,,HOU,2026-01-31T10:10:31.396577,,1
39858_mlb,39858,mlb,Eiker Huizi,Eiker,Huizi,P,,False,155.0,72.0,25.0,2000-09-24T07:00Z,0.0,Caracas,,Venezuela,,,,,,,,WSH,2026-01-31T10:10:31.396577,,1
2213622_mlb,2213622,mlb,Jose Leger,Jose,Leger,UN,,False,175.0,70.0,,,,,,,,,,,,,,,2026-01-31T10:10:31.396577,,1
