"age","years_exp","stats_id","birth_country","competitions","college","full_name","birth_date","practice_participation","depth_chart_position","rotoworld_id","pandascore_id","rotowire_id","active","fantasy_data_id","team","birth_state","weight","opta_id","search_rank","fantasy_positions","status","injury_body_part","sport","injury_notes","high_school","sportradar_id","team_changed_at","first_name","yahoo_id","gsis_id","kalshi_id","birth_city","swish_id","metadata","last_name","hashtag","search_first_name","depth_chart_order","injury_status","position","news_updated","player_id","practice_description","oddsjam_id","team_abbr","search_last_name","height","number","search_full_name","injury_start_date","espn_id","dupes"
NA,NA,NA,NA,"[]","Michigan State","Lucas Van Vliet",NA,NA,NA,NA,NA,NA,"True",NA,"VGK",NA,178,NA,NA,"","UDP",NA,"nhl",NA,NA,"337f04b8-9e9c-485f-8aa3-2d94f3b215e7",NA,"Lucas",NA,NA,NA,NA,NA,"{'birth_date': '2006-01-25', 'birth_place': 'Livonia, MI, USA', 'college': 'Michigan State', 'draft_pick': '197', 'draft_round': '7', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}","Van Vliet","#lucasvanvliet-NHL-VGK","lucas",NA,NA,"LW",NA,"3374",NA,NA,NA,"vanvliet",74,NA,"lucasvanvliet",NA,NA,1
NA,NA,NA,NA,"[]","","Kasper Halttunen",NA,NA,NA,NA,NA,NA,"True",NA,"SJ",NA,205,NA,NA,"","ACT",NA,"nhl",NA,NA,"4296e99b-75bd-456b-89d2-b61ce57418ac",NA,"Kasper",NA,NA,NA,NA,9015384,"{'birth_date': '2005-06-07', 'birth_place': 'Helsinki,, FIN', 'channel_id': '1274484223717150720', 'college': '', 'draft_pick': '36', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}","Halttunen","#kasperhalttunen-NHL-SJ-14","kasper",NA,NA,"RW",NA,"1982",NA,NA,NA,"halttunen",75,14,"kasperhalttunen",NA,5149223,1
NA,NA,NA,NA,"[]","","Jett Woo",NA,NA,NA,NA,NA,NA,"True",NA,"VAN",NA,205,NA,NA,"","ACT",NA,"nhl",NA,NA,"d7a9f3bc-7344-45c9-a226-175d414907d0",NA,"Jett",NA,NA,NA,NA,9013121,"{'birth_date': '2000-07-27', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1274242673800130560', 'college': '', 'draft_pick': '37', 'draft_round': '2', 'draft_year': '2018', 'high_school': '', 'rookie_year': ''}","Woo","#jettwoo-NHL-VAN-4","jett",NA,NA,"D",NA,"1907",NA,NA,NA,"woo",72,4,"jettwoo",NA,4378666,1
NA,NA,NA,NA,"[]","","Hagen Burrows",NA,NA,NA,NA,NA,NA,"True",NA,"TB",NA,174,NA,NA,"","UDP",NA,"nhl",NA,NA,"1fe7b9fc-6689-4053-adb5-132e45726b96",NA,"Hagen",NA,NA,NA,NA,NA,"{'birth_date': '2005-10-13', 'birth_place': 'Plymouth, MN, USA', 'college': '', 'draft_pick': '128', 'draft_round': '4', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}","Burrows","#hagenburrows-NHL-TB","hagen",NA,NA,"RW",NA,"3342",NA,NA,NA,"burrows",74,NA,"hagenburrows",NA,NA,1
NA,8,NA,NA,"[]","Minnesota","Nick Seeler",NA,NA,NA,NA,NA,NA,"True",NA,"PHI",NA,197,NA,NA,"","ACT",NA,"nhl",NA,NA,"5cc3cbb7-619c-466b-a845-fdce5d0c403d",NA,"Nick",NA,NA,NA,NA,9000873,"{'birth_date': '1993-06-03', 'birth_place': 'Eden Prairie, MN, USA', 'channel_id': '1157131242420850688', 'college': 'Minnesota', 'draft_pick': '131', 'draft_round': '5', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2017'}","Seeler","#nickseeler-NHL-PHI-24","nick",NA,NA,"D",NA,"1684",NA,NA,NA,"seeler",75,24,"nickseeler",NA,2564164,1
NA,NA,NA,NA,"[]","","Henry Mews",NA,NA,NA,NA,NA,NA,"True",NA,"CGY",NA,181,NA,NA,"","ACT",NA,"nhl",NA,NA,"c6afdeea-c191-49bc-afcc-07e63c0df967",NA,"Henry",NA,NA,NA,NA,9024946,"{'birth_date': '2006-03-09', 'birth_place': 'Ottawa, ON, CAN', 'college': '', 'draft_pick': '74', 'draft_round': '3', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}","Mews","#henrymews-NHL-CGY-53","henry",NA,NA,"D",NA,"3268",NA,NA,NA,"mews",72,53,"henrymews",NA,5238044,1
NA,NA,NA,NA,"[]","","Nathan Staios",NA,NA,NA,NA,NA,NA,"True",NA,"FLA",NA,170,NA,NA,"","ACT",NA,"nhl",NA,NA,"59941ed7-b52f-4294-bd82-863db0e0551b",NA,"Nathan",NA,NA,NA,NA,9014814,"{'birth_date': '2001-05-17', 'birth_place': 'Atlanta, GA, USA', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}","Staios","#nathanstaios-NHL-FLA-61","nathan",NA,NA,"D",NA,"3561",NA,NA,NA,"staios",68,61,"nathanstaios",NA,4588740,1
NA,NA,NA,NA,"[]","","Oskar Vuollet",NA,NA,NA,NA,NA,NA,"True",NA,"CAR",NA,173,NA,NA,"","UDP",NA,"nhl",NA,NA,"df7e8d98-1b4e-4be5-a187-5cd916d8842b",NA,"Oskar",NA,NA,NA,NA,NA,"{'birth_date': '2005-12-03', 'birth_place': 'Skelleftea,, SWE', 'college': '', 'draft_pick': '133', 'draft_round': '5', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}","Vuollet","#oskarvuollet-NHL-CAR","oskar",NA,NA,"LW",NA,"3356",NA,NA,NA,"vuollet",71,NA,"oskarvuollet",NA,NA,1
NA,NA,NA,NA,"[]","","Andrei Loshko",NA,NA,NA,NA,NA,NA,"True",NA,"SEA",NA,172,NA,NA,"","ACT",NA,"nhl",NA,NA,"533edd92-34fd-4774-9350-cb6b23fc466f",NA,"Andrei",NA,NA,NA,NA,9015398,"{'birth_date': '2004-10-07', 'birth_place': 'Zhlobin,, BLR', 'channel_id': '1274605052547309568', 'college': '', 'draft_pick': '116', 'draft_round': '4', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}","Loshko","#andreiloshko-NHL-SEA-70","andrei",NA,NA,"C",NA,"2023",NA,NA,NA,"loshko",73,70,"andreiloshko",NA,5188619,1
NA,3,NA,NA,"[]","","Jakub Lauko",NA,NA,NA,NA,NA,NA,"True",NA,"BOS",NA,193,NA,NA,"","ACT",NA,"nhl",NA,NA,"a74c2fe3-5399-4800-b77a-2482d49779d4",NA,"Jakub",NA,NA,NA,NA,9012642,"{'birth_date': '2000-03-28', 'birth_place': 'Prague,, CZE', 'channel_id': '1157131035754909696', 'college': '', 'draft_pick': '77', 'draft_round': '3', 'draft_year': '2018', 'high_school': '', 'rookie_year': '2022'}","Lauko","#jakublauko-NHL-BOS-94","jakub",NA,NA,"C",NA,"1461",NA,NA,NA,"lauko",73,94,"jakublauko",NA,4391789,1
NA,NA,NA,NA,"[]","","Tristan Allard",NA,NA,NA,NA,NA,NA,"True",NA,"TB",NA,196,NA,NA,"","ACT",NA,"nhl",NA,NA,"2b6e4439-08ea-479e-9e52-b5acb2d94bf5",NA,"Tristan",NA,NA,NA,NA,9015611,"{'birth_date': '2002-06-23', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1274182274144796672', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}","Allard","#tristanallard-NHL-TB-13","tristan",NA,NA,"LW",NA,"2481",NA,NA,NA,"allard",74,13,"tristanallard",NA,5173620,1
NA,NA,NA,NA,"[]","","Ty Henricks",NA,NA,NA,NA,NA,NA,"True",NA,"NYR",NA,205,NA,NA,"","NWT",NA,"nhl",NA,NA,"e9ee8877-a7ec-4523-8ada-8bfc5816c443",NA,"Ty",NA,NA,NA,NA,NA,"{'birth_date': '2005-06-28', 'birth_place': 'Mission Viejo, CA, USA', 'college': '', 'draft_pick': '183', 'draft_round': '6', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}","Henricks","#tyhenricks-NHL-NYR","ty",NA,NA,"LW",NA,"2125",NA,NA,NA,"henricks",77,NA,"tyhenricks",NA,NA,1
NA,5,NA,NA,"[]","","Parker Kelly",NA,NA,NA,NA,NA,NA,"True",NA,"COL",NA,185,NA,NA,"","ACT",NA,"nhl",NA,NA,"4e64c03f-d335-44e5-b6ec-f1d3d3b567ba",NA,"Parker",NA,NA,NA,NA,9012269,"{'birth_date': '1999-05-14', 'birth_place': 'Camrose, AB, CAN', 'channel_id': '1157131000422092800', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}","Kelly","#parkerkelly-NHL-COL-17","parker",NA,NA,"C",NA,"1510",NA,NA,NA,"kelly",73,17,"parkerkelly",NA,4392309,1
NA,1,NA,NA,"[]","","Juha Jaaska",NA,NA,NA,NA,NA,NA,"True",NA,"CAR",NA,210,NA,NA,"","ACT",NA,"nhl",NA,NA,"6e1c8be0-d858-4c3f-ae8d-b35dd83d939f",NA,"Juha",NA,NA,NA,NA,9024856,"{'birth_date': '1998-02-09', 'birth_place': 'Helsinki,, FIN', 'channel_id': '1180338839537864704', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2024'}","Jaaska","#juhajaaska-NHL-CAR-54","juha",NA,NA,"LW",NA,"3620",NA,NA,NA,"jaaska",72,54,"juhajaaska",NA,5209443,1
NA,NA,NA,NA,"[]","","Felix Nilsson",NA,NA,NA,NA,NA,NA,"True",NA,"NSH",NA,176,NA,NA,"","NWT",NA,"nhl",NA,NA,"33bea9b3-7379-4870-8f19-3dd1cfee6c31",NA,"Felix",NA,NA,NA,NA,NA,"{'birth_date': '2005-06-22', 'birth_place': 'Stockholm,, SWE', 'college': '', 'draft_pick': '43', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}","Nilsson","#felixnilsson-NHL-NSH","felix",NA,NA,"C",NA,"1995",NA,NA,NA,"nilsson",72,NA,"felixnilsson",NA,5149230,1
NA,5,NA,NA,"[]","Clarkson","Joshua Dunne",NA,NA,NA,NA,NA,NA,"True",NA,"BUF",NA,211,NA,NA,"","ACT",NA,"nhl",NA,NA,"3ba4b013-33d3-4963-adae-d0e62e4b1812",NA,"Joshua",NA,NA,NA,NA,9014002,"{'birth_date': '1998-12-08', 'birth_place': ""O'Fallon, MO, USA"", 'channel_id': '1203954589280243712', 'college': 'Clarkson', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}","Dunne","#joshuadunne-NHL-BUF-44","joshua",NA,NA,"C",NA,"1914",NA,NA,NA,"dunne",76,44,"joshuadunne",NA,NA,1
NA,12,NA,NA,"[]","UMass Lowell","Chad Ruhwedel",NA,NA,NA,NA,NA,NA,"True",NA,"NYR",NA,189,NA,NA,"","ACT",NA,"nhl",NA,NA,"92ad3a04-a468-11e2-a01b-f4ce4684ea4c",NA,"Chad",NA,NA,NA,NA,8477244,"{'birth_date': '1990-05-07', 'birth_place': 'San Diego, CA, USA', 'channel_id': '1162823525535330304', 'college': 'UMass Lowell', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2012'}","Ruhwedel","#chadruhwedel-NHL-NYR-5","chad",NA,NA,"D",NA,"1711",NA,NA,NA,"ruhwedel",71,5,"chadruhwedel",NA,3024837,1
NA,NA,NA,NA,"[]","Harvard","Jack Bar",NA,NA,NA,NA,NA,NA,"True",NA,"SJ",NA,210,NA,NA,"","ACT",NA,"nhl",NA,NA,"bba2a007-df73-41c2-8168-7f6d6f240e91",NA,"Jack",NA,NA,NA,NA,NA,"{'birth_date': '2002-10-24', 'birth_place': 'Newmarket, ON, CAN', 'channel_id': '1274484200585564160', 'college': 'Harvard', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2021', 'high_school': '', 'rookie_year': ''}","Bar","#jackbar-NHL-SJ-98","jack",NA,NA,"D",NA,"4038",NA,NA,NA,"bar",74,98,"jackbar",NA,4997146,1
NA,7,NA,NA,"[]","","Roope Hintz",NA,NA,NA,NA,NA,NA,"True",NA,"DAL",NA,213,NA,NA,"","ACT",NA,"nhl",NA,NA,"2f613430-45b9-462c-bd6a-cded28a7f8af",NA,"Roope",NA,NA,NA,NA,9012321,"{'birth_date': '1996-11-17', 'birth_place': 'Nokia,, FIN', 'channel_id': '1157130952200179712', 'college': '', 'draft_pick': '49', 'draft_round': '2', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2018'}","Hintz","#roopehintz-NHL-DAL-24","roope",NA,NA,"C",NA,"1148",NA,NA,NA,"hintz",75,24,"roopehintz",NA,3904183,1
NA,12,NA,NA,"[]","","Vincent Trocheck",NA,NA,NA,NA,NA,NA,"True",NA,"NYR",NA,188,NA,NA,"","ACT",NA,"nhl",NA,NA,"16bf9f68-95f9-4789-a811-80fe6838e632",NA,"Vincent",NA,NA,NA,NA,8476389,"{'birth_date': '1993-07-11', 'birth_place': 'Pittsburgh, PA, USA', 'channel_id': '1157131220555943936', 'college': '', 'draft_pick': '64', 'draft_round': '3', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2013'}","Trocheck","#vincenttrocheck-NHL-NYR-16","vincent",NA,NA,"C",NA,"1649",NA,NA,NA,"trocheck",71,16,"vincenttrocheck",NA,2563036,1
NA,NA,NA,NA,"[]","","Michael Misa",NA,NA,NA,NA,NA,NA,"True",NA,"SJ",NA,185,NA,NA,"","ACT",NA,"nhl",NA,NA,"7573b389-d401-4e8d-9feb-195f293092ec",NA,"Michael",NA,NA,NA,NA,NA,"{'birth_date': '2007-02-16', 'birth_place': 'Oakville, ON, CAN', 'channel_id': '1244526798495039488', 'college': '', 'draft_pick': '2', 'draft_round': '1', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}","Misa","#michaelmisa-NHL-SJ-77","michael",NA,NA,"C",NA,"3730",NA,NA,NA,"misa",73,77,"michaelmisa",NA,5291934,1
NA,NA,NA,NA,"[]","","Matt Lahey",NA,NA,NA,NA,NA,NA,"True",NA,"TOR",NA,203,NA,NA,"","ACT",NA,"nhl",NA,NA,"8dd20ae1-45e7-4291-95b9-5fa0d87ece2d",NA,"Matt",NA,NA,NA,NA,9025075,"{'birth_date': '2006-07-17', 'birth_place': 'Victoria, BC, CAN', 'college': '', 'draft_pick': '200', 'draft_round': '7', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}","Lahey","#mattlahey-NHL-TOR","matt",NA,NA,"D",NA,"3414",NA,NA,NA,"lahey",77,NA,"mattlahey",NA,NA,1
NA,18,NA,NA,"[]","Wisconsin","Joe Pavelski",NA,NA,NA,NA,NA,NA,"True",NA,"DAL",NA,200,NA,NA,"","ACT",NA,"nhl",NA,NA,"428e37b4-0f24-11e2-8525-18a905767e44",NA,"Joe",NA,NA,NA,NA,8470794,"{'birth_date': '1984-07-11', 'birth_place': 'Plover, WI, USA', 'college': 'Wisconsin', 'draft_pick': '205', 'draft_round': '7', 'draft_year': '2003', 'high_school': '', 'rookie_year': '2006'}","Pavelski","#joepavelski-NHL-DAL-16","joe",NA,NA,"C",NA,"1150",NA,NA,NA,"pavelski",71,16,"joepavelski",NA,NA,1
NA,4,NA,NA,"[]","","Seth Jarvis",NA,NA,NA,NA,NA,NA,"True",NA,"CAR",NA,184,NA,NA,"","ACT",NA,"nhl",NA,NA,"651605ef-de59-41bf-b66c-9806f1ea9162",NA,"Seth",NA,NA,NA,NA,9013524,"{'birth_date': '2002-02-01', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1157131313560440832', 'college': '', 'draft_pick': '13', 'draft_round': '1', 'draft_year': '2020', 'high_school': '', 'rookie_year': '2021'}","Jarvis","#sethjarvis-NHL-CAR-24","seth",NA,NA,"C",NA,"1813",NA,NA,NA,"jarvis",70,24,"sethjarvis",NA,4697396,1
NA,2,NA,NA,"[]","","Luke Philp",NA,NA,NA,NA,NA,NA,"True",NA,"WSH",NA,181,NA,NA,"","ACT",NA,"nhl",NA,NA,"d5bc6dd3-62d7-495d-af1b-41fe17d0d025",NA,"Luke",NA,NA,NA,NA,9000575,"{'birth_date': '1995-11-06', 'birth_place': 'Canmore, AB, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2022'}","Philp","#lukephilp-NHL-WSH-64","luke",NA,NA,"C",NA,"2330",NA,NA,NA,"philp",70,64,"lukephilp",NA,4064872,1
NA,1,NA,NA,"[]","","Topias Vilen",NA,NA,NA,NA,NA,NA,"True",NA,"NJ",NA,194,NA,NA,"","ACT",NA,"nhl",NA,NA,"8abe3899-6c15-47a8-9039-e09acc134051",NA,"Topias",NA,NA,NA,NA,9014248,"{'birth_date': '2003-04-01', 'birth_place': 'Lahti,, FIN', 'channel_id': '1221213263354675200', 'college': '', 'draft_pick': '129', 'draft_round': '5', 'draft_year': '2021', 'high_school': '', 'rookie_year': '2024'}","Vilen","#topiasvilen-NHL-NJ-38","topias",NA,NA,"D",NA,"1609",NA,NA,NA,"vilen",73,38,"topiasvilen",NA,5103595,1
NA,NA,NA,NA,"[]","North Dakota","Sam Laurila",NA,NA,NA,NA,NA,NA,"True",NA,"NYI",NA,184,NA,NA,"","UDP",NA,"nhl",NA,NA,"2f974048-033b-4370-9792-ae529e15bbb4",NA,"Sam",NA,NA,NA,NA,NA,"{'birth_date': '2006-09-02', 'birth_place': 'Moorhead, MN, USA', 'channel_id': '1244828843366174720', 'college': 'North Dakota', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}","Laurila","#samlaurila-NHL-NYI","sam",NA,NA,"D",NA,"3916",NA,NA,NA,"laurila",72,NA,"samlaurila",NA,NA,1
NA,NA,NA,NA,"[]","","Jan Bednar",NA,NA,NA,NA,NA,NA,"True",NA,"DET",NA,199,NA,NA,"","ACT",NA,"nhl",NA,NA,"3f5717d5-d9d2-47c6-828f-0be36b70154f",NA,"Jan",NA,NA,NA,NA,9013693,"{'birth_date': '2002-08-26', 'birth_place': 'Rokycany,, CZE', 'college': '', 'draft_pick': '107', 'draft_round': '4', 'draft_year': '2020', 'high_school': '', 'rookie_year': ''}","Bednar","#janbednar-NHL-DET-60","jan",NA,NA,"G",NA,"2854",NA,NA,NA,"bednar",76,60,"janbednar",NA,NA,1
NA,NA,NA,NA,"[]","","Kaleb Lawrence",NA,NA,NA,NA,NA,NA,"True",NA,"LA",NA,225,NA,NA,"","ACT",NA,"nhl",NA,NA,"ec9a330a-4881-4894-9caf-b2bac00d84eb",NA,"Kaleb",NA,NA,NA,NA,9014609,"{'birth_date': '2003-01-10', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1274605122013372416', 'college': '', 'draft_pick': '215', 'draft_round': '7', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}","Lawrence","#kaleblawrence-NHL-LA-88","kaleb",NA,NA,"C",NA,"3060",NA,NA,NA,"lawrence",78,88,"kaleblawrence",NA,5188568,1
NA,7,NA,NA,"[]","","Jacob Larsson",NA,NA,NA,NA,NA,NA,"True",NA,"OTT",NA,193,NA,NA,"","ACT",NA,"nhl",NA,NA,"173965fc-fe2c-40fe-8b4d-acacbc161d64",NA,"Jacob",NA,NA,NA,NA,9000759,"{'birth_date': '1997-04-29', 'birth_place': 'Ljungby,, SWE', 'college': '', 'draft_pick': '27', 'draft_round': '1', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2016'}","Larsson","#jacoblarsson-NHL-OTT-32","jacob",NA,NA,"D",NA,"2109",NA,NA,NA,"larsson",74,32,"jacoblarsson",NA,NA,1
NA,17,NA,NA,"[]","","Nicklas Backstrom",NA,NA,NA,NA,NA,NA,"True",NA,"WSH",NA,202,NA,NA,"","IR",NA,"nhl",NA,NA,"434b2df5-0f24-11e2-8525-18a905767e44",NA,"Nicklas",NA,NA,NA,NA,8473563,"{'birth_date': '1987-11-23', 'birth_place': 'Gavle,, SWE', 'channel_id': '1157131283051073536', 'college': '', 'draft_pick': '4', 'draft_round': '1', 'draft_year': '2006', 'high_school': '', 'rookie_year': '2007'}","Backstrom","#nicklasbackstrom-NHL-WSH-19","nicklas",NA,NA,"C",NA,"1749",NA,NA,NA,"backstrom",73,19,"nicklasbackstrom",NA,3666,1
