"age","years_exp","search_rank","pandascore_id","birth_country","college","espn_id","birth_date","injury_notes","search_first_name","player_id","hashtag","stats_id","news_updated","active","sport","fantasy_data_id","competitions","practice_description","yahoo_id","last_name","opta_id","birth_state","gsis_id","status","depth_chart_order","height","injury_start_date","fantasy_positions","search_full_name","high_school","sportradar_id","kalshi_id","practice_participation","team_abbr","team","oddsjam_id","rotoworld_id","birth_city","metadata","first_name","injury_status","swish_id","depth_chart_position","team_changed_at","position","search_last_name","number","full_name","weight","injury_body_part","rotowire_id","dupes"
NA,3,NA,NA,"USA","Lassen College (CA)",40426,"1994-09-10","Surgery","ray","1982","#raykerr-MLB-ATL-58",NA,1732728336714,"False","mlb",NA,"[]",NA,NA,"Kerr",NA,"CA",NA,"D60",NA,75,NA,"","raykerr","Hug (NV)","9db4432a-3b93-4018-a2fb-dff249147bae",NA,NA,NA,"ATL","375026B266EE",NA,"Sacramento","{'bat_hand': 'L', 'channel_id': '1157161132998295552', 'full_name': 'Ray Kerr', 'pro_debut': '2022-04-24', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'L', 'updated': '2024-07-05T16:27:57+00:00'}","Ray","IL60",678061,NA,NA,"RP","kerr",58,"Ray Kerr",185,"Elbow",17690,1
NA,NA,NA,NA,"USA","Hartford",41848,"","","david","2474","#davidmackinnon-MLB-ATH-49",NA,NA,"True","mlb",NA,"[]",NA,NA,"MacKinnon",NA,"MA",NA,"A",NA,74,NA,"","davidmackinnon","Oliver Ames (MA)","3ad06f66-7fe7-4900-a447-9e87511d0a9d",NA,NA,NA,"ATH","",NA,"Easton","{'bat_hand': 'R', 'full_name': 'David MacKinnon', 'pro_debut': '2022-06-18', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-20T02:43:30+00:00'}","David","",676950,NA,NA,"1B","mackinnon",49,"David MacKinnon",200,"",NA,1
NA,13,NA,NA,"USA","Texas A&M",32005,"1988-06-29","","brooks","1907","#brooksraley-MLB-NYM-25",NA,1753192206652,"True","mlb",NA,"[]",NA,NA,"Raley",NA,"TX",NA,"A",NA,75,NA,"","brooksraley","Uvalde (TX)","ee133eda-e1f4-4560-a26b-d99ab455ce4e",NA,NA,NA,"NYM","CA5D8DDB64EC",NA,"San Antonio","{'bat_hand': 'L', 'channel_id': '1157161700806393856', 'full_name': 'Brooks Raley', 'pro_debut': '2012-08-07', 'rookie_year': '2012', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-19T21:01:27+00:00'}","Brooks","",548384,NA,NA,"RP","raley",25,"Brooks Raley",200,"",10987,1
NA,0,NA,NA,"USA","Louisiana-Lafayette",NA,"1998-08-19","","brandon","3342","#brandonyoung-MLB-BAL-63",NA,1756319111541,"True","mlb",NA,"[]",NA,NA,"Young",NA,"TX",NA,"D60",NA,78,NA,"","brandonyoung","Lumberton (TX)","623e9837-a580-43f3-a524-74342173fe67",NA,NA,NA,"BAL","31991663EBBE6758",NA,"Lumberton","{'bat_hand': 'R', 'channel_id': '1199824310613594112', 'full_name': 'Brandon Young', 'pro_debut': '2025-04-19', 'rookie_year': '2025', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-08-27T18:20:58+00:00'}","Brandon","",NA,NA,NA,"SP","young",63,"Brandon Young",210,"",16949,1
NA,6,NA,NA,"USA","Charleston",35277,"1993-05-13","","taylor","1684","#taylorclarke-MLB-KC-45",NA,1758458129708,"True","mlb",NA,"[]",NA,NA,"Clarke",NA,"VA",NA,"A",NA,76,NA,"","taylorclarke","Broad Run (VA)","b3b31a27-6fdd-483f-9d67-23d50fd951db",NA,NA,NA,"KC","2829F6B4DEE4",NA,"Ashburn","{'bat_hand': 'R', 'channel_id': '1223689592884961280', 'full_name': 'Taylor Clarke', 'pro_debut': '2019-04-20', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-25T18:33:59+00:00'}","Taylor","",664199,NA,NA,"RP","clarke",45,"Taylor Clarke",210,"",13890,1
NA,1,NA,NA,"ITA","",5221123,"2001-09-19","","sam","3268","#samaldegheri-MLB-LAA-61",NA,1759102231688,"True","mlb",NA,"[]",NA,NA,"Aldegheri",NA,"",NA,"A",NA,73,NA,"","samaldegheri","","25da44aa-825b-4787-9abf-730be10a114d",NA,NA,NA,"LAA","652BB38D5F9385AB",NA,"Verona","{'bat_hand': 'L', 'channel_id': '1157161326666088448', 'full_name': 'Sam Aldegheri', 'pro_debut': '2024-08-30', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-09-18T22:29:33+00:00'}","Sam","",691951,NA,NA,"SP","aldegheri",61,"Sam Aldegheri",210,"",19357,1
NA,NA,NA,NA,"DOM","",5310247,"2003-01-15","","jhancarlos","3561","#jhancarloslara-MLB-ATL-81",NA,1758576635963,"True","mlb",NA,"[]",NA,NA,"Lara",NA,"",NA,"A",NA,75,NA,"","jhancarloslara","","b326c59b-1e51-4674-8a7a-8764f64c9f70",NA,NA,NA,"ATL","",NA,"San Cristobal","{'bat_hand': 'R', 'channel_id': '1274786205828915200', 'full_name': 'Jhancarlos Lara', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-30T22:03:08+00:00'}","Jhancarlos","",NA,NA,NA,"SP","lara",81,"Jhancarlos Lara",190,"",19151,1
NA,NA,NA,NA,"USA","",4722894,"2002-08-07","","marco","3356","#marcoraya-MLB-MIN-85",NA,1741549557892,"True","mlb",NA,"[]",NA,NA,"Raya",NA,"TX",NA,"A",NA,73,NA,"","marcoraya","United South (TX)","0e95bf6e-f4af-4d62-8d92-2835d2a7dc4f",NA,NA,NA,"MIN","",NA,"Laredo","{'bat_hand': 'R', 'channel_id': '1199824310819115008', 'full_name': 'Marco Raya', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:11:18+00:00'}","Marco","",NA,NA,NA,"SP","raya",85,"Marco Raya",170,"",16893,1
NA,17,NA,NA,"USA","USC",28864,"1984-12-19","","ian","1195","#iankennedy-MLB-TEX-21",NA,1698979842593,"False","mlb",NA,"[]",NA,NA,"Kennedy",NA,"CA",NA,"D60",NA,72,NA,"","iankennedy","La Quinta (CA)","d9ed48ab-6740-411c-84b2-be4cc75b83c5",NA,NA,NA,"TEX","602062DF8830",NA,"Huntington Beach","{'bat_hand': 'R', 'full_name': 'Ian Kennedy', 'pro_debut': '2007-09-01', 'rookie_year': '2007', 'status': 'D60', 'throw_hand': 'R', 'updated': '2023-09-16T22:09:00+00:00'}","Ian","",453178,NA,NA,"RP","kennedy",21,"Ian Kennedy",210,"",9309,1
NA,5,NA,NA,"USA","Texas State",36543,"1991-09-04","","kyle","2023","#kylefinnegan-MLB-DET-64",NA,1758678301433,"True","mlb",NA,"[]",NA,NA,"Finnegan",NA,"MI",NA,"A",NA,74,NA,"","kylefinnegan","Kingwood (TX)","f14f29a3-5e4a-45c2-890b-ec02ed30e5b8",NA,NA,NA,"DET","E5F5EC0612E0",NA,"Detroit","{'bat_hand': 'R', 'channel_id': '1157161592220057600', 'full_name': 'Kyle Finnegan', 'pro_debut': '2020-07-25', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-19T21:16:32+00:00'}","Kyle","",640448,NA,NA,"RP","finnegan",64,"Kyle Finnegan",198,"",15866,1
NA,12,NA,NA,"USA","Rice",32098,"1990-06-06","Surgery","anthony","1461","#anthonyrendon-MLB-LAA-6",NA,1739655317408,"True","mlb",NA,"[]",NA,NA,"Rendon",NA,"TX",NA,"D60",NA,73,NA,"","anthonyrendon","Lamar (TX)","78712aa3-b342-48ee-a0cc-ab90d5dd3618",NA,NA,NA,"LAA","BC90FA8EDDA9",NA,"Richmond","{'bat_hand': 'R', 'channel_id': '1157161321700032512', 'full_name': 'Anthony Rendon', 'pro_debut': '2013-04-21', 'rookie_year': '2013', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-02-15T21:17:05+00:00'}","Anthony","IL60",543685,NA,NA,"3B","rendon",6,"Anthony Rendon",200,"Hip",12122,1
NA,NA,NA,NA,"USA","",31722,"","","austin","2481","#austinbrice-MLB-PIT-72",NA,NA,"True","mlb",NA,"[]",NA,NA,"Brice",NA,"NC",NA,"A",NA,76,NA,"","austinbrice","Northwood (NC)","58831505-e236-4871-9f20-1e9d8bb0fa60",NA,NA,NA,"PIT","",NA,"Pittsboro","{'bat_hand': 'R', 'full_name': 'Austin Brice', 'pro_debut': '2016-08-12', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-08-13T13:05:07+00:00'}","Austin","",592169,NA,NA,"RP","brice",72,"Austin Brice",238,"",NA,1
NA,9,NA,NA,"CUB","",36006,"1984-06-09","","yuli","2125","#yuligurriel-MLB-SD-10",NA,1747143313108,"True","mlb",NA,"[]",NA,NA,"Gurriel",NA,"",NA,"A",NA,72,NA,"","yuligurriel","","bd519b9f-7539-4282-a741-3bd2bf532c40",NA,NA,NA,"SD","495F47F028E9",NA,"Sancti Spiritus","{'bat_hand': 'R', 'channel_id': '1157161423785197568', 'full_name': 'Yuli Gurriel', 'pro_debut': '2016-08-21', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-03-29T04:42:21+00:00'}","Yuli","",493329,NA,NA,"1B","gurriel",10,"Yuli Gurriel",215,"",8905,1
NA,5,NA,NA,"MEX","",NA,"1994-06-03","","ramon","1590","#ramonurias-MLB-HOU-29",NA,1757268934235,"True","mlb",NA,"[]",NA,NA,"Urías",NA,"",NA,"A",NA,69,NA,"","ramonurias","","0672f3d5-5781-47bb-b111-abec96c38355",NA,NA,NA,"HOU","B81FF4E3B904",NA,"Magdalena de Kino","{'bat_hand': 'R', 'channel_id': '1157161387248615424', 'full_name': 'Ramón Urías', 'pro_debut': '2020-08-20', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-01T19:43:27+00:00'}","Ramón","",602104,NA,NA,"3B","urias",29,"Ramón Urías",185,"",15783,1
NA,7,NA,NA,"USA","",33188,"1994-09-06","","clint","1510","#clintfrazier-MLB-CWS-15",NA,1715349922842,"True","mlb",NA,"[]",NA,NA,"Frazier",NA,"GA",NA,"A",NA,71,NA,"","clintfrazier","Loganville (GA)","1e346b4f-2348-4a1c-9887-45ba04d91e7b",NA,NA,NA,"CWS","75D4C48E7F97",NA,"Decatur","{'bat_hand': 'R', 'full_name': 'Clint Frazier', 'pro_debut': '2017-07-01', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-11-03T14:56:10+00:00'}","Clint","",640449,NA,NA,"LF","frazier",15,"Clint Frazier",212,"",12939,1
NA,4,NA,NA,"USA","Oklahoma",4883501,"1996-12-27","","kyle","1995","#kyletyler-MLB-BAL",NA,1751947220878,"False","mlb",NA,"[]",NA,NA,"Tyler",NA,"OK",NA,"MIN",NA,72,NA,"","kyletyler","Westmoore (OK)","a0d319f7-c641-4975-8bd3-1b2315460626",NA,NA,NA,"BAL","7CC88E41D646",NA,"Oklahoma City","{'bat_hand': 'R', 'channel_id': '1157161178498105344', 'full_name': 'Kyle Tyler', 'pro_debut': '2021-09-05', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-06-24T00:46:39+00:00'}","Kyle","",667725,NA,NA,"RP","tyler",NA,"Kyle Tyler",200,"",17616,1
NA,1,NA,NA,"USA","Florida",41911,"","Not Specified","mark","1914","#markkolozsvary-MLB-BAL-56",NA,1737664255138,"False","mlb",NA,"[]",NA,NA,"Kolozsvary",NA,"FL",NA,"MIN",NA,68,NA,"","markkolozsvary","Tavares (FL)","9f8dfe95-b45f-4fff-989a-951bd6cddf7c",NA,NA,NA,"BAL","",NA,"Tavares","{'bat_hand': 'R', 'full_name': 'Mark Kolozsvary', 'pro_debut': '2022-04-20', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-06-14T18:01:18+00:00'}","Mark","IL60",656627,NA,NA,"C","kolozsvary",56,"Mark Kolozsvary",180,"Undisclosed",17072,1
NA,8,NA,NA,"DOM","",33859,"1996-10-24","","rafael","1711","#rafaeldevers-MLB-SF-16",NA,1759161035617,"True","mlb",NA,"[]",NA,NA,"Devers",NA,"",NA,"A",NA,72,NA,"","rafaeldevers","","fe966998-15e1-4022-89d5-6b4750516176",NA,NA,NA,"SF","D1F45CEF3017",NA,"Sanchez","{'bat_hand': 'L', 'channel_id': '1157161443016081408', 'full_name': 'Rafael Devers', 'pro_debut': '2017-07-25', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-18T13:27:07+00:00'}","Rafael","",646240,NA,NA,"DH","devers",16,"Rafael Devers",235,"",13179,1
NA,7,NA,NA,"DOM","",NA,"1994-11-25","","seranthony","1148","#seranthonydominguez-MLB-TOR-48",NA,1754270148637,"True","mlb",NA,"[]",NA,NA,"Domínguez",NA,"",NA,"A",NA,73,NA,"","seranthonydominguez","","1b02041b-941f-46af-a52e-79072e0e2a33",NA,NA,NA,"TOR","77AE1918F298",NA,"Esperanza Valverde Mao","{'bat_hand': 'R', 'channel_id': '1157161394437652480', 'full_name': 'Seranthony Domínguez', 'pro_debut': '2018-05-07', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-30T14:25:30+00:00'}","Seranthony","",622554,NA,NA,"RP","dominguez",48,"Seranthony Domínguez",225,"",14702,1
NA,6,NA,NA,"USA","Bryant",40715,"1995-09-22","","james","1649","#jameskarinchak-MLB-CLE-99",NA,1750085715440,"False","mlb",NA,"[]",NA,NA,"Karinchak",NA,"NY",NA,"D60",NA,75,NA,"","jameskarinchak","Valley Central (NY)","a0fac67f-f601-4745-af63-92009f082930",NA,NA,NA,"CLE","574B92CB860B",NA,"Walden","{'bat_hand': 'R', 'channel_id': '1157161416457748480', 'full_name': 'James Karinchak', 'pro_debut': '2019-09-14', 'rookie_year': '2019', 'status': 'D60', 'throw_hand': 'R', 'updated': '2024-03-28T20:24:32+00:00'}","James","",675916,NA,NA,"RP","karinchak",99,"James Karinchak",215,"",14878,1
NA,0,NA,NA,"USA","Arizona State",4977664,"2002-08-15","Sprain","luke","3414","#lukekeaschall-MLB-MIN-15",NA,1758811511035,"True","mlb",NA,"[]",NA,NA,"Keaschall",NA,"CA",NA,"A",NA,72,NA,"","lukekeaschall","Aptos (CA)","00ce18c4-c489-4350-a550-06a6d3948581",NA,NA,NA,"MIN","993BBFFCC1462B1F",NA,"Watsonville","{'bat_hand': 'R', 'channel_id': '1218721889619300352', 'full_name': 'Luke Keaschall', 'pro_debut': '2025-04-18', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:10:06+00:00'}","Luke","Out",NA,NA,NA,"2B","keaschall",15,"Luke Keaschall",190,"Thumb",19005,1
NA,3,NA,NA,"USA","North Carolina",39527,"1992-06-04","","kent","1150","#kentemanuel-MLB-MIA-74",NA,1725396930865,"True","mlb",NA,"[]",NA,NA,"Emanuel",NA,"GA",NA,"A",NA,76,NA,"","kentemanuel","Woodstock (GA)","7eee576b-369f-4593-a59f-d0ee061b7622",NA,NA,NA,"MIA","C2BC0F27D234",NA,"Woodstock","{'bat_hand': 'L', 'full_name': 'Kent Emanuel', 'pro_debut': '2021-04-24', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-08-09T19:09:17+00:00'}","Kent","",592288,NA,NA,"RP","emanuel",74,"Kent Emanuel",225,"",13053,1
NA,11,NA,NA,"USA","Florida",33180,"1990-04-18","","anthony","1813","#anthonydesclafani-MLB-AZ-21",NA,1758243319797,"True","mlb",NA,"[]",NA,NA,"DeSclafani",NA,"NJ",NA,"A",NA,74,NA,"","anthonydesclafani","Colts Neck (NJ)","07af23d5-a3b9-4526-9e89-8c7f9f5facb4",NA,NA,NA,"AZ","6BE6FC3855DB",NA,"Freehold","{'bat_hand': 'R', 'channel_id': '1157161513350365184', 'full_name': 'Anthony DeSclafani', 'pro_debut': '2014-05-14', 'rookie_year': '2014', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-07T16:43:04+00:00'}","Anthony","",543101,NA,NA,"SP","desclafani",21,"Anthony DeSclafani",195,"",12755,1
NA,NA,NA,NA,"USA","",32779,"","","roman","2330","#romanquinn-MLB-TB-25",NA,NA,"True","mlb",NA,"[]",NA,NA,"Quinn",NA,"FL",NA,"A",NA,70,NA,"","romanquinn","Port St. Joe (FL)","1816ec27-3ce2-4edb-8f15-2451afe99ab2",NA,NA,NA,"TB","",NA,"Port St. Joe","{'bat_hand': 'B', 'full_name': 'Roman Quinn', 'pro_debut': '2016-09-11', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-19T19:46:44+00:00'}","Roman","",596451,NA,NA,"CF","quinn",25,"Roman Quinn",175,"",NA,1
NA,NA,NA,NA,"USA","Xavier",40537,"","","zac","1609","#zaclowther-MLB-BAL-59",NA,NA,"False","mlb",NA,"[]",NA,NA,"Lowther",NA,"OH",NA,"MIN",NA,74,NA,"","zaclowther","Cuyahoga Falls (OH)","11c4591d-a21d-45b9-8e3a-cbba1d633646",NA,NA,NA,"BAL","",NA,"Brooklyn Heights","{'bat_hand': 'L', 'full_name': 'Zac Lowther', 'pro_debut': '2021-04-25', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-06-01T18:58:08+00:00'}","Zac","",675912,NA,NA,"SP","lowther",59,"Zac Lowther",235,"",NA,1
NA,2,NA,NA,"USA","Baylor",4142539,"1998-02-22","Sprain","cody","2854","#codybradford-MLB-TEX-61",NA,1751061931975,"True","mlb",NA,"[]",NA,NA,"Bradford",NA,"TX",NA,"D60",NA,76,NA,"","codybradford","Aledo (TX)","0feb47d0-1eac-4553-9a83-5926f9cc795b",NA,NA,NA,"TEX","B13426733E92",NA,"Aledo","{'bat_hand': 'L', 'channel_id': '1157161609374760960', 'full_name': 'Cody Bradford', 'pro_debut': '2023-05-15', 'rookie_year': '2023', 'status': 'D60', 'throw_hand': 'L', 'updated': '2025-04-08T19:55:17+00:00'}","Cody","IL60",674003,NA,NA,"RP","bradford",61,"Cody Bradford",197,"Elbow",16193,1
NA,NA,NA,NA,"DOM","",NA,"2003-01-13","","alex","3060","#alexramirez-MLB-NYM-72",NA,1733161515884,"True","mlb",NA,"[]",NA,NA,"Ramírez",NA,"",NA,"A",NA,75,NA,"","alexramirez","","a86edd63-4b53-4186-bf6a-0b3d5599b2ce",NA,NA,NA,"NYM","ACA1D837A0EF",NA,"Santo Domingo","{'bat_hand': 'R', 'channel_id': '1157161691633451008', 'full_name': 'Alex Ramírez', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-10-22T13:15:43+00:00'}","Alex","",691267,NA,NA,"CF","ramirez",72,"Alex Ramírez",170,"",16342,1
NA,2,NA,NA,"DOM","",NA,"1996-08-26","","jc","2109","#jcmejia-MLB-MIL-36",NA,1700280312129,"False","mlb",NA,"[]",NA,NA,"Mejía",NA,"",NA,"D60",NA,77,NA,"","jcmejia","","2ac39674-410e-4542-b9f3-e67b04f85782",NA,NA,NA,"MIL","DD3E57770213",NA,"Gaspar Hernandez","{'bat_hand': 'R', 'full_name': 'J.C. Mejía', 'pro_debut': '2021-05-21', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2023-09-21T02:16:15+00:00'}","J.C.","",650496,NA,NA,"RP","mejia",36,"J.C. Mejía",240,"",15792,1
NA,3,NA,NA,"VEN","",40835,"1999-03-01","Surgery","oswaldo","1749","#oswaldocabrera-MLB-NYY-95",NA,1754948751423,"True","mlb",NA,"[]",NA,NA,"Cabrera",NA,"",NA,"D60",NA,72,NA,"","oswaldocabrera","","f2c55fb7-f18f-44ab-80a0-7e5d8ee165cc",NA,NA,NA,"NYY","5ACB5F70F3B8",NA,"Guarenas","{'bat_hand': 'B', 'channel_id': '1157161465300418560', 'full_name': 'Oswaldo Cabrera', 'pro_debut': '2022-08-17', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-06-24T03:08:27+00:00'}","Oswaldo","IL60",665828,NA,NA,"3B","cabrera",95,"Oswaldo Cabrera",200,"Ankle",17675,1
