"birth_country","birth_date","gsis_id","injury_notes","practice_description","search_full_name","oddsjam_id","sportradar_id","injury_body_part","team","kalshi_id","depth_chart_order","news_updated","opta_id","active","birth_city","competitions","fantasy_data_id","high_school","injury_start_date","swish_id","search_first_name","status","rotowire_id","hashtag","pandascore_id","depth_chart_position","weight","stats_id","full_name","practice_participation","birth_state","height","first_name","rotoworld_id","college","yahoo_id","search_rank","fantasy_positions","metadata","last_name","sport","team_changed_at","injury_status","team_abbr","position","player_id","espn_id","age","number","search_last_name","years_exp","dupes"
NA,"1992-06-05",NA,"",NA,"michaelgbinije","","5c34358e-f11c-4e71-b8e9-da2eb13f9d1f","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Benedictine College Prep",NA,NA,"michael","FA",NA,"#michaelgbinije-NBA-FA",NA,"",200,NA,"Michael Gbinije",NA,NA,79,"Michael",NA,"Syracuse",NA,NA,"['PG', 'SG']","{'channel_id': '1153292745981317120'}","Gbinije","nba",NA,"",NA,"SG","1684",NA,33,NA,"gbinije",1,1
NA,"1986-01-03",NA,"",NA,"nikolapekovic","","ce45bcdc-8ce8-43cd-8039-87164b5abf8a","","",NA,NA,NA,NA,"False",NA,"[]",NA,"",NA,NA,"nikola","RET",NA,"#nikolapekovic-NBA-FA",NA,"",307,NA,"Nikola Peković",NA,NA,83,"Nikola",NA,"",NA,NA,"['C']","{'channel_id': '1153293036801773568'}","Peković","nba",NA,"",NA,"C","1195",NA,39,NA,"pekovic",6,1
NA,"1997-03-30",NA,"",NA,"admiralschofield","DE7E383D4EBA","ddebd1eb-4298-449d-850a-4dd5f84da05c","","",NA,NA,1724004325893,NA,"True",NA,"[]",NA,"Zion-Benton Township (IL)",NA,887494,"admiral","FA",4854,"#admiralschofield-NBA-FA",NA,"",241,NA,"Admiral Schofield",NA,NA,77,"Admiral",NA,"Tennessee",NA,NA,"['PF', 'SF']","{'channel_id': '1153293169706684416'}","Schofield","nba",NA,"",NA,"PF","2023",NA,28,NA,"schofield",3,1
NA,"1990-05-16",NA,"",NA,"williereed","","ab55b5eb-f998-4480-a69b-eacaa7325ff3","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Bishop Miege (KS)",NA,NA,"willie","FA",NA,"#williereed-NBA-FA",NA,"",245,NA,"Willie Reed",NA,NA,83,"Willie",NA,"Saint Louis",NA,NA,"['C']","{'channel_id': '1153293004438523904'}","Reed","nba",NA,"",NA,"C","1461",NA,35,NA,"reed",3,1
NA,"2000-10-12",NA,"",NA,"marjonbeauchamp","54D4C7A786BA","fc036630-debc-44bf-9663-03c3fbd3045c","","",NA,NA,1759254648412,NA,"True",NA,"[]",20002865,"Dream City Christian (AZ)",NA,1357744,"marjon","FA",5564,"#marjonbeauchamp-NBA-FA",NA,"",199,NA,"MarJon Beauchamp",NA,NA,79,"MarJon",NA,"Yakima Valley (WA)",NA,355,"['PF']","{'channel_id': '1113936527563423744'}","Beauchamp","nba",NA,"",NA,"PF","2481",4432179,24,NA,"beauchamp",2,1
NA,"1999-07-02",NA,"",NA,"isaiahjoe","60562D4F275B","36d083a5-49ca-42f1-80b7-b78275a8abd9","","OKC",NA,3,1757344839981,NA,"True",NA,"[]",20002574,"Northside (AR)",NA,1134010,"isaiah","ACT",5291,"#isaiahjoe-NBA-OKC-11",NA,"SG",165,NA,"Isaiah Joe",NA,NA,75,"Isaiah",NA,"Arkansas",NA,277,"['PG', 'SF', 'SG']","{'channel_id': '1113936531191496704'}","Joe","nba",NA,"",NA,"SG","2125",4395702,26,11,"joe",5,1
NA,"1995-08-02",NA,"",NA,"kristapsporzingis","FA629BAD3134","3c5901ef-af1d-441d-aeed-8e0a93cead49","","ATL",NA,1,1759257048636,NA,"True",NA,"[]",20001406,"",NA,877869,"kristaps","ACT",3669,"#kristapsporzingis-NBA-ATL-8",NA,"PF",240,NA,"Kristaps Porziņģis",NA,NA,86,"Kristaps",NA,"",NA,72,"['C', 'PF']","{'channel_id': '1113936513910964224'}","Porziņģis","nba",NA,"",NA,"C","1590",NA,30,8,"porzingis",9,1
NA,"2001-09-27",NA,"",NA,"caleblove","","a26661fb-805f-41a9-8fc9-8ed805233482","","POR",NA,3,1752642935013,NA,"True",NA,"[]",20003503,"Christian Brothers College (MO)",NA,NA,"caleb","TWO-WAY",6603,"#caleblove-NBA-POR-2",NA,"PG",205,NA,"Caleb Love",NA,NA,76,"Caleb",NA,"Arizona",NA,397,"['PG', 'SG']","{'channel_id': '1244204733124595712'}","Love","nba",NA,"",NA,"SG","4804",4433144,24,2,"love",0,1
NA,"1990-11-01",NA,"",NA,"timfrazier","","005948cb-f744-4928-bf7f-d26076717c99","","",NA,NA,1646794224291,NA,"True",NA,"[]",NA,"Strake Jesuit (TX)",NA,513606,"tim","FA",3695,"#timfrazier-NBA-FA",NA,"",170,NA,"Tim Frazier",NA,NA,73,"Tim",NA,"Penn State",NA,NA,"['PG']","{'channel_id': '1153292813769658368'}","Frazier","nba",NA,"",NA,"PG","1510",NA,34,NA,"frazier",8,1
NA,"1996-04-13",NA,"",NA,"isaiahbriscoe","","fbd00dc4-4f26-428e-b5e1-2f125f5c1499","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Roselle Catholic",NA,NA,"isaiah","FA",NA,"#isaiahbriscoe-NBA-FA",NA,"",215,NA,"Isaiah Briscoe",NA,NA,75,"Isaiah",NA,"Kentucky",NA,NA,"['PG', 'SG']","{'channel_id': '1153292670391570432'}","Briscoe","nba",NA,"",NA,"PG","1995",NA,29,NA,"briscoe",1,1
NA,"2001-04-25",NA,"",NA,"djrodman","","62829de2-38c3-42f0-8c98-9a5fbee625f6","","CHA",NA,NA,NA,NA,"True",NA,"[]",20003420,"JSerra Catholic (CA)",NA,NA,"dj","ACT",NA,"#djrodman-NBA-CHA-27",NA,"",215,NA,"DJ Rodman",NA,NA,78,"DJ",NA,"USC",NA,NA,"['PG', 'SF', 'SG']","{'channel_id': '1278986541166788608'}","Rodman","nba",NA,"",NA,"PG","4828",NA,24,27,"rodman",0,1
NA,"1992-04-27",NA,"",NA,"mitchcreek","","1d65b7a8-19f1-4d28-8293-a8ad7fc0dbc2","","",NA,NA,NA,NA,"True",NA,"[]",NA,"",NA,NA,"mitch","FA",NA,"#mitchcreek-NBA-FA",NA,"",225,NA,"Mitch Creek",NA,NA,78,"Mitch",NA,"",NA,NA,"['PF', 'SF']","{'channel_id': '1153292627018272768'}","Creek","nba",NA,"",NA,"SF","1914",NA,33,NA,"creek",1,1
NA,"1996-10-24",NA,"Surgery",NA,"jaylenbrown","C7D85481029D","ffc5579c-783f-4d62-80ab-3c3dcb05a27d","Knee","BOS",NA,1,1759248347839,NA,"True",NA,"[]",20001672,"Wheeler (GA)",NA,883436,"jaylen","ACT",3894,"#jaylenbrown-NBA-BOS-7",NA,"SF",223,NA,"Jaylen Brown",NA,NA,78,"Jaylen",NA,"California",NA,22,"['SF', 'SG']","{'channel_id': '1113936515404136448'}","Brown","nba",NA,"DTD",NA,"SF","1711",NA,28,7,"brown",9,1
NA,"1987-12-09",NA,"",NA,"geraldhenderson","","390c3ce6-7e5b-4aba-bd54-4dfb6add4767","","",NA,NA,NA,NA,"False",NA,"[]",NA,"The Episcopal Academy (PA)",NA,NA,"gerald","RET",NA,"#geraldhenderson-NBA-FA",NA,"",215,NA,"Gerald Henderson",NA,NA,77,"Gerald",NA,"Duke",NA,NA,"['PG', 'SG']","{'channel_id': '1153293039012171776'}","Henderson","nba",NA,"",NA,"SG","1148",NA,37,NA,"henderson",8,1
NA,"1993-01-28",NA,"",NA,"alanwilliams","","172550b2-d010-4bcb-b325-6e3c5cfc6551","","",NA,NA,NA,NA,"True",NA,"[]",NA,"North (AZ)",NA,NA,"alan","FA",NA,"#alanwilliams-NBA-FA",NA,"",265,NA,"Alan Williams",NA,NA,80,"Alan",NA,"UC Santa Barbara",NA,NA,"['PF', 'SF']","{'channel_id': '1153292484084781056'}","Williams","nba",NA,"",NA,"PF","1649",NA,32,NA,"williams",4,1
NA,"1987-02-28",NA,"",NA,"joshmcroberts","","54723896-1f7b-4150-95d6-0392596a328f","","",NA,NA,NA,NA,"False",NA,"[]",NA,"Carmel (IN)",NA,NA,"josh","RET",NA,"#joshmcroberts-NBA-FA",NA,"",240,NA,"Josh McRoberts",NA,NA,82,"Josh",NA,"Duke",NA,NA,"['C', 'PF']","{'channel_id': '1153293205156941824'}","McRoberts","nba",NA,"",NA,"PF","1150",NA,38,NA,"mcroberts",11,1
NA,"1994-02-09",NA,"",NA,"tylercavanaugh","","dec4a0a2-251a-4142-8b88-0f7be1d7433c","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Jamesville-DeWitt Central (NY)",NA,NA,"tyler","FA",NA,"#tylercavanaugh-NBA-FA",NA,"",238,NA,"Tyler Cavanaugh",NA,NA,81,"Tyler",NA,"George Washington",NA,NA,"['PF', 'SF']","{'channel_id': '1153293011648532480'}","Cavanaugh","nba",NA,"",NA,"PF","1813",NA,31,NA,"cavanaugh",1,1
NA,"2001-04-23",NA,"",NA,"johntonje","","cf4d4c23-9ccc-4cf3-b620-9749a8e65064","","UTA",NA,5,1756240806597,NA,"True",NA,"[]",20003497,"Omaha Central (NE)",NA,NA,"john","TWO-WAY",6570,"#johntonje-NBA-UTA-17",NA,"SG",212,NA,"John Tonje",NA,NA,77,"John",NA,"Wisconsin",NA,415,"['PG', 'SG']","{'channel_id': '1244166993775439872'}","Tonje","nba",NA,"",NA,"SG","4788",4593043,24,17,"tonje",0,1
NA,"1999-08-30",NA,"",NA,"aaronhenry","","0b295571-ce3f-4436-aea7-b84e9cf7203a","","",NA,NA,1654806017563,NA,"True",NA,"[]",NA,"Ben Davis (IN)",NA,1133812,"aaron","FA",5362,"#aaronhenry-NBA-FA",NA,"",210,NA,"Aaron Henry",NA,NA,77,"Aaron",NA,"Michigan State",NA,600,"['SF']","{'channel_id': '1153292475738116096'}","Henry","nba",NA,"",NA,"SF","2330",NA,26,NA,"henry",1,1
NA,"1993-04-04",NA,"",NA,"frankkaminsky","A55609B97B81389A","c9b1c381-e0ac-4618-9887-ce3e8993b265","","",NA,NA,1729372551827,NA,"True",NA,"[]",NA,"Benet Academy (IL)",NA,606731,"frank","FA",3713,"#frankkaminsky-NBA-FA",NA,"",240,NA,"Frank Kaminsky",NA,NA,84,"Frank",NA,"Wisconsin",NA,NA,"['C']","{'channel_id': '1145423875673186304'}","Kaminsky","nba",NA,"",NA,"C","1609",NA,32,NA,"kaminsky",7,1
NA,"2000-06-19",NA,"",NA,"emanuelmiller","15E81CAD9ABA","6f4f5e4b-37d7-4d28-a226-4f52d09aab02","","CHI",NA,8,1735323636288,NA,"True",NA,"[]",20003372,"Prolific (CA)",NA,1195700,"emanuel","TWO-WAY",6017,"#emanuelmiller-NBA-CHI-2",NA,"PF",215,NA,"Emanuel Miller",NA,NA,79,"Emanuel",NA,"TCU",NA,NA,"['PF', 'SF']","{'channel_id': '1145537157851537408'}","Miller","nba",NA,"",NA,"PF","2854",4432872,25,2,"miller",1,1
NA,"1995-01-05",NA,"",NA,"ericmika","","8f98099a-d6c5-4f12-b5dd-90c9f95e6556","Ankle","",NA,NA,1625151350907,NA,"True",NA,"[]",NA,"Lone Peak (UT)",NA,NA,"eric","FA",4180,"#ericmika-NBA-FA",NA,"",240,NA,"Eric Mika",NA,NA,82,"Eric",NA,"BYU",NA,NA,"['PF', 'SF']","{'channel_id': '1153292297908015104'}","Mika","nba",NA,"DTD",NA,"PF","2109",NA,30,NA,"mika",1,1
NA,"1996-11-26",NA,"",NA,"malikbeasley","86BA5B4A676C","d3392ee6-cbe4-419e-bbd5-1b658d83e10e","","",NA,NA,1755873332280,NA,"True",NA,"[]",20001678,"St. Francis (GA)",NA,879503,"malik","FA",3853,"#malikbeasley-NBA-FA",NA,"",187,NA,"Malik Beasley",NA,NA,76,"Malik",NA,"Florida State",NA,214,"['SF', 'SG']","{'channel_id': '1115338000893493248'}","Beasley","nba",NA,"",NA,"SG","1749",3907822,28,NA,"beasley",8,1
NA,"2006-08-13",NA,"Soreness",NA,"acebailey","","c5fca05e-7292-464b-b9cd-d5d0f5e2fd07","Hip","UTA",NA,1,1756722042492,NA,"True",NA,"[]",20003446,"McEachern (GA)",NA,NA,"ace","ACT",6551,"#acebailey-NBA-UTA-19",NA,"SF",210,NA,"Ace Bailey",NA,NA,82,"Ace",NA,"Rutgers",NA,161,"['PG', 'SF', 'SG']","{'channel_id': '1243819693458853888'}","Bailey","nba",NA,"DTD",NA,"SF","4758",4873138,19,19,"bailey",0,1
NA,"2000-03-24",NA,"",NA,"duanewashington","85816C27B910","08fd692d-bce8-4f56-9add-77efc68637e8","","",NA,NA,1728481827952,NA,"True",NA,"[]",NA,"Sierra Canyon (CA)",NA,1133864,"duane","FA",5417,"#duanewashington-NBA-FA",NA,"",197,NA,"Duane Washington",NA,NA,74,"Duane",NA,"Ohio State",NA,NA,"['PG', 'SF', 'SG']","{'channel_id': '1147213188526268416'}","Washington","nba",NA,"",NA,"SG","2320",NA,25,NA,"washington",2,1
NA,"1989-03-25",NA,"",NA,"jamesanderson","","27ce12ca-20d5-4911-b0aa-c43f960b7ef0","","",NA,NA,NA,NA,"True",NA,"[]",NA,"Junction City (AR)",NA,NA,"james","FA",NA,"#jamesanderson-NBA-FA",NA,"",210,NA,"James Anderson",NA,NA,78,"James",NA,"Oklahoma State",NA,NA,"['SF', 'SG']","{'channel_id': '1153293200715173888'}","Anderson","nba",NA,"",NA,"SG","1100",NA,36,NA,"anderson",5,1
NA,"1996-09-30",NA,"",NA,"aaronholiday","2F2224A3FCF2","877eb456-2827-475f-b858-2bc00480e24f","","HOU",NA,2,1758586842835,NA,"True",NA,"[]",20002005,"Campbell Hall (CA)",NA,884087,"aaron","ACT",4380,"#aaronholiday-NBA-HOU-0",NA,"PG",185,NA,"Aaron Holiday",NA,NA,72,"Aaron",NA,"UCLA",NA,391,"['PG']","{'channel_id': '1113936509070737408'}","Holiday","nba",NA,"",NA,"PG","1895",3922230,29,0,"holiday",7,1
NA,"1999-10-20",NA,"",NA,"javonfreemanliberty","7B6CFEB87168","6830096d-0ede-42a9-9b55-a1388760f786","","",NA,NA,1754202945140,NA,"True",NA,"[]",NA,"Whitney Young (IL)",NA,1135246,"javon","FA",5657,"#javonfreemanliberty-NBA-FA",NA,"",190,NA,"Javon Freeman-Liberty",NA,NA,75,"Javon",NA,"DePaul",NA,532,"['PG', 'SG']","{'channel_id': '1113936518398869504'}","Freeman-Liberty","nba",NA,"",NA,"PG","2496",NA,25,NA,"freemanliberty",1,1
NA,"1995-02-25",NA,"",NA,"mariohezonja","","4ffb4f4f-f824-4e2f-9f6b-6a05cf2f29ff","","",NA,NA,1719940548284,NA,"True",NA,"[]",NA,"",NA,NA,"mario","FA",3578,"#mariohezonja-NBA-FA",NA,"",220,NA,"Mario Hezonja",NA,NA,80,"Mario",NA,"",NA,NA,"['PF', 'SF']","{'channel_id': '1153293003134095360'}","Hezonja","nba",NA,"",NA,"PF","1660",NA,30,NA,"hezonja",5,1
NA,"1985-02-06",NA,"",NA,"krishumphries","","1a072572-763d-4839-b920-82b48d8e296a","","",NA,NA,NA,NA,"False",NA,"[]",NA,"Hopkins (MN)",NA,NA,"kris","RET",NA,"#krishumphries-NBA-FA",NA,"",235,NA,"Kris Humphries",NA,NA,81,"Kris",NA,"Minnesota",NA,NA,"['PF', 'SF']","{'channel_id': '1153292219013156864'}","Humphries","nba",NA,"",NA,"PF","1279",NA,40,NA,"humphries",13,1
NA,"1995-10-02",NA,"Soreness",NA,"brandongoodwin","","ab6f22fc-0ad6-4323-a5fe-343e6f05e7e0","Foot","",NA,NA,1697922057032,NA,"True",NA,"[]",NA,"Norcross (GA)",NA,795361,"brandon","FA",4552,"#brandongoodwin-NBA-FA",NA,"",180,NA,"Brandon Goodwin",NA,NA,72,"Brandon",NA,"Florida Gulf Coast",NA,NA,"['PG']","{'channel_id': '1153292164583673856'}","Goodwin","nba",NA,"DTD",NA,"PG","1991",NA,30,NA,"goodwin",4,1
NA,"1993-06-16",NA,"",NA,"alexlen","1E7B3CA035DD","2facd6c5-10c6-4481-a20f-a885b3f84460","","NYK",NA,NA,1759437610878,NA,"True",NA,"[]",20000852,"Dnipropetrovsk Higher College (UKR)",NA,616982,"alex","ACT",3436,"#alexlen-NBA-NYK-21",NA,"",250,NA,"Alex Len",NA,NA,84,"Alex",NA,"Maryland",NA,NA,"['C']","{'channel_id': '1113936535444520960'}","Len","nba",NA,"",NA,"C","1412",2596107,32,21,"len",11,1
NA,"1987-05-20",NA,"",NA,"ekpeudoh","","b90d7326-f5ab-4ed1-bdd9-db3b43318363","","",NA,NA,NA,NA,"False",NA,"[]",NA,"Santa Fe (OK)",NA,NA,"ekpe","RET",NA,"#ekpeudoh-NBA-FA",NA,"",245,NA,"Ekpe Udoh",NA,NA,82,"Ekpe",NA,"Baylor",NA,NA,"['C', 'PF']","{'channel_id': '1153292063609999360'}","Udoh","nba",NA,"",NA,"PF","1387",NA,38,NA,"udoh",7,1
NA,"1976-05-19",NA,"",NA,"kevingarnett","","82e44ba0-efd4-41de-b998-056d2865cebf","","",NA,NA,NA,NA,"False",NA,"[]",NA,"Farragut Career Academy (IL)",NA,NA,"kevin","RET",NA,"#kevingarnett-NBA-FA",NA,"",253,NA,"Kevin Garnett",NA,NA,83,"Kevin",NA,"",NA,NA,"['C', 'PF']","{'channel_id': '1153292846690750464'}","Garnett","nba",NA,"",NA,"PF","1172",NA,49,NA,"garnett",21,1
NA,"1997-11-05",NA,"",NA,"jordanbone","","5693e39f-fb95-4fcc-877e-e131270bcb02","","",NA,NA,1612380902401,NA,"True",NA,"[]",NA,"The Ensworth School (TN)",NA,NA,"jordan","FA",4832,"#jordanbone-NBA-FA",NA,"",180,NA,"Jordan Bone",NA,NA,74,"Jordan",NA,"Tennessee",NA,NA,"['PG', 'SG']","{'channel_id': '1153292769251315712'}","Bone","nba",NA,"",NA,"PG","2025",NA,27,NA,"bone",1,1
NA,"1991-02-19",NA,"",NA,"adreianpayne","","14eec5cb-d598-4a56-ab50-7fda7032635c","","",NA,NA,NA,NA,"False",NA,"[]",NA,"Jefferson Township (OH)",NA,NA,"adreian","RET",NA,"#adreianpayne-NBA-FA",NA,"",237,NA,"Adreian Payne",NA,NA,82,"Adreian",NA,"Michigan State",NA,NA,"['PF', 'SF']","{'channel_id': '1153292481324929024'}","Payne","nba",NA,"",NA,"PF","1523",NA,34,NA,"payne",4,1
NA,"2006-04-14",NA,"",NA,"bensaraf","","bc86dba7-561a-4fa0-9639-83d50b2c29ba","","BKN",NA,4,1757024445471,NA,"True",NA,"[]",20003475,"",NA,NA,"ben","ACT",6563,"#bensaraf-NBA-BKN-77",NA,"PG",201,NA,"Ben Saraf",NA,NA,78,"Ben",NA,"",NA,399,"['PG', 'SG']","{'channel_id': '1243819673846288384'}","Saraf","nba",NA,"",NA,"PG","4746",5242502,19,77,"saraf",0,1
NA,"2000-12-11",NA,"",NA,"alexducas","AAA24CB8C232","c126763c-11eb-4c66-8a7d-a962934632ca","","",NA,NA,1752073536052,NA,"True",NA,"[]",20003272,"Lake Ginninderra (AUS)",NA,1184616,"alex","FA",6325,"#alexducas-NBA-FA",NA,"",220,NA,"Alex Ducas",NA,NA,79,"Alex",NA,"Saint Mary's",NA,NA,"['PF', 'SF']","{'channel_id': '1113936532642725888'}","Ducas","nba",NA,"",NA,"PF","2782",4432971,24,NA,"ducas",1,1
NA,"2000-06-16",NA,"",NA,"cjelleby","","fda9e870-e97c-4df9-895a-0ec981cdd820","","",NA,NA,1665849342130,NA,"True",NA,"[]",NA,"Cleveland (WA)",NA,1135177,"cj","FA",5293,"#cjelleby-NBA-FA",NA,"",200,NA,"CJ Elleby",NA,NA,78,"CJ",NA,"Washington State",NA,593,"['PF', 'SF', 'SG']","{'channel_id': '1153292989376778240'}","Elleby","nba",NA,"",NA,"SF","2160",NA,25,NA,"elleby",2,1
NA,"1991-01-08",NA,"",NA,"gregsmith","","55282562-23ba-4c6f-9f8e-417d3ffb79e0","","",NA,NA,1596175233620,NA,"True",NA,"[]",NA,"Westwind Prep (AZ)",NA,NA,"greg","FA",2484,"#gregsmith-NBA-FA",NA,"",250,NA,"Greg Smith",NA,NA,82,"Greg",NA,"Fresno State",NA,960,"['PF', 'SF']","{'channel_id': '1153292234230091776'}","Smith","nba",NA,"",NA,"PF","1009",NA,34,NA,"smith",5,1
NA,"2000-03-10",NA,"",NA,"taevionkinsey","A71D220F0F0C","e6b17416-cb00-4271-bb26-6e5e4801caae","","GSW",NA,NA,1756706141829,NA,"True",NA,"[]",20003139,"Eastmoor Academy (OH)",NA,1134332,"taevion","ACT",6012,"#taevionkinsey-NBA-GSW-1",NA,"",190,NA,"Taevion Kinsey",NA,NA,77,"Taevion",NA,"Marshall",NA,NA,"['PG', 'SG']","{'channel_id': '1115073776728424448'}","Kinsey","nba",NA,"",NA,"PG","2678",NA,25,1,"kinsey",1,1
