player_id,opta_id,fantasy_data_id,news_updated,years_exp,espn_id,birth_state,birth_date,fantasy_positions,depth_chart_order,kalshi_id,active,sportradar_id,team_abbr,player_id,stats_id,high_school,height,gsis_id,competitions,search_full_name,status,injury_start_date,search_first_name,practice_participation,sport,college,yahoo_id,oddsjam_id,birth_city,injury_status,last_name,age,metadata,swish_id,number,practice_description,pandascore_id,search_rank,full_name,rotoworld_id,weight,birth_country,team,depth_chart_position,injury_body_part,hashtag,position,first_name,team_changed_at,search_last_name,injury_notes,rotowire_id
3374,,,1758928519329.0,0.0,,,2000-10-21,,,,True,0815929e-b754-4cb0-85c5-01a00eeccaa2,,3374,,,73,,[],luiscurvelo,A,,luis,,mlb,,,,Higuerote,,Curvelo,,"{'bat_hand': 'R', 'channel_id': '1199824311079161856', 'full_name': 'Luis Curvelo', 'pro_debut': '2025-07-31', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-26T22:51:40+00:00'}",,57.0,,,,Luis Curvelo,,170,VEN,TEX,,,#luiscurvelo-MLB-TEX-57,SP,Luis,,curvelo,,19922.0
1982,,,1732728336714.0,3.0,,CA,1994-09-10,,,,False,9db4432a-3b93-4018-a2fb-dff249147bae,,1982,,Hug (NV),75,,[],raykerr,D60,,ray,,mlb,Lassen College (CA),,375026B266EE,Sacramento,IL60,Kerr,,"{'bat_hand': 'L', 'channel_id': '1157161132998295552', 'full_name': 'Ray Kerr', 'pro_debut': '2022-04-24', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'L', 'updated': '2024-07-05T16:27:57+00:00'}",678061.0,58.0,,,,Ray Kerr,,185,USA,ATL,,Elbow,#raykerr-MLB-ATL-58,RP,Ray,,kerr,Surgery,17690.0
2474,,,,,,MA,,,,,True,3ad06f66-7fe7-4900-a447-9e87511d0a9d,,2474,,Oliver Ames (MA),74,,[],davidmackinnon,A,,david,,mlb,Hartford,,,Easton,,MacKinnon,,"{'bat_hand': 'R', 'full_name': 'David MacKinnon', 'pro_debut': '2022-06-18', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-20T02:43:30+00:00'}",676950.0,49.0,,,,David MacKinnon,,200,USA,ATH,,,#davidmackinnon-MLB-ATH-49,1B,David,,mackinnon,,
1907,,,1753192206652.0,13.0,,TX,1988-06-29,,,,True,ee133eda-e1f4-4560-a26b-d99ab455ce4e,,1907,,Uvalde (TX),75,,[],brooksraley,A,,brooks,,mlb,Texas A&M,,CA5D8DDB64EC,San Antonio,,Raley,,"{'bat_hand': 'L', 'channel_id': '1157161700806393856', 'full_name': 'Brooks Raley', 'pro_debut': '2012-08-07', 'rookie_year': '2012', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-19T21:01:27+00:00'}",548384.0,25.0,,,,Brooks Raley,,200,USA,NYM,,,#brooksraley-MLB-NYM-25,RP,Brooks,,raley,,10987.0
3342,,,1756319111541.0,0.0,,TX,1998-08-19,,,,True,623e9837-a580-43f3-a524-74342173fe67,,3342,,Lumberton (TX),78,,[],brandonyoung,D60,,brandon,,mlb,Louisiana-Lafayette,,31991663EBBE6758,Lumberton,IL60,Young,,"{'bat_hand': 'R', 'channel_id': '1199824310613594112', 'full_name': 'Brandon Young', 'pro_debut': '2025-04-19', 'rookie_year': '2025', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-08-27T18:20:58+00:00'}",,63.0,,,,Brandon Young,,210,USA,BAL,,Hamstring,#brandonyoung-MLB-BAL-63,SP,Brandon,,young,Strain,16949.0
1684,,,1758458129708.0,6.0,,VA,1993-05-13,,,,True,b3b31a27-6fdd-483f-9d67-23d50fd951db,,1684,,Broad Run (VA),76,,[],taylorclarke,A,,taylor,,mlb,Charleston,,2829F6B4DEE4,Ashburn,,Clarke,,"{'bat_hand': 'R', 'channel_id': '1223689592884961280', 'full_name': 'Taylor Clarke', 'pro_debut': '2019-04-20', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-25T18:33:59+00:00'}",664199.0,45.0,,,,Taylor Clarke,,210,USA,KC,,,#taylorclarke-MLB-KC-45,RP,Taylor,,clarke,,13890.0
3268,,,1759102231688.0,1.0,,,2001-09-19,,,,True,25da44aa-825b-4787-9abf-730be10a114d,,3268,,,73,,[],samaldegheri,A,,sam,,mlb,,,652BB38D5F9385AB,Verona,,Aldegheri,,"{'bat_hand': 'L', 'channel_id': '1157161326666088448', 'full_name': 'Sam Aldegheri', 'pro_debut': '2024-08-30', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-09-18T22:29:33+00:00'}",691951.0,61.0,,,,Sam Aldegheri,,210,ITA,LAA,,,#samaldegheri-MLB-LAA-61,SP,Sam,,aldegheri,,19357.0
3561,,,1758576635963.0,,,,2003-01-15,,,,True,b326c59b-1e51-4674-8a7a-8764f64c9f70,,3561,,,75,,[],jhancarloslara,MIN,,jhancarlos,,mlb,,,,San Cristobal,,Lara,,"{'bat_hand': 'R', 'channel_id': '1274786205828915200', 'full_name': 'Jhancarlos Lara', 'pro_debut': '', 'rookie_year': '', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-09-22T21:23:48+00:00'}",,81.0,,,,Jhancarlos Lara,,190,DOM,ATL,,,#jhancarloslara-MLB-ATL-81,SP,Jhancarlos,,lara,,19151.0
3356,,,1741549557892.0,,,TX,2002-08-07,,,,True,0e95bf6e-f4af-4d62-8d92-2835d2a7dc4f,,3356,,United South (TX),73,,[],marcoraya,MIN,,marco,,mlb,,,,Laredo,,Raya,,"{'bat_hand': 'R', 'channel_id': '1199824310819115008', 'full_name': 'Marco Raya', 'pro_debut': '', 'rookie_year': '', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-06-24T03:26:18+00:00'}",,85.0,,,,Marco Raya,,170,USA,MIN,,,#marcoraya-MLB-MIN-85,SP,Marco,,raya,,16893.0
1195,,,1698979842593.0,17.0,,CA,1984-12-19,,,,False,d9ed48ab-6740-411c-84b2-be4cc75b83c5,,1195,,La Quinta (CA),72,,[],iankennedy,D60,,ian,,mlb,USC,,602062DF8830,Huntington Beach,,Kennedy,,"{'bat_hand': 'R', 'full_name': 'Ian Kennedy', 'pro_debut': '2007-09-01', 'rookie_year': '2007', 'status': 'D60', 'throw_hand': 'R', 'updated': '2023-09-16T22:09:00+00:00'}",453178.0,21.0,,,,Ian Kennedy,,210,USA,TEX,,,#iankennedy-MLB-TEX-21,RP,Ian,,kennedy,,9309.0
2023,,,1758678301433.0,5.0,,MI,1991-09-04,,,,True,f14f29a3-5e4a-45c2-890b-ec02ed30e5b8,,2023,,Kingwood (TX),74,,[],kylefinnegan,A,,kyle,,mlb,Texas State,,E5F5EC0612E0,Detroit,,Finnegan,,"{'bat_hand': 'R', 'channel_id': '1157161592220057600', 'full_name': 'Kyle Finnegan', 'pro_debut': '2020-07-25', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-19T21:16:32+00:00'}",640448.0,64.0,,,,Kyle Finnegan,,198,USA,DET,,,#kylefinnegan-MLB-DET-64,RP,Kyle,,finnegan,,15866.0
1461,,,1739655317408.0,12.0,,TX,1990-06-06,,,,True,78712aa3-b342-48ee-a0cc-ab90d5dd3618,,1461,,Lamar (TX),73,,[],anthonyrendon,D60,,anthony,,mlb,Rice,,BC90FA8EDDA9,Richmond,IL60,Rendon,,"{'bat_hand': 'R', 'channel_id': '1157161321700032512', 'full_name': 'Anthony Rendon', 'pro_debut': '2013-04-21', 'rookie_year': '2013', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-02-15T21:17:05+00:00'}",543685.0,6.0,,,,Anthony Rendon,,200,USA,LAA,,Hip,#anthonyrendon-MLB-LAA-6,3B,Anthony,,rendon,Surgery,12122.0
2481,,,,,,NC,,,,,True,58831505-e236-4871-9f20-1e9d8bb0fa60,,2481,,Northwood (NC),76,,[],austinbrice,A,,austin,,mlb,,,,Pittsboro,,Brice,,"{'bat_hand': 'R', 'full_name': 'Austin Brice', 'pro_debut': '2016-08-12', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-08-13T13:05:07+00:00'}",592169.0,72.0,,,,Austin Brice,,238,USA,PIT,,,#austinbrice-MLB-PIT-72,RP,Austin,,brice,,
2125,,,1747143313108.0,9.0,,,1984-06-09,,,,True,bd519b9f-7539-4282-a741-3bd2bf532c40,,2125,,,72,,[],yuligurriel,A,,yuli,,mlb,,,495F47F028E9,Sancti Spiritus,,Gurriel,,"{'bat_hand': 'R', 'channel_id': '1157161423785197568', 'full_name': 'Yuli Gurriel', 'pro_debut': '2016-08-21', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-03-29T04:42:21+00:00'}",493329.0,10.0,,,,Yuli Gurriel,,215,CUB,SD,,,#yuligurriel-MLB-SD-10,1B,Yuli,,gurriel,,8905.0
1590,,,1757268934235.0,5.0,,,1994-06-03,,,,True,0672f3d5-5781-47bb-b111-abec96c38355,,1590,,,69,,[],ramonurias,A,,ramon,,mlb,,,B81FF4E3B904,Magdalena de Kino,,Urías,,"{'bat_hand': 'R', 'channel_id': '1157161387248615424', 'full_name': 'Ramón Urías', 'pro_debut': '2020-08-20', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-01T19:43:27+00:00'}",602104.0,29.0,,,,Ramón Urías,,185,MEX,HOU,,,#ramonurias-MLB-HOU-29,3B,Ramón,,urias,,15783.0
1510,,,1715349922842.0,7.0,,GA,1994-09-06,,,,True,1e346b4f-2348-4a1c-9887-45ba04d91e7b,,1510,,Loganville (GA),71,,[],clintfrazier,A,,clint,,mlb,,,75D4C48E7F97,Decatur,,Frazier,,"{'bat_hand': 'R', 'full_name': 'Clint Frazier', 'pro_debut': '2017-07-01', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-11-03T14:56:10+00:00'}",640449.0,15.0,,,,Clint Frazier,,212,USA,CWS,,,#clintfrazier-MLB-CWS-15,LF,Clint,,frazier,,12939.0
1995,,,1751947220878.0,4.0,,OK,1996-12-27,,,,False,a0d319f7-c641-4975-8bd3-1b2315460626,,1995,,Westmoore (OK),72,,[],kyletyler,MIN,,kyle,,mlb,Oklahoma,,7CC88E41D646,Oklahoma City,,Tyler,,"{'bat_hand': 'R', 'channel_id': '1157161178498105344', 'full_name': 'Kyle Tyler', 'pro_debut': '2021-09-05', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-06-24T00:46:39+00:00'}",667725.0,,,,,Kyle Tyler,,200,USA,BAL,,,#kyletyler-MLB-BAL,RP,Kyle,,tyler,,17616.0
1914,,,1737664255138.0,1.0,,FL,,,,,False,9f8dfe95-b45f-4fff-989a-951bd6cddf7c,,1914,,Tavares (FL),68,,[],markkolozsvary,MIN,,mark,,mlb,Florida,,,Tavares,IL60,Kolozsvary,,"{'bat_hand': 'R', 'full_name': 'Mark Kolozsvary', 'pro_debut': '2022-04-20', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-06-14T18:01:18+00:00'}",656627.0,56.0,,,,Mark Kolozsvary,,180,USA,BAL,,Undisclosed,#markkolozsvary-MLB-BAL-56,C,Mark,,kolozsvary,Not Specified,17072.0
1711,,,1759161035617.0,8.0,,,1996-10-24,,,,True,fe966998-15e1-4022-89d5-6b4750516176,,1711,,,72,,[],rafaeldevers,A,,rafael,,mlb,,,D1F45CEF3017,Sanchez,,Devers,,"{'bat_hand': 'L', 'channel_id': '1157161443016081408', 'full_name': 'Rafael Devers', 'pro_debut': '2017-07-25', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-18T13:27:07+00:00'}",646240.0,16.0,,,,Rafael Devers,,235,DOM,SF,,,#rafaeldevers-MLB-SF-16,DH,Rafael,,devers,,13179.0
1148,,,1754270148637.0,7.0,,,1994-11-25,,,,True,1b02041b-941f-46af-a52e-79072e0e2a33,,1148,,,73,,[],seranthonydominguez,A,,seranthony,,mlb,,,77AE1918F298,Esperanza Valverde Mao,,Domínguez,,"{'bat_hand': 'R', 'channel_id': '1157161394437652480', 'full_name': 'Seranthony Domínguez', 'pro_debut': '2018-05-07', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-30T14:25:30+00:00'}",622554.0,48.0,,,,Seranthony Domínguez,,225,DOM,TOR,,,#seranthonydominguez-MLB-TOR-48,RP,Seranthony,,dominguez,,14702.0
1649,,,1750085715440.0,6.0,,NY,1995-09-22,,,,False,a0fac67f-f601-4745-af63-92009f082930,,1649,,Valley Central (NY),75,,[],jameskarinchak,D60,,james,,mlb,Bryant,,574B92CB860B,Walden,,Karinchak,,"{'bat_hand': 'R', 'channel_id': '1157161416457748480', 'full_name': 'James Karinchak', 'pro_debut': '2019-09-14', 'rookie_year': '2019', 'status': 'D60', 'throw_hand': 'R', 'updated': '2024-03-28T20:24:32+00:00'}",675916.0,99.0,,,,James Karinchak,,215,USA,CLE,,,#jameskarinchak-MLB-CLE-99,RP,James,,karinchak,,14878.0
3414,,,1758811511035.0,0.0,,CA,2002-08-15,,,,True,00ce18c4-c489-4350-a550-06a6d3948581,,3414,,Aptos (CA),72,,[],lukekeaschall,D10,,luke,,mlb,Arizona State,,993BBFFCC1462B1F,Watsonville,IL10,Keaschall,,"{'bat_hand': 'R', 'channel_id': '1218721889619300352', 'full_name': 'Luke Keaschall', 'pro_debut': '2025-04-18', 'rookie_year': '2025', 'status': 'D10', 'throw_hand': 'R', 'updated': '2025-09-25T15:33:36+00:00'}",,15.0,,,,Luke Keaschall,,190,USA,MIN,,Thumb,#lukekeaschall-MLB-MIN-15,2B,Luke,,keaschall,Sprain,19005.0
1150,,,1725396930865.0,3.0,,GA,1992-06-04,,,,True,7eee576b-369f-4593-a59f-d0ee061b7622,,1150,,Woodstock (GA),76,,[],kentemanuel,A,,kent,,mlb,North Carolina,,C2BC0F27D234,Woodstock,,Emanuel,,"{'bat_hand': 'L', 'full_name': 'Kent Emanuel', 'pro_debut': '2021-04-24', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-08-09T19:09:17+00:00'}",592288.0,74.0,,,,Kent Emanuel,,225,USA,MIA,,,#kentemanuel-MLB-MIA-74,RP,Kent,,emanuel,,13053.0
1813,,,1758243319797.0,11.0,,NJ,1990-04-18,,,,True,07af23d5-a3b9-4526-9e89-8c7f9f5facb4,,1813,,Colts Neck (NJ),74,,[],anthonydesclafani,A,,anthony,,mlb,Florida,,6BE6FC3855DB,Freehold,,DeSclafani,,"{'bat_hand': 'R', 'channel_id': '1157161513350365184', 'full_name': 'Anthony DeSclafani', 'pro_debut': '2014-05-14', 'rookie_year': '2014', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-07T16:43:04+00:00'}",543101.0,21.0,,,,Anthony DeSclafani,,195,USA,AZ,,,#anthonydesclafani-MLB-AZ-21,SP,Anthony,,desclafani,,12755.0
2330,,,,,,FL,,,,,True,1816ec27-3ce2-4edb-8f15-2451afe99ab2,,2330,,Port St. Joe (FL),70,,[],romanquinn,A,,roman,,mlb,,,,Port St. Joe,,Quinn,,"{'bat_hand': 'B', 'full_name': 'Roman Quinn', 'pro_debut': '2016-09-11', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-19T19:46:44+00:00'}",596451.0,25.0,,,,Roman Quinn,,175,USA,TB,,,#romanquinn-MLB-TB-25,CF,Roman,,quinn,,
1609,,,,,,OH,,,,,False,11c4591d-a21d-45b9-8e3a-cbba1d633646,,1609,,Cuyahoga Falls (OH),74,,[],zaclowther,MIN,,zac,,mlb,Xavier,,,Brooklyn Heights,,Lowther,,"{'bat_hand': 'L', 'full_name': 'Zac Lowther', 'pro_debut': '2021-04-25', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-06-01T18:58:08+00:00'}",675912.0,59.0,,,,Zac Lowther,,235,USA,BAL,,,#zaclowther-MLB-BAL-59,SP,Zac,,lowther,,
2854,,,1751061931975.0,2.0,,TX,1998-02-22,,,,True,0feb47d0-1eac-4553-9a83-5926f9cc795b,,2854,,Aledo (TX),76,,[],codybradford,D60,,cody,,mlb,Baylor,,B13426733E92,Aledo,IL60,Bradford,,"{'bat_hand': 'L', 'channel_id': '1157161609374760960', 'full_name': 'Cody Bradford', 'pro_debut': '2023-05-15', 'rookie_year': '2023', 'status': 'D60', 'throw_hand': 'L', 'updated': '2025-04-08T19:55:17+00:00'}",674003.0,61.0,,,,Cody Bradford,,197,USA,TEX,,Elbow,#codybradford-MLB-TEX-61,RP,Cody,,bradford,Sprain,16193.0
3060,,,1733161515884.0,,,,2003-01-13,,,,True,a86edd63-4b53-4186-bf6a-0b3d5599b2ce,,3060,,,75,,[],alexramirez,A,,alex,,mlb,,,ACA1D837A0EF,Santo Domingo,,Ramírez,,"{'bat_hand': 'R', 'channel_id': '1157161691633451008', 'full_name': 'Alex Ramírez', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-10-22T13:15:43+00:00'}",691267.0,72.0,,,,Alex Ramírez,,170,DOM,NYM,,,#alexramirez-MLB-NYM-72,CF,Alex,,ramirez,,16342.0
2109,,,1700280312129.0,2.0,,,1996-08-26,,,,False,2ac39674-410e-4542-b9f3-e67b04f85782,,2109,,,77,,[],jcmejia,D60,,jc,,mlb,,,DD3E57770213,Gaspar Hernandez,,Mejía,,"{'bat_hand': 'R', 'full_name': 'J.C. Mejía', 'pro_debut': '2021-05-21', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2023-09-21T02:16:15+00:00'}",650496.0,36.0,,,,J.C. Mejía,,240,DOM,MIL,,,#jcmejia-MLB-MIL-36,RP,J.C.,,mejia,,15792.0
1749,,,1754948751423.0,3.0,,,1999-03-01,,,,True,f2c55fb7-f18f-44ab-80a0-7e5d8ee165cc,,1749,,,72,,[],oswaldocabrera,D60,,oswaldo,,mlb,,,5ACB5F70F3B8,Guarenas,IL60,Cabrera,,"{'bat_hand': 'B', 'channel_id': '1157161465300418560', 'full_name': 'Oswaldo Cabrera', 'pro_debut': '2022-08-17', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-06-24T03:08:27+00:00'}",665828.0,95.0,,,,Oswaldo Cabrera,,200,VEN,NYY,,Ankle,#oswaldocabrera-MLB-NYY-95,3B,Oswaldo,,cabrera,Surgery,17675.0
3054,,,1741280422618.0,1.0,,,2001-12-15,,,,True,f66bebbb-fb11-4bc4-b4a6-f822959e8e73,,3054,,,76,,[],jairoiriarte,MIN,,jairo,,mlb,,,33D599567DC9,La Guaira,,Iriarte,,"{'bat_hand': 'R', 'channel_id': '1157161290716708864', 'full_name': 'Jairo Iriarte', 'pro_debut': '2024-09-03', 'rookie_year': '2024', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-04-02T16:11:03+00:00'}",683568.0,58.0,,,,Jairo Iriarte,,240,VEN,CWS,,,#jairoiriarte-MLB-CWS-58,SP,Jairo,,iriarte,,18187.0
2320,,,,,,PA,,,,,False,236dff4a-aec7-4ce9-9d32-6dc857c045b0,,2320,,Norwin (PA),72,,[],jjmatijevic,MIN,,jj,,mlb,Arizona,,,Latrobe,,Matijevic,,"{'bat_hand': 'L', 'full_name': 'J.J. Matijevic', 'pro_debut': '2022-04-22', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-03-28T21:25:50+00:00'}",656695.0,13.0,,,,J.J. Matijevic,,206,USA,HOU,,,#jjmatijevic-MLB-HOU-13,1B,J.J.,,matijevic,,
1100,,,1759099231709.0,11.0,,CT,1989-09-19,,,,True,7f92278a-91c4-4c25-9e75-eaff3aed89b3,,1100,,Avon Old Farms School (CT),73,,[],georgespringer,A,,george,,mlb,UConn,,4EA0B72B5B41,New Britain,,Springer,,"{'bat_hand': 'R', 'channel_id': '1157161147070185472', 'full_name': 'George Springer', 'pro_debut': '2014-04-16', 'rookie_year': '2014', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-16T16:10:13+00:00'}",543807.0,4.0,,,,George Springer,,220,USA,TOR,,,#georgespringer-MLB-TOR-4,RF,George,,springer,,12130.0
1895,,,1732744237183.0,6.0,,,1993-12-26,,,,True,5bccd611-800b-4333-8292-13d0564db285,,1895,,,74,,[],yonnychirinos,A,,yonny,,mlb,,,5B720B339387,Bachaquero,,Chirinos,,"{'bat_hand': 'R', 'full_name': 'Yonny Chirinos', 'pro_debut': '2018-04-01', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-06-19T14:26:09+00:00'}",630023.0,26.0,,,,Yonny Chirinos,,225,VEN,MIA,,,#yonnychirinos-MLB-MIA-26,SP,Yonny,,chirinos,,15140.0
