birth_country,birth_date,gsis_id,injury_notes,practice_description,search_full_name,oddsjam_id,sportradar_id,injury_body_part,team,kalshi_id,depth_chart_order,news_updated,opta_id,active,birth_city,competitions,fantasy_data_id,high_school,injury_start_date,swish_id,search_first_name,status,rotowire_id,hashtag,pandascore_id,depth_chart_position,weight,stats_id,full_name,practice_participation,birth_state,height,first_name,rotoworld_id,college,yahoo_id,search_rank,fantasy_positions,metadata,last_name,sport,team_changed_at,injury_status,team_abbr,position,player_id,espn_id,age,number,search_last_name,years_exp
,2002-01-21,,,,moussadiabate,9B215D378490,78dc76b4-a810-4e4a-9418-5cf3fa03582f,,CHA,,2.0,1756484424153.0,,True,,[],20002903.0,IMG Academy (FL),,1324359.0,moussa,ACT,5708.0,#moussadiabate-NBA-CHA-14,,C,210,,Moussa Diabaté,,,81,Moussa,,Michigan,,266.0,"['C', 'PF']",{'channel_id': '1124473342351384576'},Diabaté,nba,,,,C,2474,,23.0,14.0,diabate,3.0
,1997-06-10,,,,svimykhailiuk,D44ED022E7C7,8c0929ae-ce3d-47e0-a964-bf6b8d3981ab,,UTA,,4.0,1744670739893.0,,True,,[],20002035.0,Cherkasy First City Gymnasia (UKR),,843265.0,svi,ACT,4457.0,#svimykhailiuk-NBA-UTA-19,,SF,205,,Svi Mykhailiuk,,,79,Svi,,Kansas,,,"['PF', 'SF', 'SG']",{'channel_id': '1121491264278130688'},Mykhailiuk,nba,,,,SF,1907,,28.0,19.0,mykhailiuk,7.0
,1992-06-05,,,,michaelgbinije,,5c34358e-f11c-4e71-b8e9-da2eb13f9d1f,,,,,,,True,,[],,Benedictine College Prep,,,michael,FA,,#michaelgbinije-NBA-FA,,,200,,Michael Gbinije,,,79,Michael,,Syracuse,,,"['PG', 'SG']",{'channel_id': '1153292745981317120'},Gbinije,nba,,,,SG,1684,,33.0,,gbinije,1.0
,1986-01-03,,,,nikolapekovic,,ce45bcdc-8ce8-43cd-8039-87164b5abf8a,,,,,,,False,,[],,,,,nikola,RET,,#nikolapekovic-NBA-FA,,,307,,Nikola Peković,,,83,Nikola,,,,,['C'],{'channel_id': '1153293036801773568'},Peković,nba,,,,C,1195,,39.0,,pekovic,6.0
,1997-03-30,,,,admiralschofield,DE7E383D4EBA,ddebd1eb-4298-449d-850a-4dd5f84da05c,,,,,1724004325893.0,,True,,[],,Zion-Benton Township (IL),,887494.0,admiral,FA,4854.0,#admiralschofield-NBA-FA,,,241,,Admiral Schofield,,,77,Admiral,,Tennessee,,,"['PF', 'SF']",{'channel_id': '1153293169706684416'},Schofield,nba,,,,PF,2023,,28.0,,schofield,3.0
,1990-05-16,,,,williereed,,ab55b5eb-f998-4480-a69b-eacaa7325ff3,,,,,,,True,,[],,Bishop Miege (KS),,,willie,FA,,#williereed-NBA-FA,,,245,,Willie Reed,,,83,Willie,,Saint Louis,,,['C'],{'channel_id': '1153293004438523904'},Reed,nba,,,,C,1461,,35.0,,reed,3.0
,2000-10-12,,,,marjonbeauchamp,54D4C7A786BA,fc036630-debc-44bf-9663-03c3fbd3045c,,,,,1759254648412.0,,True,,[],20002865.0,Dream City Christian (AZ),,1357744.0,marjon,FA,5564.0,#marjonbeauchamp-NBA-FA,,,199,,MarJon Beauchamp,,,79,MarJon,,Yakima Valley (WA),,355.0,['PF'],{'channel_id': '1113936527563423744'},Beauchamp,nba,,,,PF,2481,,24.0,,beauchamp,2.0
,1999-07-02,,,,isaiahjoe,60562D4F275B,36d083a5-49ca-42f1-80b7-b78275a8abd9,,OKC,,3.0,1757344839981.0,,True,,[],20002574.0,Northside (AR),,1134010.0,isaiah,ACT,5291.0,#isaiahjoe-NBA-OKC-11,,SG,165,,Isaiah Joe,,,75,Isaiah,,Arkansas,,277.0,"['PG', 'SF', 'SG']",{'channel_id': '1113936531191496704'},Joe,nba,,,,SG,2125,,26.0,11.0,joe,5.0
,1995-08-02,,,,kristapsporzingis,FA629BAD3134,3c5901ef-af1d-441d-aeed-8e0a93cead49,,ATL,,1.0,1759257048636.0,,True,,[],20001406.0,,,877869.0,kristaps,ACT,3669.0,#kristapsporzingis-NBA-ATL-8,,PF,240,,Kristaps Porziņģis,,,86,Kristaps,,,,72.0,"['C', 'PF']",{'channel_id': '1113936513910964224'},Porziņģis,nba,,,,C,1590,,30.0,8.0,porzingis,9.0
,2001-09-27,,,,caleblove,,a26661fb-805f-41a9-8fc9-8ed805233482,,POR,,3.0,1752642935013.0,,True,,[],20003503.0,Christian Brothers College (MO),,,caleb,TWO-WAY,6603.0,#caleblove-NBA-POR-2,,PG,205,,Caleb Love,,,76,Caleb,,Arizona,,397.0,"['PG', 'SG']",{'channel_id': '1244204733124595712'},Love,nba,,,,SG,4804,,24.0,2.0,love,0.0
,1990-11-01,,,,timfrazier,,005948cb-f744-4928-bf7f-d26076717c99,,,,,1646794224291.0,,True,,[],,Strake Jesuit (TX),,513606.0,tim,FA,3695.0,#timfrazier-NBA-FA,,,170,,Tim Frazier,,,73,Tim,,Penn State,,,['PG'],{'channel_id': '1153292813769658368'},Frazier,nba,,,,PG,1510,,34.0,,frazier,8.0
,1996-04-13,,,,isaiahbriscoe,,fbd00dc4-4f26-428e-b5e1-2f125f5c1499,,,,,,,True,,[],,Roselle Catholic,,,isaiah,FA,,#isaiahbriscoe-NBA-FA,,,215,,Isaiah Briscoe,,,75,Isaiah,,Kentucky,,,"['PG', 'SG']",{'channel_id': '1153292670391570432'},Briscoe,nba,,,,PG,1995,,29.0,,briscoe,1.0
,2001-04-25,,,,djrodman,,62829de2-38c3-42f0-8c98-9a5fbee625f6,,CHA,,,,,True,,[],20003420.0,JSerra Catholic (CA),,,dj,ACT,,#djrodman-NBA-CHA-27,,,215,,DJ Rodman,,,78,DJ,,USC,,,"['PG', 'SF', 'SG']",{'channel_id': '1278986541166788608'},Rodman,nba,,,,PG,4828,,24.0,27.0,rodman,0.0
,1992-04-27,,,,mitchcreek,,1d65b7a8-19f1-4d28-8293-a8ad7fc0dbc2,,,,,,,True,,[],,,,,mitch,FA,,#mitchcreek-NBA-FA,,,225,,Mitch Creek,,,78,Mitch,,,,,"['PF', 'SF']",{'channel_id': '1153292627018272768'},Creek,nba,,,,SF,1914,,33.0,,creek,1.0
,1996-10-24,,Surgery,,jaylenbrown,C7D85481029D,ffc5579c-783f-4d62-80ab-3c3dcb05a27d,Knee,BOS,,1.0,1759248347839.0,,True,,[],20001672.0,Wheeler (GA),,883436.0,jaylen,ACT,3894.0,#jaylenbrown-NBA-BOS-7,,SF,223,,Jaylen Brown,,,78,Jaylen,,California,,22.0,"['SF', 'SG']",{'channel_id': '1113936515404136448'},Brown,nba,,DTD,,SF,1711,,28.0,7.0,brown,9.0
,1987-12-09,,,,geraldhenderson,,390c3ce6-7e5b-4aba-bd54-4dfb6add4767,,,,,,,False,,[],,The Episcopal Academy (PA),,,gerald,RET,,#geraldhenderson-NBA-FA,,,215,,Gerald Henderson,,,77,Gerald,,Duke,,,"['PG', 'SG']",{'channel_id': '1153293039012171776'},Henderson,nba,,,,SG,1148,,37.0,,henderson,8.0
,1993-01-28,,,,alanwilliams,,172550b2-d010-4bcb-b325-6e3c5cfc6551,,,,,,,True,,[],,North (AZ),,,alan,FA,,#alanwilliams-NBA-FA,,,265,,Alan Williams,,,80,Alan,,UC Santa Barbara,,,"['PF', 'SF']",{'channel_id': '1153292484084781056'},Williams,nba,,,,PF,1649,,32.0,,williams,4.0
,1987-02-28,,,,joshmcroberts,,54723896-1f7b-4150-95d6-0392596a328f,,,,,,,False,,[],,Carmel (IN),,,josh,RET,,#joshmcroberts-NBA-FA,,,240,,Josh McRoberts,,,82,Josh,,Duke,,,"['C', 'PF']",{'channel_id': '1153293205156941824'},McRoberts,nba,,,,PF,1150,,38.0,,mcroberts,11.0
,1994-02-09,,,,tylercavanaugh,,dec4a0a2-251a-4142-8b88-0f7be1d7433c,,,,,,,True,,[],,Jamesville-DeWitt Central (NY),,,tyler,FA,,#tylercavanaugh-NBA-FA,,,238,,Tyler Cavanaugh,,,81,Tyler,,George Washington,,,"['PF', 'SF']",{'channel_id': '1153293011648532480'},Cavanaugh,nba,,,,PF,1813,,31.0,,cavanaugh,1.0
,2001-04-23,,,,johntonje,,cf4d4c23-9ccc-4cf3-b620-9749a8e65064,,UTA,,5.0,1756240806597.0,,True,,[],20003497.0,Omaha Central (NE),,,john,TWO-WAY,6570.0,#johntonje-NBA-UTA-17,,SG,212,,John Tonje,,,77,John,,Wisconsin,,415.0,"['PG', 'SG']",{'channel_id': '1244166993775439872'},Tonje,nba,,,,SG,4788,,24.0,17.0,tonje,0.0
,1999-08-30,,,,aaronhenry,,0b295571-ce3f-4436-aea7-b84e9cf7203a,,,,,1654806017563.0,,True,,[],,Ben Davis (IN),,1133812.0,aaron,FA,5362.0,#aaronhenry-NBA-FA,,,210,,Aaron Henry,,,77,Aaron,,Michigan State,,600.0,['SF'],{'channel_id': '1153292475738116096'},Henry,nba,,,,SF,2330,,26.0,,henry,1.0
,1993-04-04,,,,frankkaminsky,A55609B97B81389A,c9b1c381-e0ac-4618-9887-ce3e8993b265,,,,,1729372551827.0,,True,,[],,Benet Academy (IL),,606731.0,frank,FA,3713.0,#frankkaminsky-NBA-FA,,,240,,Frank Kaminsky,,,84,Frank,,Wisconsin,,,['C'],{'channel_id': '1145423875673186304'},Kaminsky,nba,,,,C,1609,,32.0,,kaminsky,7.0
,2000-06-19,,,,emanuelmiller,15E81CAD9ABA,6f4f5e4b-37d7-4d28-a226-4f52d09aab02,,CHI,,8.0,1735323636288.0,,True,,[],20003372.0,Prolific (CA),,1195700.0,emanuel,TWO-WAY,6017.0,#emanuelmiller-NBA-CHI-2,,PF,215,,Emanuel Miller,,,79,Emanuel,,TCU,,,"['PF', 'SF']",{'channel_id': '1145537157851537408'},Miller,nba,,,,PF,2854,,25.0,2.0,miller,1.0
,1995-01-05,,,,ericmika,,8f98099a-d6c5-4f12-b5dd-90c9f95e6556,Ankle,,,,1625151350907.0,,True,,[],,Lone Peak (UT),,,eric,FA,4180.0,#ericmika-NBA-FA,,,240,,Eric Mika,,,82,Eric,,BYU,,,"['PF', 'SF']",{'channel_id': '1153292297908015104'},Mika,nba,,DTD,,PF,2109,,30.0,,mika,1.0
,1996-11-26,,,,malikbeasley,86BA5B4A676C,d3392ee6-cbe4-419e-bbd5-1b658d83e10e,,,,,1755873332280.0,,True,,[],20001678.0,St. Francis (GA),,879503.0,malik,FA,3853.0,#malikbeasley-NBA-FA,,,187,,Malik Beasley,,,76,Malik,,Florida State,,214.0,"['SF', 'SG']",{'channel_id': '1115338000893493248'},Beasley,nba,,,,SG,1749,,28.0,,beasley,8.0
,2006-08-13,,Soreness,,acebailey,,c5fca05e-7292-464b-b9cd-d5d0f5e2fd07,Hip,UTA,,1.0,1756722042492.0,,True,,[],20003446.0,McEachern (GA),,,ace,ACT,6551.0,#acebailey-NBA-UTA-19,,SF,210,,Ace Bailey,,,82,Ace,,Rutgers,,161.0,"['PG', 'SF', 'SG']",{'channel_id': '1243819693458853888'},Bailey,nba,,DTD,,SF,4758,,19.0,19.0,bailey,0.0
,2000-03-24,,,,duanewashington,85816C27B910,08fd692d-bce8-4f56-9add-77efc68637e8,,,,,1728481827952.0,,True,,[],,Sierra Canyon (CA),,1133864.0,duane,FA,5417.0,#duanewashington-NBA-FA,,,197,,Duane Washington,,,74,Duane,,Ohio State,,,"['PG', 'SF', 'SG']",{'channel_id': '1147213188526268416'},Washington,nba,,,,SG,2320,,25.0,,washington,2.0
,1989-03-25,,,,jamesanderson,,27ce12ca-20d5-4911-b0aa-c43f960b7ef0,,,,,,,True,,[],,Junction City (AR),,,james,FA,,#jamesanderson-NBA-FA,,,210,,James Anderson,,,78,James,,Oklahoma State,,,"['SF', 'SG']",{'channel_id': '1153293200715173888'},Anderson,nba,,,,SG,1100,,36.0,,anderson,5.0
,1996-09-30,,,,aaronholiday,2F2224A3FCF2,877eb456-2827-475f-b858-2bc00480e24f,,HOU,,2.0,1758586842835.0,,True,,[],20002005.0,Campbell Hall (CA),,884087.0,aaron,ACT,4380.0,#aaronholiday-NBA-HOU-0,,PG,185,,Aaron Holiday,,,72,Aaron,,UCLA,,391.0,['PG'],{'channel_id': '1113936509070737408'},Holiday,nba,,,,PG,1895,,29.0,0.0,holiday,7.0
,1999-10-20,,,,javonfreemanliberty,7B6CFEB87168,6830096d-0ede-42a9-9b55-a1388760f786,,,,,1754202945140.0,,True,,[],,Whitney Young (IL),,1135246.0,javon,FA,5657.0,#javonfreemanliberty-NBA-FA,,,190,,Javon Freeman-Liberty,,,75,Javon,,DePaul,,532.0,"['PG', 'SG']",{'channel_id': '1113936518398869504'},Freeman-Liberty,nba,,,,PG,2496,,25.0,,freemanliberty,1.0
,1995-02-25,,,,mariohezonja,,4ffb4f4f-f824-4e2f-9f6b-6a05cf2f29ff,,,,,1719940548284.0,,True,,[],,,,,mario,FA,3578.0,#mariohezonja-NBA-FA,,,220,,Mario Hezonja,,,80,Mario,,,,,"['PF', 'SF']",{'channel_id': '1153293003134095360'},Hezonja,nba,,,,PF,1660,,30.0,,hezonja,5.0
,1985-02-06,,,,krishumphries,,1a072572-763d-4839-b920-82b48d8e296a,,,,,,,False,,[],,Hopkins (MN),,,kris,RET,,#krishumphries-NBA-FA,,,235,,Kris Humphries,,,81,Kris,,Minnesota,,,"['PF', 'SF']",{'channel_id': '1153292219013156864'},Humphries,nba,,,,PF,1279,,40.0,,humphries,13.0
,1995-10-02,,Soreness,,brandongoodwin,,ab6f22fc-0ad6-4323-a5fe-343e6f05e7e0,Foot,,,,1697922057032.0,,True,,[],,Norcross (GA),,795361.0,brandon,FA,4552.0,#brandongoodwin-NBA-FA,,,180,,Brandon Goodwin,,,72,Brandon,,Florida Gulf Coast,,,['PG'],{'channel_id': '1153292164583673856'},Goodwin,nba,,DTD,,PG,1991,,30.0,,goodwin,4.0
,1993-06-16,,,,alexlen,1E7B3CA035DD,2facd6c5-10c6-4481-a20f-a885b3f84460,,NYK,,,1759437610878.0,,True,,[],20000852.0,Dnipropetrovsk Higher College (UKR),,616982.0,alex,ACT,3436.0,#alexlen-NBA-NYK-21,,,250,,Alex Len,,,84,Alex,,Maryland,,,['C'],{'channel_id': '1113936535444520960'},Len,nba,,,,C,1412,,32.0,21.0,len,11.0
,1987-05-20,,,,ekpeudoh,,b90d7326-f5ab-4ed1-bdd9-db3b43318363,,,,,,,False,,[],,Santa Fe (OK),,,ekpe,RET,,#ekpeudoh-NBA-FA,,,245,,Ekpe Udoh,,,82,Ekpe,,Baylor,,,"['C', 'PF']",{'channel_id': '1153292063609999360'},Udoh,nba,,,,PF,1387,,38.0,,udoh,7.0
,1976-05-19,,,,kevingarnett,,82e44ba0-efd4-41de-b998-056d2865cebf,,,,,,,False,,[],,Farragut Career Academy (IL),,,kevin,RET,,#kevingarnett-NBA-FA,,,253,,Kevin Garnett,,,83,Kevin,,,,,"['C', 'PF']",{'channel_id': '1153292846690750464'},Garnett,nba,,,,PF,1172,,49.0,,garnett,21.0
,1997-11-05,,,,jordanbone,,5693e39f-fb95-4fcc-877e-e131270bcb02,,,,,1612380902401.0,,True,,[],,The Ensworth School (TN),,,jordan,FA,4832.0,#jordanbone-NBA-FA,,,180,,Jordan Bone,,,74,Jordan,,Tennessee,,,"['PG', 'SG']",{'channel_id': '1153292769251315712'},Bone,nba,,,,PG,2025,,27.0,,bone,1.0
,1991-02-19,,,,adreianpayne,,14eec5cb-d598-4a56-ab50-7fda7032635c,,,,,,,False,,[],,Jefferson Township (OH),,,adreian,RET,,#adreianpayne-NBA-FA,,,237,,Adreian Payne,,,82,Adreian,,Michigan State,,,"['PF', 'SF']",{'channel_id': '1153292481324929024'},Payne,nba,,,,PF,1523,,34.0,,payne,4.0
,2006-04-14,,,,bensaraf,,bc86dba7-561a-4fa0-9639-83d50b2c29ba,,BKN,,4.0,1757024445471.0,,True,,[],20003475.0,,,,ben,ACT,6563.0,#bensaraf-NBA-BKN-77,,PG,201,,Ben Saraf,,,78,Ben,,,,399.0,"['PG', 'SG']",{'channel_id': '1243819673846288384'},Saraf,nba,,,,PG,4746,,19.0,77.0,saraf,0.0
,2000-12-11,,,,alexducas,AAA24CB8C232,c126763c-11eb-4c66-8a7d-a962934632ca,,,,,1752073536052.0,,True,,[],20003272.0,Lake Ginninderra (AUS),,1184616.0,alex,FA,6325.0,#alexducas-NBA-FA,,,220,,Alex Ducas,,,79,Alex,,Saint Mary's,,,"['PF', 'SF']",{'channel_id': '1113936532642725888'},Ducas,nba,,,,PF,2782,,24.0,,ducas,1.0
,2000-06-16,,,,cjelleby,,fda9e870-e97c-4df9-895a-0ec981cdd820,,,,,1665849342130.0,,True,,[],,Cleveland (WA),,1135177.0,cj,FA,5293.0,#cjelleby-NBA-FA,,,200,,CJ Elleby,,,78,CJ,,Washington State,,593.0,"['PF', 'SF', 'SG']",{'channel_id': '1153292989376778240'},Elleby,nba,,,,SF,2160,,25.0,,elleby,2.0
,1991-01-08,,,,gregsmith,,55282562-23ba-4c6f-9f8e-417d3ffb79e0,,,,,1596175233620.0,,True,,[],,Westwind Prep (AZ),,,greg,FA,2484.0,#gregsmith-NBA-FA,,,250,,Greg Smith,,,82,Greg,,Fresno State,,960.0,"['PF', 'SF']",{'channel_id': '1153292234230091776'},Smith,nba,,,,PF,1009,,34.0,,smith,5.0
,2000-03-10,,,,taevionkinsey,A71D220F0F0C,e6b17416-cb00-4271-bb26-6e5e4801caae,,GSW,,,1756706141829.0,,True,,[],20003139.0,Eastmoor Academy (OH),,1134332.0,taevion,ACT,6012.0,#taevionkinsey-NBA-GSW-1,,,190,,Taevion Kinsey,,,77,Taevion,,Marshall,,,"['PG', 'SG']",{'channel_id': '1115073776728424448'},Kinsey,nba,,,,PG,2678,,25.0,1.0,kinsey,1.0
,1990-01-06,,,,seankilpatrick,,238e8363-aa63-4f01-b47c-5405e78b16e6,,,,,,,False,,[],,Notre Dame Prep (MA),,,sean,RET,,#seankilpatrick-NBA-FA,,,212,,Sean Kilpatrick,,,76,Sean,,Cincinnati,,,"['PG', 'SG']",{'channel_id': '1153292448676466688'},Kilpatrick,nba,,,,SG,1524,,35.0,,kilpatrick,4.0
,1985-02-10,,,,paulmillsap,,59f6f688-7000-4cf5-a27f-a1980dd86d93,,,,,1733253023417.0,,False,,[],,Grambling (LA),,237675.0,paul,RET,2705.0,#paulmillsap-NBA-FA,,,257,,Paul Millsap,,,79,Paul,,Louisiana Tech,,,"['C', 'PF']",{'channel_id': '1153293057559384064'},Millsap,nba,,,,PF,1250,,40.0,,millsap,16.0
,1999-07-12,,,,izaiahbrockington,F28A41156EA9,852e34ff-2735-4d9a-895c-cb45978ae13a,,,,,1727797512536.0,,True,,[],,Archbishop Ryan (PA),,1076287.0,izaiah,FA,5773.0,#izaiahbrockington-NBA-FA,,,196,,Izaiah Brockington,,,76,Izaiah,,Iowa State,,,"['PG', 'SG']",{'channel_id': '1113936513361510400'},Brockington,nba,,,,PG,2519,,26.0,,brockington,2.0
,2000-09-26,,,,baylorscheierman,9ED66C0258B0,b04cd5ce-e82c-47a7-9b2a-c561c1cb7b80,,BOS,,2.0,1753460402752.0,,True,,[],20003208.0,Aurora (NE),,1177129.0,baylor,ACT,6280.0,#baylorscheierman-NBA-BOS-55,,SG,205,,Baylor Scheierman,,,78,Baylor,,Creighton,,405.0,"['PF', 'SF']",{'channel_id': '1113936514925985792'},Scheierman,nba,,,,PF,2721,,25.0,55.0,scheierman,1.0
,,,,,ronhollandduplicate,,,,,,,,,False,,[],,,,,ron,,,#ronhollandduplicate-NBA-FA,,,,,Ron Holland DUPLICATE,,,,Ron,,,,,,{'name': 'Ron Holland'},Holland DUPLICATE,nba,,,,,2735,,,,hollandduplicate,
,2003-03-14,,,,jaziangortman,F5E7584A0A2C,f84e8c8e-4aeb-463d-b804-0cbbd74300e6,,OKC,,,1758907222025.0,,True,,[],20003125.0,Keenan (SC),,1486755.0,jazian,ACT,5975.0,#jaziangortman-NBA-OKC-14,,,184,,Jazian Gortman,,,74,Jazian,,,,594.0,"['PG', 'SG']",{'channel_id': '1145529603087933440'},Gortman,nba,,,,PG,2676,,22.0,14.0,gortman,1.0
,1991-09-19,,,,cjmccollum,F6E63D643B0D,bc70a55a-cee0-478f-9a13-cf51c4a4187c,,WAS,,1.0,1755717613777.0,,True,,[],20000620.0,Glen Oak (OH),,522878.0,cj,ACT,3437.0,#cjmccollum-NBA-WAS-3,,SG,190,,CJ McCollum,,,75,CJ,,Lehigh,,75.0,"['PG', 'SG']",{'channel_id': '1113936513588002816'},McCollum,nba,,,,SG,1450,,34.0,3.0,mccollum,12.0
,1997-03-11,,,,rayspalding,,89797d2a-8257-4b70-bc98-3bb0cec9dac0,,,,,1613521244068.0,,True,,[],,Trinity High School (KY),,,ray,FA,4432.0,#rayspalding-NBA-FA,,,215,,Ray Spalding,,,82,Ray,,Louisville,,,"['PF', 'SF']",{'channel_id': '1153292741359194112'},Spalding,nba,,,,PF,1966,,28.0,,spalding,1.0
,1995-09-21,,,,brunocaboclo,,664f0884-717b-4f4a-a1a6-79f08acb41bd,,,,,1722981009152.0,,True,,[],,Score Academy (NC),,,bruno,FA,3673.0,#brunocaboclo-NBA-FA,,,218,,Bruno Caboclo,,,81,Bruno,,,,,"['PF', 'SF']",{'channel_id': '1153292942090194944'},Caboclo,nba,,,,SF,1550,,30.0,,caboclo,7.0
,1996-02-01,,,,marcusderrickson,,c0b8144d-8e64-4146-a02a-670576ecba6d,,,,,,,True,,[],,Brewster Academy (NH),,,marcus,FA,,#marcusderrickson-NBA-FA,,,249,,Marcus Derrickson,,,79,Marcus,,Georgetown,,,"['PF', 'SF']",{'channel_id': '1153292649113866240'},Derrickson,nba,,,,PF,1897,,29.0,,derrickson,1.0
,1991-04-19,,Surgery,,kellyolynyk,C6ACD7DB6616,8e288d6e-50b8-404b-812b-823ae5bab61f,Heel,SAS,,3.0,1758432032580.0,,True,,[],20000564.0,South Kamloops (CAN),,514882.0,kelly,ACT,3443.0,#kellyolynyk-NBA-SAS-8,,C,240,,Kelly Olynyk,,,83,Kelly,,Gonzaga,,189.0,"['C', 'PF']",{'channel_id': '1113936518625361920'},Olynyk,nba,,DTD,,PF,1282,,34.0,8.0,olynyk,12.0
,2001-05-21,,,,myrongardner,,9cfaa435-cd0c-4616-924f-feb9c3df1c12,,MIA,,6.0,1753457702519.0,,True,,[],20003382.0,Detroit Loyola (MI),,,myron,TWO-WAY,6067.0,#myrongardner-NBA-MIA-15,,SF,220,,Myron Gardner,,,78,Myron,,Little Rock,,,"['PF', 'SF']",{'channel_id': '1254502505916661760'},Gardner,nba,,,,SF,4813,,24.0,15.0,gardner,0.0
,1994-12-16,,,,nigelhayesdavis,,5d756e84-5a91-4760-afeb-beec87692a75,,PHX,,3.0,1758039645510.0,,True,,[],20001888.0,Whitmer (OH),,,nigel,ACT,4149.0,#nigelhayesdavis-NBA-PHX-21,,SF,254,,Nigel Hayes-Davis,,,79,Nigel,,Wisconsin,,,"['PF', 'SF']",{'channel_id': '1153292582223106048'},Hayes-Davis,nba,,,,SF,1800,,30.0,21.0,hayesdavis,1.0
