player_id,rotowire_id,opta_id,search_rank,fantasy_data_id,sport,team_changed_at,oddsjam_id,height,swish_id,high_school,birth_state,injury_start_date,news_updated,active,gsis_id,injury_status,pandascore_id,weight,team,search_full_name,stats_id,years_exp,practice_description,yahoo_id,team_abbr,status,practice_participation,full_name,search_last_name,birth_city,age,fantasy_positions,sportradar_id,rotoworld_id,birth_country,depth_chart_position,last_name,metadata,number,espn_id,college,competitions,search_first_name,injury_body_part,injury_notes,depth_chart_order,position,player_id,first_name,hashtag,birth_date,kalshi_id
3374,,,,,nhl,,,74,,,,,,True,,,,178,VGK,lucasvanvliet,,,,,,UDP,,Lucas Van Vliet,vanvliet,,,,337f04b8-9e9c-485f-8aa3-2d94f3b215e7,,,,Van Vliet,"{'birth_date': '2006-01-25', 'birth_place': 'Livonia, MI, USA', 'college': 'Michigan State', 'draft_pick': '197', 'draft_round': '7', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",,,,[],lucas,,,,LW,3374,Lucas,#lucasvanvliet-NHL-VGK,,
1982,,,,,nhl,,,75,9015384.0,,,,,True,,,,205,SJ,kasperhalttunen,,,,,,ACT,,Kasper Halttunen,halttunen,,,,4296e99b-75bd-456b-89d2-b61ce57418ac,,,,Halttunen,"{'birth_date': '2005-06-07', 'birth_place': 'Helsinki,, FIN', 'channel_id': '1274484223717150720', 'college': '', 'draft_pick': '36', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",14.0,,,[],kasper,,,,RW,1982,Kasper,#kasperhalttunen-NHL-SJ-14,,
2474,,,,,nhl,,,74,,,,,,True,,,,198,PIT,mattfilipe,,,,,,ACT,,Matt Filipe,filipe,,,,e5df363d-5796-4737-9670-8a6a8254e829,,,,Filipe,"{'birth_date': '', 'birth_place': 'Lynnfield, MA, USA', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",37.0,,,[],matt,,,,LW,2474,Matt,#mattfilipe-NHL-PIT-37,,
1907,,,,,nhl,,,72,9013121.0,,,,,True,,,,205,VAN,jettwoo,,,,,,ACT,,Jett Woo,woo,,,,d7a9f3bc-7344-45c9-a226-175d414907d0,,,,Woo,"{'birth_date': '2000-07-27', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1274242673800130560', 'college': '', 'draft_pick': '37', 'draft_round': '2', 'draft_year': '2018', 'high_school': '', 'rookie_year': ''}",4.0,,,[],jett,,,,D,1907,Jett,#jettwoo-NHL-VAN-4,,
3342,,,,,nhl,,,74,,,,,,True,,,,174,TB,hagenburrows,,,,,,UDP,,Hagen Burrows,burrows,,,,1fe7b9fc-6689-4053-adb5-132e45726b96,,,,Burrows,"{'birth_date': '2005-10-13', 'birth_place': 'Plymouth, MN, USA', 'college': '', 'draft_pick': '128', 'draft_round': '4', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",,,,[],hagen,,,,RW,3342,Hagen,#hagenburrows-NHL-TB,,
1684,,,,,nhl,,,75,9000873.0,,,,,True,,,,197,PHI,nickseeler,,8.0,,,,ACT,,Nick Seeler,seeler,,,,5cc3cbb7-619c-466b-a845-fdce5d0c403d,,,,Seeler,"{'birth_date': '1993-06-03', 'birth_place': 'Eden Prairie, MN, USA', 'channel_id': '1157131242420850688', 'college': 'Minnesota', 'draft_pick': '131', 'draft_round': '5', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2017'}",24.0,,,[],nick,,,,D,1684,Nick,#nickseeler-NHL-PHI-24,,
3268,,,,,nhl,,,72,9024946.0,,,,,True,,,,181,CGY,henrymews,,,,,,ACT,,Henry Mews,mews,,,,c6afdeea-c191-49bc-afcc-07e63c0df967,,,,Mews,"{'birth_date': '2006-03-09', 'birth_place': 'Ottawa, ON, CAN', 'college': '', 'draft_pick': '74', 'draft_round': '3', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",53.0,,,[],henry,,,,D,3268,Henry,#henrymews-NHL-CGY-53,,
3561,,,,,nhl,,,68,9014814.0,,,,,True,,,,170,FLA,nathanstaios,,,,,,ACT,,Nathan Staios,staios,,,,59941ed7-b52f-4294-bd82-863db0e0551b,,,,Staios,"{'birth_date': '2001-05-17', 'birth_place': 'Atlanta, GA, USA', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",61.0,,,[],nathan,,,,D,3561,Nathan,#nathanstaios-NHL-FLA-61,,
3356,,,,,nhl,,,71,,,,,,True,,,,173,CAR,oskarvuollet,,,,,,UDP,,Oskar Vuollet,vuollet,,,,df7e8d98-1b4e-4be5-a187-5cd916d8842b,,,,Vuollet,"{'birth_date': '2005-12-03', 'birth_place': 'Skelleftea,, SWE', 'college': '', 'draft_pick': '133', 'draft_round': '5', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",,,,[],oskar,,,,LW,3356,Oskar,#oskarvuollet-NHL-CAR,,
1195,,,,,nhl,,,74,9012541.0,,,,,True,,,,176,VAN,eliaspettersson,,7.0,,,,ACT,,Elias Pettersson,pettersson,,,,04396c28-a071-478a-b387-a456fac24415,,,,Pettersson,"{'birth_date': '1998-11-12', 'birth_place': 'Sundsvall,, SWE', 'channel_id': '1157130978582351877', 'college': '', 'draft_pick': '5', 'draft_round': '1', 'draft_year': '2017', 'high_school': '', 'rookie_year': '2018'}",40.0,,,[],elias,,,,C,1195,Elias,#eliaspettersson-NHL-VAN-40,,
2023,,,,,nhl,,,73,9015398.0,,,,,True,,,,172,SEA,andreiloshko,,,,,,ACT,,Andrei Loshko,loshko,,,,533edd92-34fd-4774-9350-cb6b23fc466f,,,,Loshko,"{'birth_date': '2004-10-07', 'birth_place': 'Zhlobin,, BLR', 'channel_id': '1274605052547309568', 'college': '', 'draft_pick': '116', 'draft_round': '4', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",70.0,,,[],andrei,,,,C,2023,Andrei,#andreiloshko-NHL-SEA-70,,
1461,,,,,nhl,,,73,9012642.0,,,,,True,,,,193,BOS,jakublauko,,3.0,,,,ACT,,Jakub Lauko,lauko,,,,a74c2fe3-5399-4800-b77a-2482d49779d4,,,,Lauko,"{'birth_date': '2000-03-28', 'birth_place': 'Prague,, CZE', 'channel_id': '1157131035754909696', 'college': '', 'draft_pick': '77', 'draft_round': '3', 'draft_year': '2018', 'high_school': '', 'rookie_year': '2022'}",94.0,,,[],jakub,,,,C,1461,Jakub,#jakublauko-NHL-BOS-94,,
2481,,,,,nhl,,,74,9015611.0,,,,,True,,,,196,TB,tristanallard,,,,,,ACT,,Tristan Allard,allard,,,,2b6e4439-08ea-479e-9e52-b5acb2d94bf5,,,,Allard,"{'birth_date': '2002-06-23', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1274182274144796672', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",13.0,,,[],tristan,,,,LW,2481,Tristan,#tristanallard-NHL-TB-13,,
2125,,,,,nhl,,,77,,,,,,True,,,,205,NYR,tyhenricks,,,,,,NWT,,Ty Henricks,henricks,,,,e9ee8877-a7ec-4523-8ada-8bfc5816c443,,,,Henricks,"{'birth_date': '2005-06-28', 'birth_place': 'Mission Viejo, CA, USA', 'college': '', 'draft_pick': '183', 'draft_round': '6', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",,,,[],ty,,,,LW,2125,Ty,#tyhenricks-NHL-NYR,,
1590,,,,,nhl,,,71,9013010.0,,,,,True,,,,175,NJ,jackhughes,,6.0,,,,ACT,,Jack Hughes,hughes,,,,1b48264e-4f71-4aaf-a263-62ba01d12b63,,,,Hughes,"{'birth_date': '2001-05-14', 'birth_place': 'Orlando, FL, USA', 'channel_id': '1157131192315695104', 'college': '', 'draft_pick': '1', 'draft_round': '1', 'draft_year': '2019', 'high_school': '', 'rookie_year': '2019'}",86.0,,,[],jack,,,,C,1590,Jack,#jackhughes-NHL-NJ-86,,
1510,,,,,nhl,,,73,9012269.0,,,,,True,,,,185,COL,parkerkelly,,5.0,,,,ACT,,Parker Kelly,kelly,,,,4e64c03f-d335-44e5-b6ec-f1d3d3b567ba,,,,Kelly,"{'birth_date': '1999-05-14', 'birth_place': 'Camrose, AB, CAN', 'channel_id': '1157131000422092800', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",17.0,,,[],parker,,,,C,1510,Parker,#parkerkelly-NHL-COL-17,,
3620,,,,,nhl,,,72,9024856.0,,,,,True,,,,210,CAR,juhajaaska,,1.0,,,,ACT,,Juha Jaaska,jaaska,,,,6e1c8be0-d858-4c3f-ae8d-b35dd83d939f,,,,Jaaska,"{'birth_date': '1998-02-09', 'birth_place': 'Helsinki,, FIN', 'channel_id': '1180338839537864704', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2024'}",54.0,,,[],juha,,,,LW,3620,Juha,#juhajaaska-NHL-CAR-54,,
1995,,,,,nhl,,,72,,,,,,True,,,,176,NSH,felixnilsson,,,,,,NWT,,Felix Nilsson,nilsson,,,,33bea9b3-7379-4870-8f19-3dd1cfee6c31,,,,Nilsson,"{'birth_date': '2005-06-22', 'birth_place': 'Stockholm,, SWE', 'college': '', 'draft_pick': '43', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",,,,[],felix,,,,C,1995,Felix,#felixnilsson-NHL-NSH,,
1914,,,,,nhl,,,76,9014002.0,,,,,True,,,,211,BUF,joshuadunne,,5.0,,,,ACT,,Joshua Dunne,dunne,,,,3ba4b013-33d3-4963-adae-d0e62e4b1812,,,,Dunne,"{'birth_date': '1998-12-08', 'birth_place': ""O'Fallon, MO, USA"", 'channel_id': '1203954589280243712', 'college': 'Clarkson', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",44.0,,,[],joshua,,,,C,1914,Joshua,#joshuadunne-NHL-BUF-44,,
1711,,,,,nhl,,,71,8477244.0,,,,,True,,,,189,NYR,chadruhwedel,,12.0,,,,ACT,,Chad Ruhwedel,ruhwedel,,,,92ad3a04-a468-11e2-a01b-f4ce4684ea4c,,,,Ruhwedel,"{'birth_date': '1990-05-07', 'birth_place': 'San Diego, CA, USA', 'channel_id': '1162823525535330304', 'college': 'UMass Lowell', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2012'}",5.0,,,[],chad,,,,D,1711,Chad,#chadruhwedel-NHL-NYR-5,,
4038,,,,,nhl,,,74,,,,,,True,,,,210,SJ,jackbar,,,,,,ACT,,Jack Bar,bar,,,,bba2a007-df73-41c2-8168-7f6d6f240e91,,,,Bar,"{'birth_date': '2002-10-24', 'birth_place': 'Newmarket, ON, CAN', 'channel_id': '1274484200585564160', 'college': 'Harvard', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2021', 'high_school': '', 'rookie_year': ''}",98.0,,,[],jack,,,,D,4038,Jack,#jackbar-NHL-SJ-98,,
1148,,,,,nhl,,,75,9012321.0,,,,,True,,,,213,DAL,roopehintz,,7.0,,,,ACT,,Roope Hintz,hintz,,,,2f613430-45b9-462c-bd6a-cded28a7f8af,,,,Hintz,"{'birth_date': '1996-11-17', 'birth_place': 'Nokia,, FIN', 'channel_id': '1157130952200179712', 'college': '', 'draft_pick': '49', 'draft_round': '2', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2018'}",24.0,,,[],roope,,,,C,1148,Roope,#roopehintz-NHL-DAL-24,,
1649,,,,,nhl,,,71,8476389.0,,,,,True,,,,188,NYR,vincenttrocheck,,12.0,,,,ACT,,Vincent Trocheck,trocheck,,,,16bf9f68-95f9-4789-a811-80fe6838e632,,,,Trocheck,"{'birth_date': '1993-07-11', 'birth_place': 'Pittsburgh, PA, USA', 'channel_id': '1157131220555943936', 'college': '', 'draft_pick': '64', 'draft_round': '3', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2013'}",16.0,,,[],vincent,,,,C,1649,Vincent,#vincenttrocheck-NHL-NYR-16,,
3730,,,,,nhl,,,73,,,,,,True,,,,185,SJ,michaelmisa,,,,,,ACT,,Michael Misa,misa,,,,7573b389-d401-4e8d-9feb-195f293092ec,,,,Misa,"{'birth_date': '2007-02-16', 'birth_place': 'Oakville, ON, CAN', 'channel_id': '1244526798495039488', 'college': '', 'draft_pick': '2', 'draft_round': '1', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",77.0,,,[],michael,,,,C,3730,Michael,#michaelmisa-NHL-SJ-77,,
3414,,,,,nhl,,,77,9025075.0,,,,,True,,,,203,TOR,mattlahey,,,,,,ACT,,Matt Lahey,lahey,,,,8dd20ae1-45e7-4291-95b9-5fa0d87ece2d,,,,Lahey,"{'birth_date': '2006-07-17', 'birth_place': 'Victoria, BC, CAN', 'college': '', 'draft_pick': '200', 'draft_round': '7', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",,,,[],matt,,,,D,3414,Matt,#mattlahey-NHL-TOR,,
1150,,,,,nhl,,,71,8470794.0,,,,,True,,,,200,DAL,joepavelski,,18.0,,,,ACT,,Joe Pavelski,pavelski,,,,428e37b4-0f24-11e2-8525-18a905767e44,,,,Pavelski,"{'birth_date': '1984-07-11', 'birth_place': 'Plover, WI, USA', 'college': 'Wisconsin', 'draft_pick': '205', 'draft_round': '7', 'draft_year': '2003', 'high_school': '', 'rookie_year': '2006'}",16.0,,,[],joe,,,,C,1150,Joe,#joepavelski-NHL-DAL-16,,
1813,,,,,nhl,,,70,9013524.0,,,,,True,,,,184,CAR,sethjarvis,,4.0,,,,ACT,,Seth Jarvis,jarvis,,,,651605ef-de59-41bf-b66c-9806f1ea9162,,,,Jarvis,"{'birth_date': '2002-02-01', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1157131313560440832', 'college': '', 'draft_pick': '13', 'draft_round': '1', 'draft_year': '2020', 'high_school': '', 'rookie_year': '2021'}",24.0,,,[],seth,,,,C,1813,Seth,#sethjarvis-NHL-CAR-24,,
2330,,,,,nhl,,,70,9000575.0,,,,,True,,,,181,WSH,lukephilp,,2.0,,,,ACT,,Luke Philp,philp,,,,d5bc6dd3-62d7-495d-af1b-41fe17d0d025,,,,Philp,"{'birth_date': '1995-11-06', 'birth_place': 'Canmore, AB, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2022'}",64.0,,,[],luke,,,,C,2330,Luke,#lukephilp-NHL-WSH-64,,
1609,,,,,nhl,,,73,9014248.0,,,,,True,,,,194,NJ,topiasvilen,,1.0,,,,ACT,,Topias Vilen,vilen,,,,8abe3899-6c15-47a8-9039-e09acc134051,,,,Vilen,"{'birth_date': '2003-04-01', 'birth_place': 'Lahti,, FIN', 'channel_id': '1221213263354675200', 'college': '', 'draft_pick': '129', 'draft_round': '5', 'draft_year': '2021', 'high_school': '', 'rookie_year': '2024'}",38.0,,,[],topias,,,,D,1609,Topias,#topiasvilen-NHL-NJ-38,,
3916,,,,,nhl,,,72,,,,,,True,,,,184,NYI,samlaurila,,,,,,UDP,,Sam Laurila,laurila,,,,2f974048-033b-4370-9792-ae529e15bbb4,,,,Laurila,"{'birth_date': '2006-09-02', 'birth_place': 'Moorhead, MN, USA', 'channel_id': '1244828843366174720', 'college': 'North Dakota', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",,,,[],sam,,,,D,3916,Sam,#samlaurila-NHL-NYI,,
2854,,,,,nhl,,,76,9013693.0,,,,,True,,,,199,DET,janbednar,,,,,,ACT,,Jan Bednar,bednar,,,,3f5717d5-d9d2-47c6-828f-0be36b70154f,,,,Bednar,"{'birth_date': '2002-08-26', 'birth_place': 'Rokycany,, CZE', 'college': '', 'draft_pick': '107', 'draft_round': '4', 'draft_year': '2020', 'high_school': '', 'rookie_year': ''}",60.0,,,[],jan,,,,G,2854,Jan,#janbednar-NHL-DET-60,,
3060,,,,,nhl,,,78,9014609.0,,,,,True,,,,225,LA,kaleblawrence,,,,,,ACT,,Kaleb Lawrence,lawrence,,,,ec9a330a-4881-4894-9caf-b2bac00d84eb,,,,Lawrence,"{'birth_date': '2003-01-10', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1274605122013372416', 'college': '', 'draft_pick': '215', 'draft_round': '7', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",88.0,,,[],kaleb,,,,C,3060,Kaleb,#kaleblawrence-NHL-LA-88,,
2109,,,,,nhl,,,74,9000759.0,,,,,True,,,,193,OTT,jacoblarsson,,7.0,,,,ACT,,Jacob Larsson,larsson,,,,173965fc-fe2c-40fe-8b4d-acacbc161d64,,,,Larsson,"{'birth_date': '1997-04-29', 'birth_place': 'Ljungby,, SWE', 'college': '', 'draft_pick': '27', 'draft_round': '1', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2016'}",32.0,,,[],jacob,,,,D,2109,Jacob,#jacoblarsson-NHL-OTT-32,,
1749,,,,,nhl,,,73,8473563.0,,,,,True,,,,202,WSH,nicklasbackstrom,,17.0,,,,IR,,Nicklas Backstrom,backstrom,,,,434b2df5-0f24-11e2-8525-18a905767e44,,,,Backstrom,"{'birth_date': '1987-11-23', 'birth_place': 'Gavle,, SWE', 'channel_id': '1157131283051073536', 'college': '', 'draft_pick': '4', 'draft_round': '1', 'draft_year': '2006', 'high_school': '', 'rookie_year': '2007'}",19.0,,,[],nicklas,,,,C,1749,Nicklas,#nicklasbackstrom-NHL-WSH-19,,
3054,,,,,nhl,,,76,9015766.0,,,,,True,,,,216,NYR,chasepauls,,,,,,ACT,,Chase Pauls,pauls,,,,c8d8d56e-b72c-4ee3-83fe-1f5c7a52a6bb,,,,Pauls,"{'birth_date': '2003-10-07', 'birth_place': 'Osler, SK, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",95.0,,,[],chase,,,,D,3054,Chase,#chasepauls-NHL-NYR-95,,
2320,,,,,nhl,,,69,9012923.0,,,,,True,,,,156,CHI,brettseney,,7.0,,,,ACT,,Brett Seney,seney,,,,3cb71df7-1b22-49e5-919d-f15fe34edde1,,,,Seney,"{'birth_date': '1996-02-28', 'birth_place': 'London, ON, CAN', 'channel_id': '1274242686466928640', 'college': 'Merrimack', 'draft_pick': '157', 'draft_round': '6', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2018'}",62.0,,,[],brett,,,,LW,2320,Brett,#brettseney-NHL-CHI-62,,
1100,,,,,nhl,,,76,8470642.0,,,,,True,,,,230,CHI,sheaweber,,20.0,,,,IR,,Shea Weber,weber,,,,42ce2a31-0f24-11e2-8525-18a905767e44,,,,Weber,"{'birth_date': '1985-08-14', 'birth_place': 'Sicamous, BC, CAN', 'channel_id': '1203894185787138048', 'college': '', 'draft_pick': '49', 'draft_round': '2', 'draft_year': '2003', 'high_school': '', 'rookie_year': '2005'}",,,,[],shea,,,,D,1100,Shea,#sheaweber-NHL-CHI,,
1895,,,,,nhl,,,71,9013558.0,,,,,True,,,,181,DAL,mavrikbourque,,2.0,,,,ACT,,Mavrik Bourque,bourque,,,,462e1f1c-723e-4ec6-b8f9-e575f5ba33a9,,,,Bourque,"{'birth_date': '2002-01-08', 'birth_place': 'Plessisville, QC, CAN', 'channel_id': '1157130956658724864', 'college': '', 'draft_pick': '30', 'draft_round': '1', 'draft_year': '2020', 'high_school': '', 'rookie_year': '2023'}",22.0,,,[],mavrik,,,,C,1895,Mavrik,#mavrikbourque-NHL-DAL-22,,
2496,,,,,nhl,,,75,9014916.0,,,,,True,,,,194,TB,dyllangill,,,,,,ACT,,Dyllan Gill,gill,,,,f0ca7396-ab30-42ec-9b21-d4711c1ea78d,,,,Gill,"{'birth_date': '2004-06-07', 'birth_place': 'Riverview, NB, CAN', 'channel_id': '1274121876959956992', 'college': '', 'draft_pick': '223', 'draft_round': '7', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",57.0,,,[],dyllan,,,,D,2496,Dyllan,#dyllangill-NHL-TB-57,,
3876,,,,,nhl,,,76,,,,,,True,,,,196,CGY,jakobleander,,,,,,UDP,,Jakob Leander,leander,,,,1e55695c-089c-45c4-9d3f-461de88fcc3c,,,,Leander,"{'birth_date': '2007-02-03', 'birth_place': '', 'channel_id': '1244828808893190145', 'college': '', 'draft_pick': '208', 'draft_round': '7', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",,,,[],jakob,,,,D,3876,Jakob,#jakobleander-NHL-CGY,,
3728,,,,,nhl,,,74,,,,,,True,,,,191,NJ,juholammikko,,7.0,,,,ACT,,Juho Lammikko,lammikko,,,,3465d1b0-9d0d-479f-9514-f7a6ceab2c2b,,,,Lammikko,"{'birth_date': '1996-01-29', 'birth_place': 'Noormarkku,, FIN', 'channel_id': '1239876306661801984', 'college': '', 'draft_pick': '65', 'draft_round': '3', 'draft_year': '2014', 'high_school': '', 'rookie_year': '2018'}",83.0,,,[],juho,,,,LW,3728,Juho,#juholammikko-NHL-NJ-83,,
1660,,,,,nhl,,,75,8476885.0,,,,,True,,,,212,ANA,jacobtrouba,,12.0,,,,ACT,,Jacob Trouba,trouba,,,,7482727f-ab9f-11e2-a01b-f4ce4684ea4c,,,,Trouba,"{'birth_date': '1994-02-26', 'birth_place': 'Rochester, MI, USA', 'channel_id': '1157131226671239168', 'college': 'Michigan', 'draft_pick': '9', 'draft_round': '1', 'draft_year': '2012', 'high_school': '', 'rookie_year': '2013'}",65.0,,,[],jacob,,,,D,1660,Jacob,#jacobtrouba-NHL-ANA-65,,
3040,,,,,nhl,,,73,,,,,,True,,,,176,LA,jeanfrancoisberube,,8.0,,,,ACT,,Jean-Francois Berube,berube,,,,4284180e-0f24-11e2-8525-18a905767e44,,,,Berube,"{'birth_date': '1991-07-13', 'birth_place': 'Repentigay, QC, CAN', 'college': '', 'draft_pick': '95', 'draft_round': '4', 'draft_year': '2009', 'high_school': '', 'rookie_year': '2015'}",85.0,,,[],jeanfrancois,,,,G,3040,Jean-Francois,#jeanfrancoisberube-NHL-LA-85,,
