id,league,fullName,firstName,lastName,position,jersey,active,weight,height,age,dateOfBirth,experience_years,birthCity,birthState,birthCountry,debutYear,college,college_source,draftYear,draftRound,draftPick,draftTeam,team,processed_ts,collegeId,is_latest
4278402,nba,Jordan Goodwin,Jordan,Goodwin,G,23,True,200.0,76.0,26.0,1998-10-23T07:00Z,4.0,Centreville,IL,USA,,Saint Louis,collegeAthlete,,,,,PHX,2025-10-11T21:32:22.666253,139,1
5175647,nba,Hugo Gonzalez,Hugo,Gonzalez,G,28,True,205.0,78.0,19.0,2006-02-05T08:00Z,,,,,,,,2025,1,28,BOS,BOS,2025-10-11T21:32:22.666253,,1
4700818,nba,Vladislav Goldin,Vladislav,Goldin,C,50,True,250.0,85.0,24.0,2001-05-12T07:00Z,,Nalchick,,Russia,,Michigan,direct,,,,,MIA,2025-10-11T21:32:22.666253,130,1
3032976,nba,Rudy Gobert,Rudy,Gobert,C,27,True,258.0,85.0,33.0,1992-06-26T07:00Z,12.0,,,France,2013.0,,,2013,1,27,DEN,MIN,2025-10-11T21:32:22.666253,,1
4278585,nba,Collin Gillespie,Collin,Gillespie,G,12,True,195.0,73.0,26.0,1999-06-25T07:00Z,3.0,Huntingdon Valley,PA,USA,,Villanova,collegeAthlete,,,,,PHX,2025-10-11T21:32:22.666253,222,1
2581184,nba,Anthony Gill,Anthony,Gill,PF,16,True,230.0,80.0,32.0,1992-10-17T07:00Z,5.0,High Point,NC,USA,2020.0,Virginia,collegeAthlete,,,,,WSH,2025-10-11T21:32:22.666253,258,1
4278073,nba,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,PG,2,True,195.0,78.0,27.0,1998-07-12T07:00Z,7.0,Toronto,ON,Canada,2018.0,Kentucky,collegeAthlete,2018,1,11,CHA,OKC,2025-10-11T21:32:22.666253,96,1
4585618,nba,Keshon Gilbert,Keshon,Gilbert,G,55,True,200.0,76.0,22.0,2003-06-30T07:00Z,,Saint Louis,MO,USA,,Iowa State,collegeAthlete,,,,,WSH,2025-10-11T21:32:22.666253,66,1
4871145,nba,Josh Giddey,Josh,Giddey,SG,3,True,216.0,80.0,23.0,2002-10-10T07:00Z,4.0,,,,,,,2021,1,6,OKC,CHI,2025-10-11T21:32:22.666253,,1
3986,nba,Taj Gibson,Taj,Gibson,F,67,False,232.0,81.0,40.0,1985-06-24T07:00Z,15.0,Brooklyn,NY,USA,2009.0,USC,collegeAthlete,2009,1,26,CHI,CHA,2025-10-11T21:32:22.666253,30,1
4251,nba,Paul George,Paul,George,F,8,True,220.0,80.0,35.0,1990-05-02T07:00Z,15.0,Palmdale,CA,USA,2010.0,Fresno State,collegeAthlete,2010,1,10,IND,PHI,2025-10-11T21:32:22.666253,278,1
3209,nba,Jeff Green,Jeff,Green,PF,32,True,235.0,80.0,39.0,1986-08-28T07:00Z,17.0,Hyattsville,MD,USA,2007.0,Georgetown,collegeAthlete,2007,1,5,BOS,HOU,2025-10-11T21:32:22.666253,46,1
4432811,nba,Josh Green,Josh,Green,SG,10,True,200.0,77.0,24.0,2000-11-16T08:00Z,5.0,Sydney,NSW,Australia,2020.0,Arizona,collegeAthlete,2020,1,18,DAL,CHA,2025-10-11T21:32:22.666253,12,1
4431973,nba,Caleb Grill,Caleb,Grill,G,,False,205.0,75.0,25.0,2000-06-15T07:00Z,,Wichita,KS,USA,,Missouri,collegeAthlete,,,,,CHI,2025-10-11T21:32:22.666253,142,1
4397449,nba,Elijah Harkless,Elijah,Harkless,G,16,True,195.0,75.0,25.0,2000-02-03T08:00Z,1.0,San Bernardino,CA,USA,,UNLV,collegeAthlete,,,,,UTAH,2025-10-11T21:32:22.666253,2439,1
4065804,nba,Sam Hauser,Sam,Hauser,SF,30,True,217.0,79.0,27.0,1997-12-08T08:00Z,4.0,Stevens Point,WI,USA,,Virginia,collegeAthlete,,,,,BOS,2025-10-11T21:32:22.666253,258,1
4222252,nba,Isaiah Hartenstein,Isaiah,Hartenstein,C,55,True,250.0,84.0,27.0,1998-05-05T07:00Z,7.0,Eugene,OR,USA,2018.0,,,2017,2,43,HOU,OKC,2025-10-11T21:32:22.666253,,1
3062679,nba,Josh Hart,Josh,Hart,SG,3,True,215.0,76.0,30.0,1995-03-06T08:00Z,8.0,Silver Spring,MD,USA,2017.0,Villanova,collegeAthlete,2017,1,30,UTAH,NY,2025-10-11T21:32:22.666253,222,1
6440,nba,Tobias Harris,Tobias,Harris,F,12,True,226.0,80.0,33.0,1992-07-15T07:00Z,14.0,Dix Hills,NY,USA,2011.0,Tennessee,collegeAthlete,2011,1,19,CHA,DET,2025-10-11T21:32:22.666253,2633,1
4067858,nba,Kevon Harris,Kevon,Harris,G,00,True,216.0,77.0,28.0,1997-06-24T07:00Z,3.0,Ellenwood,GA,USA,,Stephen F. Austin,collegeAthlete,,,,,HOU,2025-10-11T21:32:22.666253,2617,1
2999547,nba,Gary Harris,Gary,Harris,SG,11,True,210.0,76.0,31.0,1994-09-14T07:00Z,11.0,Fishers,IN,USA,2014.0,Michigan State,collegeAthlete,2014,1,19,CHI,MIL,2025-10-11T21:32:22.666253,127,1
4397251,nba,Ron Harper Jr.,Ron,Harper Jr.,G,13,True,233.0,76.0,25.0,2000-04-12T07:00Z,3.0,Franklin Lakes,NJ,USA,,Rutgers,collegeAthlete,,,,,BOS,2025-10-11T21:32:22.666253,164,1
5037871,nba,Dylan Harper,Dylan,Harper,G,2,True,215.0,78.0,19.0,2006-03-02T08:00Z,,Franklin Lakes,NJ,USA,,Rutgers,collegeAthlete,2025,1,2,SA,SA,2025-10-11T21:32:22.666253,164,1
4868423,nba,Jaden Hardy,Jaden,Hardy,G,1,True,198.0,75.0,23.0,2002-07-05T07:00Z,3.0,Henderson,NV,USA,,,,2022,2,37,SAC,DAL,2025-10-11T21:32:22.666253,,1
4397014,nba,Quentin Grimes,Quentin,Grimes,SG,5,True,210.0,76.0,25.0,2000-05-08T07:00Z,3.0,The Woodlands,TX,USA,,Houston,direct,2021,1,25,LAC,PHI,2025-10-11T21:32:22.666253,248,1
3992,nba,James Harden,James,Harden,SG,1,True,220.0,77.0,36.0,1989-08-26T07:00Z,16.0,Los Angeles,CA,USA,2009.0,Arizona State,collegeAthlete,2009,1,3,OKC,LAC,2025-10-11T21:32:22.666253,9,1
2528210,nba,Tim Hardaway Jr.,Tim,Hardaway Jr.,SF,10,True,205.0,77.0,33.0,1992-03-16T08:00Z,12.0,Alameda,CA,USA,2013.0,Michigan,collegeAthlete,2013,1,24,NY,DEN,2025-10-11T21:32:22.666253,130,1
5217746,nba,Yang Hansen,Yang,Hansen,C,16,True,260.0,85.0,20.0,2005-06-26T07:00Z,,,,,,,,2025,1,16,MEM,POR,2025-10-11T21:32:22.666253,,1
4701225,nba,PJ Hall,PJ,Hall,C,16,True,245.0,82.0,23.0,2002-02-21T08:00Z,1.0,Spartanburg,SC,USA,,Clemson,collegeAthlete,,,,,MEM,2025-10-11T21:32:22.666253,228,1
4396993,nba,Tyrese Haliburton,Tyrese,Haliburton,PG,0,True,185.0,77.0,25.0,2000-02-29T08:00Z,5.0,Oshkosh,WI,USA,2020.0,Iowa State,collegeAthlete,2020,1,12,SAC,IND,2025-10-11T21:32:22.666253,66,1
4066648,nba,Rui Hachimura,Rui,Hachimura,PF,28,True,230.0,80.0,27.0,1998-02-08T08:00Z,6.0,Toyama,,Japan,2019.0,Gonzaga,collegeAthlete,2019,1,9,WSH,LAL,2025-10-11T21:32:22.666253,2250,1
4592933,nba,Mouhamadou Gueye,Mouhamadou,Gueye,F,16,True,210.0,81.0,27.0,1998-07-06T07:00Z,1.0,Staten Island,NY,USA,,Pittsburgh,collegeAthlete,,,,,CHI,2025-10-11T21:32:22.666253,221,1
4432996,nba,Quincy Guerrier,Quincy,Guerrier,F,13,False,220.0,80.0,26.0,1999-05-13T07:00Z,,Montreal,PQ,Canada,,Illinois,collegeAthlete,,,,,TOR,2025-10-11T21:32:22.666253,356,1
5174563,nba,Kyshawn George,Kyshawn,George,F,18,True,200.0,80.0,21.0,2003-12-12T08:00Z,1.0,Monthey,,Switzerland,,Miami,collegeAthlete,2024,1,24,NY,WSH,2025-10-11T21:32:22.666253,2390,1
4433627,nba,Keyonte George,Keyonte,George,G,3,True,185.0,76.0,21.0,2003-11-08T08:00Z,2.0,Lewisville,TX,USA,,Baylor,collegeAthlete,2023,1,16,UTAH,UTAH,2025-10-11T21:32:22.666253,239,1
4277951,nba,Luka Garza,Luka,Garza,C,52,True,243.0,82.0,26.0,1998-12-27T08:00Z,4.0,Washington,DC,USA,,Iowa,collegeAthlete,2021,2,52,DET,BOS,2025-10-11T21:32:22.666253,2294,1
4711297,nba,Justin Edwards,Justin,Edwards,F,11,True,203.0,79.0,21.0,2003-12-16T08:00Z,1.0,Philadelphia,PA,USA,,Kentucky,collegeAthlete,,,,,PHI,2025-10-11T21:32:22.666253,96,1
4597865,nba,Tosan Evbuomwan,Tosan,Evbuomwan,F,20,True,217.0,79.0,24.0,2001-02-16T08:00Z,2.0,Newcastle,,England,,Princeton,collegeAthlete,,,,,NY,2025-10-11T21:32:22.666253,163,1
3914285,nba,Drew Eubanks,Drew,Eubanks,PF,19,True,245.0,82.0,28.0,1997-02-01T08:00Z,7.0,Troutdale,OR,USA,2018.0,Oregon State,collegeAthlete,,,,,SAC,2025-10-11T21:32:22.666253,204,1
4432887,nba,Tyson Etienne,Tyson,Etienne,G,10,True,200.0,74.0,26.0,1999-09-17T07:00Z,,Englewood,NJ,USA,,Wichita State,collegeAthlete,,,,,BKN,2025-10-11T21:32:22.666253,2724,1
5242496,nba,Noa Essengue,Noa,Essengue,F,24,True,194.0,80.0,18.0,2006-12-18T08:00Z,,,,,,,,2025,1,12,CHI,CHI,2025-10-11T21:32:22.666253,,1
4431734,nba,Tristan Enaruna,Tristan,Enaruna,F,21,True,220.0,80.0,24.0,2001-06-26T07:00Z,,Almere,,Netherlands,,Cleveland State,collegeAthlete,,,,,CLE,2025-10-11T21:32:22.666253,325,1
3059318,nba,Joel Embiid,Joel,Embiid,C,21,True,280.0,84.0,31.0,1994-03-16T08:00Z,11.0,Yaounde,,Cameroon,2016.0,Kansas,collegeAthlete,2014,1,3,PHI,PHI,2025-10-11T21:32:22.666253,2305,1
4702177,nba,Keon Ellis,Keon,Ellis,G,23,True,175.0,76.0,25.0,2000-01-08T08:00Z,3.0,Eustis,FL,USA,,Alabama,collegeAthlete,,,,,SAC,2025-10-11T21:32:22.666253,333,1
4397693,nba,Kessler Edwards,Kessler,Edwards,F,,True,203.0,79.0,25.0,2000-08-09T07:00Z,4.0,Rancho Cucamonga,CA,USA,,Pepperdine,collegeAthlete,2021,2,44,BKN,DEN,2025-10-11T21:32:22.666253,2492,1
4431816,nba,Jesse Edwards,Jesse,Edwards,C,14,True,236.0,84.0,25.0,2000-03-18T08:00Z,,Amsterdam,,Netherlands,,West Virginia,collegeAthlete,,,,,MEL,2025-10-11T21:32:22.666253,277,1
5144091,nba,Jeremiah Fears,Jeremiah,Fears,G,0,True,182.0,76.0,18.0,2006-10-14T07:00Z,,Joliet,IL,USA,,Oklahoma,collegeAthlete,2025,1,7,NO,NO,2025-10-11T21:32:22.666253,201,1
4594268,nba,Anthony Edwards,Anthony,Edwards,SG,5,True,225.0,76.0,24.0,2001-08-05T07:00Z,5.0,Atlanta,GA,USA,2020.0,Georgia,collegeAthlete,2020,1,1,MIN,MIN,2025-10-11T21:32:22.666253,61,1
5124612,nba,VJ Edgecombe,VJ,Edgecombe,G,77,True,180.0,77.0,20.0,2005-07-30T07:00Z,,Bimini,,Bahamas,,Baylor,collegeAthlete,2025,1,3,PHI,PHI,2025-10-11T21:32:22.666253,239,1
4600663,nba,Zach Edey,Zach,Edey,C,14,True,305.0,88.0,23.0,2002-03-14T08:00Z,1.0,Toronto,ON,Canada,,Purdue,collegeAthlete,2024,1,9,MEM,MEM,2025-10-11T21:32:22.666253,2509,1
4433192,nba,Tari Eason,Tari,Eason,F,17,True,215.0,80.0,24.0,2001-05-10T07:00Z,3.0,Los Angeles,CA,USA,,LSU,collegeAthlete,2022,1,17,HOU,HOU,2025-10-11T21:32:22.666253,99,1
4433621,nba,Jalen Duren,Jalen,Duren,C,0,True,250.0,82.0,21.0,2003-11-18T08:00Z,3.0,Sharon Hill,PA,USA,,Memphis,collegeAthlete,2022,1,13,CHA,DET,2025-10-11T21:32:22.666253,235,1
3202,nba,Kevin Durant,Kevin,Durant,PF,7,True,240.0,83.0,37.0,1988-09-29T07:00Z,18.0,Suitland,MD,USA,2007.0,Texas,collegeAthlete,2007,1,2,SEA,HOU,2025-10-11T21:32:22.666253,251,1
4888725,nba,Ryan Dunn,Ryan,Dunn,F,0,True,216.0,80.0,22.0,2003-01-07T08:00Z,1.0,Freeport,NY,USA,,Virginia,collegeAthlete,2024,1,28,DEN,PHX,2025-10-11T21:32:22.666253,258,1
2991139,nba,Kris Dunn,Kris,Dunn,G,8,True,205.0,75.0,31.0,1994-03-18T08:00Z,9.0,New London,CT,USA,2016.0,Providence,collegeAthlete,2016,1,5,MIN,LAC,2025-10-11T21:32:22.666253,2507,1
3102528,nba,Dante Exum,Dante,Exum,G,0,True,214.0,77.0,30.0,1995-07-13T07:00Z,9.0,Melbourne,VIC,Australia,2014.0,,,2014,1,5,UTAH,DAL,2025-10-11T21:32:22.666253,,1
4684793,nba,Kyle Filipowski,Kyle,Filipowski,F,22,True,250.0,83.0,21.0,2003-11-07T08:00Z,1.0,Westtown,NY,USA,,Duke,collegeAthlete,2024,2,32,UTAH,UTAH,2025-10-11T21:32:22.666253,150,1
4277892,nba,Marcus Garrett,Marcus,Garrett,G,28,False,205.0,77.0,26.0,1998-11-09T08:00Z,,Dallas,TX,USA,,Kansas,collegeAthlete,,,,,CHA,2025-10-11T21:32:22.666253,2305,1
4592699,nba,Enrique Freeman,Enrique,Freeman,F,25,True,225.0,79.0,25.0,2000-07-29T07:00Z,1.0,Cleveland,OH,USA,,Akron,collegeAthlete,2024,2,50,IND,MIN,2025-10-11T21:32:22.666253,2006,1
4396907,nba,Darius Garland,Darius,Garland,PG,10,True,192.0,73.0,25.0,2000-01-26T08:00Z,6.0,Gary,IN,USA,2019.0,Vanderbilt,collegeAthlete,2019,1,5,CLE,CLE,2025-10-11T21:32:22.666253,238,1
4431772,nba,Myron Gardner,Myron,Gardner,F,15,True,220.0,78.0,24.0,2001-05-21T07:00Z,,Detroit,MI,USA,,Little Rock,collegeAthlete,,,,,MIA,2025-10-11T21:32:22.666253,2031,1
4432188,nba,Dawson Garcia,Dawson,Garcia,F,,True,234.0,83.0,24.0,2001-09-20T07:00Z,,Savage,MN,USA,,Minnesota,collegeAthlete,,,,,DET,2025-10-11T21:32:22.666253,135,1
4066257,nba,Gorjok Gak,Gorjok,Gak,C,12,True,235.0,83.0,,,,Sydney,NSW,Australia,,California Baptist,collegeAthlete,,,,,,2025-10-11T21:32:22.666253,2856,1
4278049,nba,Daniel Gafford,Daniel,Gafford,C,21,True,265.0,82.0,27.0,1998-10-01T07:00Z,6.0,El Dorado,AR,USA,2019.0,Arkansas,collegeAthlete,2019,2,38,CHI,DAL,2025-10-11T21:32:22.666253,8,1
5157066,nba,Johnny Furphy,Johnny,Furphy,F,12,True,195.0,79.0,20.0,2004-12-07T08:00Z,1.0,Melbourne,VIC,Australia,,Kansas,collegeAthlete,2024,2,35,SA,IND,2025-10-11T21:32:22.666253,2305,1
4066636,nba,Markelle Fultz,Markelle,Fultz,PG,20,False,209.0,76.0,27.0,1998-05-29T07:00Z,7.0,Upper Marlboro,MD,USA,2017.0,Washington,collegeAthlete,2017,1,1,PHI,SAC,2025-10-11T21:32:22.666253,264,1
4432869,nba,Zach Freemantle,Zach,Freemantle,F,,False,227.0,81.0,24.0,2000-10-18T07:00Z,,Teaneck,NJ,USA,,Xavier,collegeAthlete,,,,,LAC,2025-10-11T21:32:22.666253,2752,1
5091711,nba,Owen Foxwell,Owen,Foxwell,G,30,True,,,,,,,,,,,,,,,,,2025-10-11T21:32:22.666253,,1
2578185,nba,Dorian Finney-Smith,Dorian,Finney-Smith,PF,2,True,220.0,79.0,32.0,1993-05-04T07:00Z,9.0,Portsmouth,VA,USA,2016.0,Florida,collegeAthlete,,,,,HOU,2025-10-11T21:32:22.666253,57,1
5311924,nba,Austin Foxwell,Austin,Foxwell,G,15,True,,,,,,,,,,,,,,,,,2025-10-11T21:32:22.666253,,1
4066259,nba,De'Aaron Fox,De'Aaron,Fox,PG,4,True,185.0,75.0,27.0,1997-12-20T08:00Z,8.0,Houston,TX,USA,2017.0,Kentucky,collegeAthlete,2017,1,5,SAC,SA,2025-10-11T21:32:22.666253,96,1
4702876,nba,Daniel Foster,Daniel,Foster,G,11,True,215.0,78.0,,,,Melbourne,VIC,Australia,,Nevada,collegeAthlete,,,,,,2025-10-11T21:32:22.666253,2440,1
3899664,nba,Simone Fontecchio,Simone,Fontecchio,F,0,True,209.0,79.0,29.0,1995-12-09T08:00Z,3.0,L'aquila,,Italy,,,,,,,,MIA,2025-10-11T21:32:22.666253,,1
5165257,nba,Trentyn Flowers,Trentyn,Flowers,G,9,True,185.0,81.0,20.0,2005-03-08T08:00Z,1.0,,,,,,,,,,,LAC,2025-10-11T21:32:22.666253,,1
5105977,nba,Rasheer Fleming,Rasheer,Fleming,F,20,True,240.0,81.0,21.0,2004-07-10T07:00Z,,Camden,NJ,USA,,Saint Joseph's,collegeAthlete,2025,2,31,MIN,PHX,2025-10-11T21:32:22.666253,2603,1
4397654,nba,Adam Flagler,Adam,Flagler,G,14,True,180.0,75.0,25.0,1999-12-01T08:00Z,2.0,Duluth,GA,USA,,Baylor,collegeAthlete,,,,,SA,2025-10-11T21:32:22.666253,239,1
5041939,nba,Cooper Flagg,Cooper,Flagg,F,32,True,205.0,81.0,18.0,2006-12-21T08:00Z,,Newport,ME,USA,,Duke,collegeAthlete,2025,1,1,DAL,DAL,2025-10-11T21:32:22.666253,150,1
4683750,nba,Jordan Hawkins,Jordan,Hawkins,G,24,True,190.0,77.0,23.0,2002-04-29T07:00Z,2.0,Gaithersburg,MD,USA,,UConn,collegeAthlete,2023,1,14,NO,NO,2025-10-11T21:32:22.666253,41,1
4683024,nba,Killian Hayes,Killian,Hayes,G,7,True,195.0,77.0,24.0,2001-07-27T07:00Z,5.0,Lakeland,FL,USA,2020.0,,,2020,1,7,DET,CLE,2025-10-11T21:32:22.666253,,1
4432971,nba,Alex Ducas,Alex,Ducas,G,88,False,220.0,79.0,24.0,2000-12-11T08:00Z,,Geraldton,WAS,Australia,,Saint Mary's,collegeAthlete,,,,,OKC,2025-10-11T21:32:22.666253,2608,1
3059409,nba,Nigel Hayes-Davis,Nigel,Hayes-Davis,F,21,True,240.0,80.0,30.0,1994-12-06T08:00Z,1.0,Toledo,OH,USA,2017.0,Wisconsin,collegeAthlete,,,,,PHX,2025-10-11T21:32:22.666253,275,1
4898369,nba,Curtis Jones,Curtis,Jones,G,25,True,165.0,78.0,24.0,2001-10-02T07:00Z,,Minneapolis,MN,USA,,Iowa State,collegeAthlete,,,,,DEN,2025-10-11T21:32:22.666253,66,1
4433378,nba,Colby Jones,Colby,Jones,G,1,True,207.0,78.0,23.0,2002-05-28T07:00Z,2.0,Birmingham,AL,USA,,Xavier,collegeAthlete,2023,2,34,CHA,DET,2025-10-11T21:32:22.666253,2752,1
3112335,nba,Nikola Jokic,Nikola,Jokic,C,15,True,284.0,83.0,30.0,1995-02-19T08:00Z,10.0,Sombor,,Serbia,2015.0,,,2014,2,41,DEN,DEN,2025-10-11T21:32:22.666253,,1
5238230,nba,Tre Johnson,Tre,Johnson,G,12,True,190.0,78.0,19.0,2006-05-07T07:00Z,,Garland,TX,USA,,Texas,collegeAthlete,2025,1,6,WSH,WSH,2025-10-11T21:32:22.666253,251,1
4683857,nba,Kobe Johnson,Kobe,Johnson,G,,False,200.0,78.0,22.0,2003-01-15T08:00Z,,Milwaukee,WI,USA,,UCLA,collegeAthlete,,,,,ATL,2025-10-11T21:32:22.666253,26,1
4431786,nba,Keshad Johnson,Keshad,Johnson,F,16,True,225.0,79.0,24.0,2001-06-23T07:00Z,1.0,Oakland,CA,USA,,Arizona,collegeAthlete,,,,,MIA,2025-10-11T21:32:22.666253,12,1
4432192,nba,Keon Johnson,Keon,Johnson,G,45,False,185.0,77.0,23.0,2002-03-10T08:00Z,3.0,Shelbyville,TN,USA,,Tennessee,collegeAthlete,2021,1,21,NY,BKN,2025-10-11T21:32:22.666253,2633,1
4395723,nba,Keldon Johnson,Keldon,Johnson,SF,3,True,220.0,77.0,26.0,1999-10-11T07:00Z,6.0,South Hill,VA,USA,2019.0,Kentucky,collegeAthlete,2019,1,29,SA,SA,2025-10-11T21:32:22.666253,96,1
4280280,nba,Javan Johnson,Javan,Johnson,F,13,False,192.0,78.0,26.0,1999-01-05T08:00Z,,Decatur,AL,USA,,DePaul,collegeAthlete,,,,,ATL,2025-10-11T21:32:22.666253,305,1
3999,nba,James Johnson,James,Johnson,PF,16,False,240.0,79.0,38.0,1987-02-20T08:00Z,15.0,Cheyenne,WY,USA,2009.0,Wake Forest,collegeAthlete,2009,1,16,CHI,IND,2025-10-11T21:32:22.666253,154,1
5174655,nba,Chaney Johnson,Chaney,Johnson,F,14,True,225.0,80.0,23.0,2002-06-20T07:00Z,,Alabaster,AL,USA,,Auburn,collegeAthlete,,,,,CLE,2025-10-11T21:32:22.666253,2,1
3138196,nba,Cameron Johnson,Cameron,Johnson,SF,23,True,210.0,80.0,29.0,1996-03-03T08:00Z,6.0,Moon Township,PA,USA,2019.0,North Carolina,collegeAthlete,2019,1,11,MIN,DEN,2025-10-11T21:32:22.666253,153,1
4067045,nba,Alize Johnson,Alize,Johnson,F,24,True,212.0,80.0,29.0,1996-04-22T07:00Z,,Williamsport,PA,USA,2018.0,Missouri State,collegeAthlete,2018,2,50,IND,MIN,2025-10-11T21:32:22.666253,2623,1
5170947,nba,AJ Johnson,AJ,Johnson,G,4,True,160.0,77.0,20.0,2004-12-01T08:00Z,1.0,Fresno,CA,USA,,,,2024,1,23,MIL,WSH,2025-10-11T21:32:22.666253,,1
4395702,nba,Isaiah Joe,Isaiah,Joe,SG,11,True,165.0,75.0,26.0,1999-07-02T07:00Z,5.0,Fort Smith,AR,USA,2020.0,Arkansas,collegeAthlete,2020,2,49,PHI,OKC,2025-10-11T21:32:22.666253,8,1
4065733,nba,Ty Jerome,Ty,Jerome,SG,2,True,195.0,77.0,28.0,1997-07-08T07:00Z,6.0,New Rochelle,NY,USA,2019.0,Virginia,collegeAthlete,2019,1,24,PHI,MEM,2025-10-11T21:32:22.666253,258,1
5107199,nba,Daniss Jenkins,Daniss,Jenkins,G,24,True,165.0,75.0,24.0,2001-08-17T07:00Z,1.0,Dallas,TX,USA,,St. John's,collegeAthlete,,,,,DET,2025-10-11T21:32:22.666253,2599,1
4395623,nba,Trey Jemison III,Trey,Jemison III,F,50,True,275.0,83.0,25.0,1999-11-28T08:00Z,2.0,Birmingham,AL,USA,,UAB,collegeAthlete,,,,,NY,2025-10-11T21:32:22.666253,5,1
3913220,nba,DaQuan Jeffries,DaQuan,Jeffries,SG,3,False,222.0,77.0,28.0,1997-08-30T07:00Z,5.0,Edmond,OK,USA,2019.0,Western Texas Coll. (J.C.),collegeAthlete,,,,,CHA,2025-10-11T21:32:22.666253,110486,1
4702159,nba,Dillon Jones,Dillon,Jones,G,33,True,235.0,77.0,23.0,2001-10-29T08:00Z,1.0,Columbia,SC,USA,,Weber State,collegeAthlete,2024,1,26,WSH,WSH,2025-10-11T21:32:22.666253,2692,1
4277813,nba,Herbert Jones,Herbert,Jones,SF,2,True,206.0,79.0,27.0,1998-10-06T07:00Z,4.0,Greensboro,AL,USA,,Alabama,collegeAthlete,2021,2,35,NO,NO,2025-10-11T21:32:22.666253,333,1
5107818,nba,Isaac Jones,Isaac,Jones,C,3,True,245.0,81.0,25.0,2000-04-11T07:00Z,1.0,Spanaway,WA,USA,,Washington State,collegeAthlete,,,,,SAC,2025-10-11T21:32:22.666253,265,1
6446,nba,Cory Joseph,Cory,Joseph,PG,10,False,200.0,74.0,34.0,1991-08-20T07:00Z,13.0,Toronto,ON,Canada,2011.0,Texas,collegeAthlete,2011,1,29,SA,ORL,2025-10-11T21:32:22.666253,251,1
3950760,nba,Kylor Kelley,Kylor,Kelley,C,50,True,230.0,84.0,28.0,1997-08-26T07:00Z,1.0,Gervais,OR,USA,,Oregon State,collegeAthlete,,,,,LAL,2025-10-11T21:32:22.666253,204,1
4432645,nba,Trevor Keels,Trevor,Keels,G,18,False,221.0,76.0,22.0,2003-08-26T07:00Z,1.0,Clinton,MD,USA,,Duke,collegeAthlete,2022,2,42,NY,MIA,2025-10-11T21:32:22.666253,150,1
5159895,nba,Yuki Kawamura,Yuki,Kawamura,G,17,True,159.0,68.0,24.0,2001-05-02T07:00Z,1.0,,,,,,,,,,,CHI,2025-10-11T21:32:22.666253,,1
4433599,nba,Arthur Kaluma,Arthur,Kaluma,F,97,False,223.0,78.0,23.0,2002-03-01T08:00Z,,Glendale,AZ,USA,,Texas,collegeAthlete,,,,,LAL,2025-10-11T21:32:22.666253,251,1
