age,years_exp,stats_id,birth_country,competitions,college,full_name,birth_date,practice_participation,depth_chart_position,rotoworld_id,pandascore_id,rotowire_id,active,fantasy_data_id,team,birth_state,weight,opta_id,search_rank,fantasy_positions,status,injury_body_part,sport,injury_notes,high_school,sportradar_id,team_changed_at,first_name,yahoo_id,gsis_id,kalshi_id,birth_city,swish_id,metadata,last_name,hashtag,search_first_name,depth_chart_order,injury_status,position,news_updated,player_id,practice_description,oddsjam_id,team_abbr,search_last_name,height,number,search_full_name,injury_start_date,espn_id
,,,,[],Michigan State,Lucas Van Vliet,,,,,,,True,,VGK,,178,,,,UDP,,nhl,,,337f04b8-9e9c-485f-8aa3-2d94f3b215e7,,Lucas,,,,,,"{'birth_date': '2006-01-25', 'birth_place': 'Livonia, MI, USA', 'college': 'Michigan State', 'draft_pick': '197', 'draft_round': '7', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Van Vliet,#lucasvanvliet-NHL-VGK,lucas,,,LW,,3374,,,,vanvliet,74,,lucasvanvliet,,
,,,,[],,Kasper Halttunen,,,,,,,True,,SJ,,205,,,,ACT,,nhl,,,4296e99b-75bd-456b-89d2-b61ce57418ac,,Kasper,,,,,9015384.0,"{'birth_date': '2005-06-07', 'birth_place': 'Helsinki,, FIN', 'channel_id': '1274484223717150720', 'college': '', 'draft_pick': '36', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Halttunen,#kasperhalttunen-NHL-SJ-14,kasper,,,RW,,1982,,,,halttunen,75,14.0,kasperhalttunen,,
,,,,[],,Matt Filipe,,,,,,,True,,PIT,,198,,,,ACT,,nhl,,,e5df363d-5796-4737-9670-8a6a8254e829,,Matt,,,,,,"{'birth_date': '', 'birth_place': 'Lynnfield, MA, USA', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Filipe,#mattfilipe-NHL-PIT-37,matt,,,LW,,2474,,,,filipe,74,37.0,mattfilipe,,
,,,,[],,Jett Woo,,,,,,,True,,VAN,,205,,,,ACT,,nhl,,,d7a9f3bc-7344-45c9-a226-175d414907d0,,Jett,,,,,9013121.0,"{'birth_date': '2000-07-27', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1274242673800130560', 'college': '', 'draft_pick': '37', 'draft_round': '2', 'draft_year': '2018', 'high_school': '', 'rookie_year': ''}",Woo,#jettwoo-NHL-VAN-4,jett,,,D,,1907,,,,woo,72,4.0,jettwoo,,
,,,,[],,Hagen Burrows,,,,,,,True,,TB,,174,,,,UDP,,nhl,,,1fe7b9fc-6689-4053-adb5-132e45726b96,,Hagen,,,,,,"{'birth_date': '2005-10-13', 'birth_place': 'Plymouth, MN, USA', 'college': '', 'draft_pick': '128', 'draft_round': '4', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Burrows,#hagenburrows-NHL-TB,hagen,,,RW,,3342,,,,burrows,74,,hagenburrows,,
,8.0,,,[],Minnesota,Nick Seeler,,,,,,,True,,PHI,,197,,,,ACT,,nhl,,,5cc3cbb7-619c-466b-a845-fdce5d0c403d,,Nick,,,,,9000873.0,"{'birth_date': '1993-06-03', 'birth_place': 'Eden Prairie, MN, USA', 'channel_id': '1157131242420850688', 'college': 'Minnesota', 'draft_pick': '131', 'draft_round': '5', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2017'}",Seeler,#nickseeler-NHL-PHI-24,nick,,,D,,1684,,,,seeler,75,24.0,nickseeler,,
,,,,[],,Henry Mews,,,,,,,True,,CGY,,181,,,,ACT,,nhl,,,c6afdeea-c191-49bc-afcc-07e63c0df967,,Henry,,,,,9024946.0,"{'birth_date': '2006-03-09', 'birth_place': 'Ottawa, ON, CAN', 'college': '', 'draft_pick': '74', 'draft_round': '3', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Mews,#henrymews-NHL-CGY-53,henry,,,D,,3268,,,,mews,72,53.0,henrymews,,
,,,,[],,Nathan Staios,,,,,,,True,,FLA,,170,,,,ACT,,nhl,,,59941ed7-b52f-4294-bd82-863db0e0551b,,Nathan,,,,,9014814.0,"{'birth_date': '2001-05-17', 'birth_place': 'Atlanta, GA, USA', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Staios,#nathanstaios-NHL-FLA-61,nathan,,,D,,3561,,,,staios,68,61.0,nathanstaios,,
,,,,[],,Oskar Vuollet,,,,,,,True,,CAR,,173,,,,UDP,,nhl,,,df7e8d98-1b4e-4be5-a187-5cd916d8842b,,Oskar,,,,,,"{'birth_date': '2005-12-03', 'birth_place': 'Skelleftea,, SWE', 'college': '', 'draft_pick': '133', 'draft_round': '5', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Vuollet,#oskarvuollet-NHL-CAR,oskar,,,LW,,3356,,,,vuollet,71,,oskarvuollet,,
,7.0,,,[],,Elias Pettersson,,,,,,,True,,VAN,,176,,,,ACT,,nhl,,,04396c28-a071-478a-b387-a456fac24415,,Elias,,,,,9012541.0,"{'birth_date': '1998-11-12', 'birth_place': 'Sundsvall,, SWE', 'channel_id': '1157130978582351877', 'college': '', 'draft_pick': '5', 'draft_round': '1', 'draft_year': '2017', 'high_school': '', 'rookie_year': '2018'}",Pettersson,#eliaspettersson-NHL-VAN-40,elias,,,C,,1195,,,,pettersson,74,40.0,eliaspettersson,,
,,,,[],,Andrei Loshko,,,,,,,True,,SEA,,172,,,,ACT,,nhl,,,533edd92-34fd-4774-9350-cb6b23fc466f,,Andrei,,,,,9015398.0,"{'birth_date': '2004-10-07', 'birth_place': 'Zhlobin,, BLR', 'channel_id': '1274605052547309568', 'college': '', 'draft_pick': '116', 'draft_round': '4', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Loshko,#andreiloshko-NHL-SEA-70,andrei,,,C,,2023,,,,loshko,73,70.0,andreiloshko,,
,3.0,,,[],,Jakub Lauko,,,,,,,True,,BOS,,193,,,,ACT,,nhl,,,a74c2fe3-5399-4800-b77a-2482d49779d4,,Jakub,,,,,9012642.0,"{'birth_date': '2000-03-28', 'birth_place': 'Prague,, CZE', 'channel_id': '1157131035754909696', 'college': '', 'draft_pick': '77', 'draft_round': '3', 'draft_year': '2018', 'high_school': '', 'rookie_year': '2022'}",Lauko,#jakublauko-NHL-BOS-94,jakub,,,C,,1461,,,,lauko,73,94.0,jakublauko,,
,,,,[],,Tristan Allard,,,,,,,True,,TB,,196,,,,ACT,,nhl,,,2b6e4439-08ea-479e-9e52-b5acb2d94bf5,,Tristan,,,,,9015611.0,"{'birth_date': '2002-06-23', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1274182274144796672', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Allard,#tristanallard-NHL-TB-13,tristan,,,LW,,2481,,,,allard,74,13.0,tristanallard,,
,,,,[],,Ty Henricks,,,,,,,True,,NYR,,205,,,,NWT,,nhl,,,e9ee8877-a7ec-4523-8ada-8bfc5816c443,,Ty,,,,,,"{'birth_date': '2005-06-28', 'birth_place': 'Mission Viejo, CA, USA', 'college': '', 'draft_pick': '183', 'draft_round': '6', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Henricks,#tyhenricks-NHL-NYR,ty,,,LW,,2125,,,,henricks,77,,tyhenricks,,
,6.0,,,[],,Jack Hughes,,,,,,,True,,NJ,,175,,,,ACT,,nhl,,,1b48264e-4f71-4aaf-a263-62ba01d12b63,,Jack,,,,,9013010.0,"{'birth_date': '2001-05-14', 'birth_place': 'Orlando, FL, USA', 'channel_id': '1157131192315695104', 'college': '', 'draft_pick': '1', 'draft_round': '1', 'draft_year': '2019', 'high_school': '', 'rookie_year': '2019'}",Hughes,#jackhughes-NHL-NJ-86,jack,,,C,,1590,,,,hughes,71,86.0,jackhughes,,
,5.0,,,[],,Parker Kelly,,,,,,,True,,COL,,185,,,,ACT,,nhl,,,4e64c03f-d335-44e5-b6ec-f1d3d3b567ba,,Parker,,,,,9012269.0,"{'birth_date': '1999-05-14', 'birth_place': 'Camrose, AB, CAN', 'channel_id': '1157131000422092800', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",Kelly,#parkerkelly-NHL-COL-17,parker,,,C,,1510,,,,kelly,73,17.0,parkerkelly,,
,1.0,,,[],,Juha Jaaska,,,,,,,True,,CAR,,210,,,,ACT,,nhl,,,6e1c8be0-d858-4c3f-ae8d-b35dd83d939f,,Juha,,,,,9024856.0,"{'birth_date': '1998-02-09', 'birth_place': 'Helsinki,, FIN', 'channel_id': '1180338839537864704', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2024'}",Jaaska,#juhajaaska-NHL-CAR-54,juha,,,LW,,3620,,,,jaaska,72,54.0,juhajaaska,,
,,,,[],,Felix Nilsson,,,,,,,True,,NSH,,176,,,,NWT,,nhl,,,33bea9b3-7379-4870-8f19-3dd1cfee6c31,,Felix,,,,,,"{'birth_date': '2005-06-22', 'birth_place': 'Stockholm,, SWE', 'college': '', 'draft_pick': '43', 'draft_round': '2', 'draft_year': '2023', 'high_school': '', 'rookie_year': ''}",Nilsson,#felixnilsson-NHL-NSH,felix,,,C,,1995,,,,nilsson,72,,felixnilsson,,
,5.0,,,[],Clarkson,Joshua Dunne,,,,,,,True,,BUF,,211,,,,ACT,,nhl,,,3ba4b013-33d3-4963-adae-d0e62e4b1812,,Joshua,,,,,9014002.0,"{'birth_date': '1998-12-08', 'birth_place': ""O'Fallon, MO, USA"", 'channel_id': '1203954589280243712', 'college': 'Clarkson', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2020'}",Dunne,#joshuadunne-NHL-BUF-44,joshua,,,C,,1914,,,,dunne,76,44.0,joshuadunne,,
,12.0,,,[],UMass Lowell,Chad Ruhwedel,,,,,,,True,,NYR,,189,,,,ACT,,nhl,,,92ad3a04-a468-11e2-a01b-f4ce4684ea4c,,Chad,,,,,8477244.0,"{'birth_date': '1990-05-07', 'birth_place': 'San Diego, CA, USA', 'channel_id': '1162823525535330304', 'college': 'UMass Lowell', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2012'}",Ruhwedel,#chadruhwedel-NHL-NYR-5,chad,,,D,,1711,,,,ruhwedel,71,5.0,chadruhwedel,,
,,,,[],Harvard,Jack Bar,,,,,,,True,,SJ,,210,,,,ACT,,nhl,,,bba2a007-df73-41c2-8168-7f6d6f240e91,,Jack,,,,,,"{'birth_date': '2002-10-24', 'birth_place': 'Newmarket, ON, CAN', 'channel_id': '1274484200585564160', 'college': 'Harvard', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2021', 'high_school': '', 'rookie_year': ''}",Bar,#jackbar-NHL-SJ-98,jack,,,D,,4038,,,,bar,74,98.0,jackbar,,
,7.0,,,[],,Roope Hintz,,,,,,,True,,DAL,,213,,,,ACT,,nhl,,,2f613430-45b9-462c-bd6a-cded28a7f8af,,Roope,,,,,9012321.0,"{'birth_date': '1996-11-17', 'birth_place': 'Nokia,, FIN', 'channel_id': '1157130952200179712', 'college': '', 'draft_pick': '49', 'draft_round': '2', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2018'}",Hintz,#roopehintz-NHL-DAL-24,roope,,,C,,1148,,,,hintz,75,24.0,roopehintz,,
,12.0,,,[],,Vincent Trocheck,,,,,,,True,,NYR,,188,,,,ACT,,nhl,,,16bf9f68-95f9-4789-a811-80fe6838e632,,Vincent,,,,,8476389.0,"{'birth_date': '1993-07-11', 'birth_place': 'Pittsburgh, PA, USA', 'channel_id': '1157131220555943936', 'college': '', 'draft_pick': '64', 'draft_round': '3', 'draft_year': '2011', 'high_school': '', 'rookie_year': '2013'}",Trocheck,#vincenttrocheck-NHL-NYR-16,vincent,,,C,,1649,,,,trocheck,71,16.0,vincenttrocheck,,
,,,,[],,Michael Misa,,,,,,,True,,SJ,,185,,,,ACT,,nhl,,,7573b389-d401-4e8d-9feb-195f293092ec,,Michael,,,,,,"{'birth_date': '2007-02-16', 'birth_place': 'Oakville, ON, CAN', 'channel_id': '1244526798495039488', 'college': '', 'draft_pick': '2', 'draft_round': '1', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",Misa,#michaelmisa-NHL-SJ-77,michael,,,C,,3730,,,,misa,73,77.0,michaelmisa,,
,,,,[],,Matt Lahey,,,,,,,True,,TOR,,203,,,,ACT,,nhl,,,8dd20ae1-45e7-4291-95b9-5fa0d87ece2d,,Matt,,,,,9025075.0,"{'birth_date': '2006-07-17', 'birth_place': 'Victoria, BC, CAN', 'college': '', 'draft_pick': '200', 'draft_round': '7', 'draft_year': '2024', 'high_school': '', 'rookie_year': ''}",Lahey,#mattlahey-NHL-TOR,matt,,,D,,3414,,,,lahey,77,,mattlahey,,
,18.0,,,[],Wisconsin,Joe Pavelski,,,,,,,True,,DAL,,200,,,,ACT,,nhl,,,428e37b4-0f24-11e2-8525-18a905767e44,,Joe,,,,,8470794.0,"{'birth_date': '1984-07-11', 'birth_place': 'Plover, WI, USA', 'college': 'Wisconsin', 'draft_pick': '205', 'draft_round': '7', 'draft_year': '2003', 'high_school': '', 'rookie_year': '2006'}",Pavelski,#joepavelski-NHL-DAL-16,joe,,,C,,1150,,,,pavelski,71,16.0,joepavelski,,
,4.0,,,[],,Seth Jarvis,,,,,,,True,,CAR,,184,,,,ACT,,nhl,,,651605ef-de59-41bf-b66c-9806f1ea9162,,Seth,,,,,9013524.0,"{'birth_date': '2002-02-01', 'birth_place': 'Winnipeg, MB, CAN', 'channel_id': '1157131313560440832', 'college': '', 'draft_pick': '13', 'draft_round': '1', 'draft_year': '2020', 'high_school': '', 'rookie_year': '2021'}",Jarvis,#sethjarvis-NHL-CAR-24,seth,,,C,,1813,,,,jarvis,70,24.0,sethjarvis,,
,2.0,,,[],,Luke Philp,,,,,,,True,,WSH,,181,,,,ACT,,nhl,,,d5bc6dd3-62d7-495d-af1b-41fe17d0d025,,Luke,,,,,9000575.0,"{'birth_date': '1995-11-06', 'birth_place': 'Canmore, AB, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': '2022'}",Philp,#lukephilp-NHL-WSH-64,luke,,,C,,2330,,,,philp,70,64.0,lukephilp,,
,1.0,,,[],,Topias Vilen,,,,,,,True,,NJ,,194,,,,ACT,,nhl,,,8abe3899-6c15-47a8-9039-e09acc134051,,Topias,,,,,9014248.0,"{'birth_date': '2003-04-01', 'birth_place': 'Lahti,, FIN', 'channel_id': '1221213263354675200', 'college': '', 'draft_pick': '129', 'draft_round': '5', 'draft_year': '2021', 'high_school': '', 'rookie_year': '2024'}",Vilen,#topiasvilen-NHL-NJ-38,topias,,,D,,1609,,,,vilen,73,38.0,topiasvilen,,
,,,,[],North Dakota,Sam Laurila,,,,,,,True,,NYI,,184,,,,UDP,,nhl,,,2f974048-033b-4370-9792-ae529e15bbb4,,Sam,,,,,,"{'birth_date': '2006-09-02', 'birth_place': 'Moorhead, MN, USA', 'channel_id': '1244828843366174720', 'college': 'North Dakota', 'draft_pick': '138', 'draft_round': '5', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",Laurila,#samlaurila-NHL-NYI,sam,,,D,,3916,,,,laurila,72,,samlaurila,,
,,,,[],,Jan Bednar,,,,,,,True,,DET,,199,,,,ACT,,nhl,,,3f5717d5-d9d2-47c6-828f-0be36b70154f,,Jan,,,,,9013693.0,"{'birth_date': '2002-08-26', 'birth_place': 'Rokycany,, CZE', 'college': '', 'draft_pick': '107', 'draft_round': '4', 'draft_year': '2020', 'high_school': '', 'rookie_year': ''}",Bednar,#janbednar-NHL-DET-60,jan,,,G,,2854,,,,bednar,76,60.0,janbednar,,
,,,,[],,Kaleb Lawrence,,,,,,,True,,LA,,225,,,,ACT,,nhl,,,ec9a330a-4881-4894-9caf-b2bac00d84eb,,Kaleb,,,,,9014609.0,"{'birth_date': '2003-01-10', 'birth_place': 'Ottawa, ON, CAN', 'channel_id': '1274605122013372416', 'college': '', 'draft_pick': '215', 'draft_round': '7', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",Lawrence,#kaleblawrence-NHL-LA-88,kaleb,,,C,,3060,,,,lawrence,78,88.0,kaleblawrence,,
,7.0,,,[],,Jacob Larsson,,,,,,,True,,OTT,,193,,,,ACT,,nhl,,,173965fc-fe2c-40fe-8b4d-acacbc161d64,,Jacob,,,,,9000759.0,"{'birth_date': '1997-04-29', 'birth_place': 'Ljungby,, SWE', 'college': '', 'draft_pick': '27', 'draft_round': '1', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2016'}",Larsson,#jacoblarsson-NHL-OTT-32,jacob,,,D,,2109,,,,larsson,74,32.0,jacoblarsson,,
,17.0,,,[],,Nicklas Backstrom,,,,,,,True,,WSH,,202,,,,IR,,nhl,,,434b2df5-0f24-11e2-8525-18a905767e44,,Nicklas,,,,,8473563.0,"{'birth_date': '1987-11-23', 'birth_place': 'Gavle,, SWE', 'channel_id': '1157131283051073536', 'college': '', 'draft_pick': '4', 'draft_round': '1', 'draft_year': '2006', 'high_school': '', 'rookie_year': '2007'}",Backstrom,#nicklasbackstrom-NHL-WSH-19,nicklas,,,C,,1749,,,,backstrom,73,19.0,nicklasbackstrom,,
,,,,[],,Chase Pauls,,,,,,,True,,NYR,,216,,,,ACT,,nhl,,,c8d8d56e-b72c-4ee3-83fe-1f5c7a52a6bb,,Chase,,,,,9015766.0,"{'birth_date': '2003-10-07', 'birth_place': 'Osler, SK, CAN', 'college': '', 'draft_pick': '', 'draft_round': '', 'draft_year': '', 'high_school': '', 'rookie_year': ''}",Pauls,#chasepauls-NHL-NYR-95,chase,,,D,,3054,,,,pauls,76,95.0,chasepauls,,
,7.0,,,[],Merrimack,Brett Seney,,,,,,,True,,CHI,,156,,,,ACT,,nhl,,,3cb71df7-1b22-49e5-919d-f15fe34edde1,,Brett,,,,,9012923.0,"{'birth_date': '1996-02-28', 'birth_place': 'London, ON, CAN', 'channel_id': '1274242686466928640', 'college': 'Merrimack', 'draft_pick': '157', 'draft_round': '6', 'draft_year': '2015', 'high_school': '', 'rookie_year': '2018'}",Seney,#brettseney-NHL-CHI-62,brett,,,LW,,2320,,,,seney,69,62.0,brettseney,,
,20.0,,,[],,Shea Weber,,,,,,,True,,CHI,,230,,,,IR,,nhl,,,42ce2a31-0f24-11e2-8525-18a905767e44,,Shea,,,,,8470642.0,"{'birth_date': '1985-08-14', 'birth_place': 'Sicamous, BC, CAN', 'channel_id': '1203894185787138048', 'college': '', 'draft_pick': '49', 'draft_round': '2', 'draft_year': '2003', 'high_school': '', 'rookie_year': '2005'}",Weber,#sheaweber-NHL-CHI,shea,,,D,,1100,,,,weber,76,,sheaweber,,
,2.0,,,[],,Mavrik Bourque,,,,,,,True,,DAL,,181,,,,ACT,,nhl,,,462e1f1c-723e-4ec6-b8f9-e575f5ba33a9,,Mavrik,,,,,9013558.0,"{'birth_date': '2002-01-08', 'birth_place': 'Plessisville, QC, CAN', 'channel_id': '1157130956658724864', 'college': '', 'draft_pick': '30', 'draft_round': '1', 'draft_year': '2020', 'high_school': '', 'rookie_year': '2023'}",Bourque,#mavrikbourque-NHL-DAL-22,mavrik,,,C,,1895,,,,bourque,71,22.0,mavrikbourque,,
,,,,[],,Dyllan Gill,,,,,,,True,,TB,,194,,,,ACT,,nhl,,,f0ca7396-ab30-42ec-9b21-d4711c1ea78d,,Dyllan,,,,,9014916.0,"{'birth_date': '2004-06-07', 'birth_place': 'Riverview, NB, CAN', 'channel_id': '1274121876959956992', 'college': '', 'draft_pick': '223', 'draft_round': '7', 'draft_year': '2022', 'high_school': '', 'rookie_year': ''}",Gill,#dyllangill-NHL-TB-57,dyllan,,,D,,2496,,,,gill,75,57.0,dyllangill,,
,,,,[],,Jakob Leander,,,,,,,True,,CGY,,196,,,,UDP,,nhl,,,1e55695c-089c-45c4-9d3f-461de88fcc3c,,Jakob,,,,,,"{'birth_date': '2007-02-03', 'birth_place': '', 'channel_id': '1244828808893190145', 'college': '', 'draft_pick': '208', 'draft_round': '7', 'draft_year': '2025', 'high_school': '', 'rookie_year': ''}",Leander,#jakobleander-NHL-CGY,jakob,,,D,,3876,,,,leander,76,,jakobleander,,
,7.0,,,[],,Juho Lammikko,,,,,,,True,,NJ,,191,,,,ACT,,nhl,,,3465d1b0-9d0d-479f-9514-f7a6ceab2c2b,,Juho,,,,,,"{'birth_date': '1996-01-29', 'birth_place': 'Noormarkku,, FIN', 'channel_id': '1239876306661801984', 'college': '', 'draft_pick': '65', 'draft_round': '3', 'draft_year': '2014', 'high_school': '', 'rookie_year': '2018'}",Lammikko,#juholammikko-NHL-NJ-83,juho,,,LW,,3728,,,,lammikko,74,83.0,juholammikko,,
,12.0,,,[],Michigan,Jacob Trouba,,,,,,,True,,ANA,,212,,,,ACT,,nhl,,,7482727f-ab9f-11e2-a01b-f4ce4684ea4c,,Jacob,,,,,8476885.0,"{'birth_date': '1994-02-26', 'birth_place': 'Rochester, MI, USA', 'channel_id': '1157131226671239168', 'college': 'Michigan', 'draft_pick': '9', 'draft_round': '1', 'draft_year': '2012', 'high_school': '', 'rookie_year': '2013'}",Trouba,#jacobtrouba-NHL-ANA-65,jacob,,,D,,1660,,,,trouba,75,65.0,jacobtrouba,,
,8.0,,,[],,Jean-Francois Berube,,,,,,,True,,LA,,176,,,,ACT,,nhl,,,4284180e-0f24-11e2-8525-18a905767e44,,Jean-Francois,,,,,,"{'birth_date': '1991-07-13', 'birth_place': 'Repentigay, QC, CAN', 'college': '', 'draft_pick': '95', 'draft_round': '4', 'draft_year': '2009', 'high_school': '', 'rookie_year': '2015'}",Berube,#jeanfrancoisberube-NHL-LA-85,jeanfrancois,,,G,,3040,,,,berube,73,85.0,jeanfrancoisberube,,
