age,years_exp,search_rank,pandascore_id,birth_country,college,espn_id,birth_date,injury_notes,search_first_name,player_id,hashtag,stats_id,news_updated,active,sport,fantasy_data_id,competitions,practice_description,yahoo_id,last_name,opta_id,birth_state,gsis_id,status,depth_chart_order,height,injury_start_date,fantasy_positions,search_full_name,high_school,sportradar_id,kalshi_id,practice_participation,team_abbr,team,oddsjam_id,rotoworld_id,birth_city,metadata,first_name,injury_status,swish_id,depth_chart_position,team_changed_at,position,search_last_name,number,full_name,weight,injury_body_part,rotowire_id
,0.0,,,VEN,,,2000-10-21,,luis,3374,#luiscurvelo-MLB-TEX-57,,1758928519329.0,True,mlb,,[],,,Curvelo,,,,A,,73,,,luiscurvelo,,0815929e-b754-4cb0-85c5-01a00eeccaa2,,,,TEX,,,Higuerote,"{'bat_hand': 'R', 'channel_id': '1199824311079161856', 'full_name': 'Luis Curvelo', 'pro_debut': '2025-07-31', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-26T22:51:40+00:00'}",Luis,,,,,SP,curvelo,57.0,Luis Curvelo,170,,19922.0
,3.0,,,USA,Lassen College (CA),,1994-09-10,Surgery,ray,1982,#raykerr-MLB-ATL-58,,1732728336714.0,False,mlb,,[],,,Kerr,,CA,,D60,,75,,,raykerr,Hug (NV),9db4432a-3b93-4018-a2fb-dff249147bae,,,,ATL,375026B266EE,,Sacramento,"{'bat_hand': 'L', 'channel_id': '1157161132998295552', 'full_name': 'Ray Kerr', 'pro_debut': '2022-04-24', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'L', 'updated': '2024-07-05T16:27:57+00:00'}",Ray,IL60,678061.0,,,RP,kerr,58.0,Ray Kerr,185,Elbow,17690.0
,,,,USA,Hartford,,,,david,2474,#davidmackinnon-MLB-ATH-49,,,True,mlb,,[],,,MacKinnon,,MA,,A,,74,,,davidmackinnon,Oliver Ames (MA),3ad06f66-7fe7-4900-a447-9e87511d0a9d,,,,ATH,,,Easton,"{'bat_hand': 'R', 'full_name': 'David MacKinnon', 'pro_debut': '2022-06-18', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-20T02:43:30+00:00'}",David,,676950.0,,,1B,mackinnon,49.0,David MacKinnon,200,,
,13.0,,,USA,Texas A&M,,1988-06-29,,brooks,1907,#brooksraley-MLB-NYM-25,,1753192206652.0,True,mlb,,[],,,Raley,,TX,,A,,75,,,brooksraley,Uvalde (TX),ee133eda-e1f4-4560-a26b-d99ab455ce4e,,,,NYM,CA5D8DDB64EC,,San Antonio,"{'bat_hand': 'L', 'channel_id': '1157161700806393856', 'full_name': 'Brooks Raley', 'pro_debut': '2012-08-07', 'rookie_year': '2012', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-19T21:01:27+00:00'}",Brooks,,548384.0,,,RP,raley,25.0,Brooks Raley,200,,10987.0
,0.0,,,USA,Louisiana-Lafayette,,1998-08-19,,brandon,3342,#brandonyoung-MLB-BAL-63,,1756319111541.0,True,mlb,,[],,,Young,,TX,,D60,,78,,,brandonyoung,Lumberton (TX),623e9837-a580-43f3-a524-74342173fe67,,,,BAL,31991663EBBE6758,,Lumberton,"{'bat_hand': 'R', 'channel_id': '1199824310613594112', 'full_name': 'Brandon Young', 'pro_debut': '2025-04-19', 'rookie_year': '2025', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-08-27T18:20:58+00:00'}",Brandon,,,,,SP,young,63.0,Brandon Young,210,,16949.0
,6.0,,,USA,Charleston,,1993-05-13,,taylor,1684,#taylorclarke-MLB-KC-45,,1758458129708.0,True,mlb,,[],,,Clarke,,VA,,A,,76,,,taylorclarke,Broad Run (VA),b3b31a27-6fdd-483f-9d67-23d50fd951db,,,,KC,2829F6B4DEE4,,Ashburn,"{'bat_hand': 'R', 'channel_id': '1223689592884961280', 'full_name': 'Taylor Clarke', 'pro_debut': '2019-04-20', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-25T18:33:59+00:00'}",Taylor,,664199.0,,,RP,clarke,45.0,Taylor Clarke,210,,13890.0
,1.0,,,ITA,,,2001-09-19,,sam,3268,#samaldegheri-MLB-LAA-61,,1759102231688.0,True,mlb,,[],,,Aldegheri,,,,A,,73,,,samaldegheri,,25da44aa-825b-4787-9abf-730be10a114d,,,,LAA,652BB38D5F9385AB,,Verona,"{'bat_hand': 'L', 'channel_id': '1157161326666088448', 'full_name': 'Sam Aldegheri', 'pro_debut': '2024-08-30', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-09-18T22:29:33+00:00'}",Sam,,691951.0,,,SP,aldegheri,61.0,Sam Aldegheri,210,,19357.0
,,,,DOM,,,2003-01-15,,jhancarlos,3561,#jhancarloslara-MLB-ATL-81,,1758576635963.0,True,mlb,,[],,,Lara,,,,A,,75,,,jhancarloslara,,b326c59b-1e51-4674-8a7a-8764f64c9f70,,,,ATL,,,San Cristobal,"{'bat_hand': 'R', 'channel_id': '1274786205828915200', 'full_name': 'Jhancarlos Lara', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-30T22:03:08+00:00'}",Jhancarlos,,,,,SP,lara,81.0,Jhancarlos Lara,190,,19151.0
,,,,USA,,,2002-08-07,,marco,3356,#marcoraya-MLB-MIN-85,,1741549557892.0,True,mlb,,[],,,Raya,,TX,,A,,73,,,marcoraya,United South (TX),0e95bf6e-f4af-4d62-8d92-2835d2a7dc4f,,,,MIN,,,Laredo,"{'bat_hand': 'R', 'channel_id': '1199824310819115008', 'full_name': 'Marco Raya', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:11:18+00:00'}",Marco,,,,,SP,raya,85.0,Marco Raya,170,,16893.0
,17.0,,,USA,USC,,1984-12-19,,ian,1195,#iankennedy-MLB-TEX-21,,1698979842593.0,False,mlb,,[],,,Kennedy,,CA,,D60,,72,,,iankennedy,La Quinta (CA),d9ed48ab-6740-411c-84b2-be4cc75b83c5,,,,TEX,602062DF8830,,Huntington Beach,"{'bat_hand': 'R', 'full_name': 'Ian Kennedy', 'pro_debut': '2007-09-01', 'rookie_year': '2007', 'status': 'D60', 'throw_hand': 'R', 'updated': '2023-09-16T22:09:00+00:00'}",Ian,,453178.0,,,RP,kennedy,21.0,Ian Kennedy,210,,9309.0
,5.0,,,USA,Texas State,,1991-09-04,,kyle,2023,#kylefinnegan-MLB-DET-64,,1758678301433.0,True,mlb,,[],,,Finnegan,,MI,,A,,74,,,kylefinnegan,Kingwood (TX),f14f29a3-5e4a-45c2-890b-ec02ed30e5b8,,,,DET,E5F5EC0612E0,,Detroit,"{'bat_hand': 'R', 'channel_id': '1157161592220057600', 'full_name': 'Kyle Finnegan', 'pro_debut': '2020-07-25', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-19T21:16:32+00:00'}",Kyle,,640448.0,,,RP,finnegan,64.0,Kyle Finnegan,198,,15866.0
,12.0,,,USA,Rice,,1990-06-06,Surgery,anthony,1461,#anthonyrendon-MLB-LAA-6,,1739655317408.0,True,mlb,,[],,,Rendon,,TX,,D60,,73,,,anthonyrendon,Lamar (TX),78712aa3-b342-48ee-a0cc-ab90d5dd3618,,,,LAA,BC90FA8EDDA9,,Richmond,"{'bat_hand': 'R', 'channel_id': '1157161321700032512', 'full_name': 'Anthony Rendon', 'pro_debut': '2013-04-21', 'rookie_year': '2013', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-02-15T21:17:05+00:00'}",Anthony,IL60,543685.0,,,3B,rendon,6.0,Anthony Rendon,200,Hip,12122.0
,,,,USA,,,,,austin,2481,#austinbrice-MLB-PIT-72,,,True,mlb,,[],,,Brice,,NC,,A,,76,,,austinbrice,Northwood (NC),58831505-e236-4871-9f20-1e9d8bb0fa60,,,,PIT,,,Pittsboro,"{'bat_hand': 'R', 'full_name': 'Austin Brice', 'pro_debut': '2016-08-12', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-08-13T13:05:07+00:00'}",Austin,,592169.0,,,RP,brice,72.0,Austin Brice,238,,
,9.0,,,CUB,,,1984-06-09,,yuli,2125,#yuligurriel-MLB-SD-10,,1747143313108.0,True,mlb,,[],,,Gurriel,,,,A,,72,,,yuligurriel,,bd519b9f-7539-4282-a741-3bd2bf532c40,,,,SD,495F47F028E9,,Sancti Spiritus,"{'bat_hand': 'R', 'channel_id': '1157161423785197568', 'full_name': 'Yuli Gurriel', 'pro_debut': '2016-08-21', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-03-29T04:42:21+00:00'}",Yuli,,493329.0,,,1B,gurriel,10.0,Yuli Gurriel,215,,8905.0
,5.0,,,MEX,,,1994-06-03,,ramon,1590,#ramonurias-MLB-HOU-29,,1757268934235.0,True,mlb,,[],,,Urías,,,,A,,69,,,ramonurias,,0672f3d5-5781-47bb-b111-abec96c38355,,,,HOU,B81FF4E3B904,,Magdalena de Kino,"{'bat_hand': 'R', 'channel_id': '1157161387248615424', 'full_name': 'Ramón Urías', 'pro_debut': '2020-08-20', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-01T19:43:27+00:00'}",Ramón,,602104.0,,,3B,urias,29.0,Ramón Urías,185,,15783.0
,7.0,,,USA,,,1994-09-06,,clint,1510,#clintfrazier-MLB-CWS-15,,1715349922842.0,True,mlb,,[],,,Frazier,,GA,,A,,71,,,clintfrazier,Loganville (GA),1e346b4f-2348-4a1c-9887-45ba04d91e7b,,,,CWS,75D4C48E7F97,,Decatur,"{'bat_hand': 'R', 'full_name': 'Clint Frazier', 'pro_debut': '2017-07-01', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-11-03T14:56:10+00:00'}",Clint,,640449.0,,,LF,frazier,15.0,Clint Frazier,212,,12939.0
,4.0,,,USA,Oklahoma,,1996-12-27,,kyle,1995,#kyletyler-MLB-BAL,,1751947220878.0,False,mlb,,[],,,Tyler,,OK,,MIN,,72,,,kyletyler,Westmoore (OK),a0d319f7-c641-4975-8bd3-1b2315460626,,,,BAL,7CC88E41D646,,Oklahoma City,"{'bat_hand': 'R', 'channel_id': '1157161178498105344', 'full_name': 'Kyle Tyler', 'pro_debut': '2021-09-05', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-06-24T00:46:39+00:00'}",Kyle,,667725.0,,,RP,tyler,,Kyle Tyler,200,,17616.0
,1.0,,,USA,Florida,,,Not Specified,mark,1914,#markkolozsvary-MLB-BAL-56,,1737664255138.0,False,mlb,,[],,,Kolozsvary,,FL,,MIN,,68,,,markkolozsvary,Tavares (FL),9f8dfe95-b45f-4fff-989a-951bd6cddf7c,,,,BAL,,,Tavares,"{'bat_hand': 'R', 'full_name': 'Mark Kolozsvary', 'pro_debut': '2022-04-20', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-06-14T18:01:18+00:00'}",Mark,IL60,656627.0,,,C,kolozsvary,56.0,Mark Kolozsvary,180,Undisclosed,17072.0
,8.0,,,DOM,,,1996-10-24,,rafael,1711,#rafaeldevers-MLB-SF-16,,1759161035617.0,True,mlb,,[],,,Devers,,,,A,,72,,,rafaeldevers,,fe966998-15e1-4022-89d5-6b4750516176,,,,SF,D1F45CEF3017,,Sanchez,"{'bat_hand': 'L', 'channel_id': '1157161443016081408', 'full_name': 'Rafael Devers', 'pro_debut': '2017-07-25', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-06-18T13:27:07+00:00'}",Rafael,,646240.0,,,DH,devers,16.0,Rafael Devers,235,,13179.0
,7.0,,,DOM,,,1994-11-25,,seranthony,1148,#seranthonydominguez-MLB-TOR-48,,1754270148637.0,True,mlb,,[],,,Domínguez,,,,A,,73,,,seranthonydominguez,,1b02041b-941f-46af-a52e-79072e0e2a33,,,,TOR,77AE1918F298,,Esperanza Valverde Mao,"{'bat_hand': 'R', 'channel_id': '1157161394437652480', 'full_name': 'Seranthony Domínguez', 'pro_debut': '2018-05-07', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-07-30T14:25:30+00:00'}",Seranthony,,622554.0,,,RP,dominguez,48.0,Seranthony Domínguez,225,,14702.0
,6.0,,,USA,Bryant,,1995-09-22,,james,1649,#jameskarinchak-MLB-CLE-99,,1750085715440.0,False,mlb,,[],,,Karinchak,,NY,,D60,,75,,,jameskarinchak,Valley Central (NY),a0fac67f-f601-4745-af63-92009f082930,,,,CLE,574B92CB860B,,Walden,"{'bat_hand': 'R', 'channel_id': '1157161416457748480', 'full_name': 'James Karinchak', 'pro_debut': '2019-09-14', 'rookie_year': '2019', 'status': 'D60', 'throw_hand': 'R', 'updated': '2024-03-28T20:24:32+00:00'}",James,,675916.0,,,RP,karinchak,99.0,James Karinchak,215,,14878.0
,0.0,,,USA,Arizona State,,2002-08-15,Sprain,luke,3414,#lukekeaschall-MLB-MIN-15,,1758811511035.0,True,mlb,,[],,,Keaschall,,CA,,A,,72,,,lukekeaschall,Aptos (CA),00ce18c4-c489-4350-a550-06a6d3948581,,,,MIN,993BBFFCC1462B1F,,Watsonville,"{'bat_hand': 'R', 'channel_id': '1218721889619300352', 'full_name': 'Luke Keaschall', 'pro_debut': '2025-04-18', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:10:06+00:00'}",Luke,Out,,,,2B,keaschall,15.0,Luke Keaschall,190,Thumb,19005.0
,3.0,,,USA,North Carolina,,1992-06-04,,kent,1150,#kentemanuel-MLB-MIA-74,,1725396930865.0,True,mlb,,[],,,Emanuel,,GA,,A,,76,,,kentemanuel,Woodstock (GA),7eee576b-369f-4593-a59f-d0ee061b7622,,,,MIA,C2BC0F27D234,,Woodstock,"{'bat_hand': 'L', 'full_name': 'Kent Emanuel', 'pro_debut': '2021-04-24', 'rookie_year': '2021', 'status': 'A', 'throw_hand': 'L', 'updated': '2024-08-09T19:09:17+00:00'}",Kent,,592288.0,,,RP,emanuel,74.0,Kent Emanuel,225,,13053.0
,11.0,,,USA,Florida,,1990-04-18,,anthony,1813,#anthonydesclafani-MLB-AZ-21,,1758243319797.0,True,mlb,,[],,,DeSclafani,,NJ,,A,,74,,,anthonydesclafani,Colts Neck (NJ),07af23d5-a3b9-4526-9e89-8c7f9f5facb4,,,,AZ,6BE6FC3855DB,,Freehold,"{'bat_hand': 'R', 'channel_id': '1157161513350365184', 'full_name': 'Anthony DeSclafani', 'pro_debut': '2014-05-14', 'rookie_year': '2014', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-09-07T16:43:04+00:00'}",Anthony,,543101.0,,,SP,desclafani,21.0,Anthony DeSclafani,195,,12755.0
,,,,USA,,,,,roman,2330,#romanquinn-MLB-TB-25,,,True,mlb,,[],,,Quinn,,FL,,A,,70,,,romanquinn,Port St. Joe (FL),1816ec27-3ce2-4edb-8f15-2451afe99ab2,,,,TB,,,Port St. Joe,"{'bat_hand': 'B', 'full_name': 'Roman Quinn', 'pro_debut': '2016-09-11', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-19T19:46:44+00:00'}",Roman,,596451.0,,,CF,quinn,25.0,Roman Quinn,175,,
,,,,USA,Xavier,,,,zac,1609,#zaclowther-MLB-BAL-59,,,False,mlb,,[],,,Lowther,,OH,,MIN,,74,,,zaclowther,Cuyahoga Falls (OH),11c4591d-a21d-45b9-8e3a-cbba1d633646,,,,BAL,,,Brooklyn Heights,"{'bat_hand': 'L', 'full_name': 'Zac Lowther', 'pro_debut': '2021-04-25', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-06-01T18:58:08+00:00'}",Zac,,675912.0,,,SP,lowther,59.0,Zac Lowther,235,,
,2.0,,,USA,Baylor,,1998-02-22,Sprain,cody,2854,#codybradford-MLB-TEX-61,,1751061931975.0,True,mlb,,[],,,Bradford,,TX,,D60,,76,,,codybradford,Aledo (TX),0feb47d0-1eac-4553-9a83-5926f9cc795b,,,,TEX,B13426733E92,,Aledo,"{'bat_hand': 'L', 'channel_id': '1157161609374760960', 'full_name': 'Cody Bradford', 'pro_debut': '2023-05-15', 'rookie_year': '2023', 'status': 'D60', 'throw_hand': 'L', 'updated': '2025-04-08T19:55:17+00:00'}",Cody,IL60,674003.0,,,RP,bradford,61.0,Cody Bradford,197,Elbow,16193.0
,,,,DOM,,,2003-01-13,,alex,3060,#alexramirez-MLB-NYM-72,,1733161515884.0,True,mlb,,[],,,Ramírez,,,,A,,75,,,alexramirez,,a86edd63-4b53-4186-bf6a-0b3d5599b2ce,,,,NYM,ACA1D837A0EF,,Santo Domingo,"{'bat_hand': 'R', 'channel_id': '1157161691633451008', 'full_name': 'Alex Ramírez', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-10-22T13:15:43+00:00'}",Alex,,691267.0,,,CF,ramirez,72.0,Alex Ramírez,170,,16342.0
,2.0,,,DOM,,,1996-08-26,,jc,2109,#jcmejia-MLB-MIL-36,,1700280312129.0,False,mlb,,[],,,Mejía,,,,D60,,77,,,jcmejia,,2ac39674-410e-4542-b9f3-e67b04f85782,,,,MIL,DD3E57770213,,Gaspar Hernandez,"{'bat_hand': 'R', 'full_name': 'J.C. Mejía', 'pro_debut': '2021-05-21', 'rookie_year': '2021', 'status': 'D60', 'throw_hand': 'R', 'updated': '2023-09-21T02:16:15+00:00'}",J.C.,,650496.0,,,RP,mejia,36.0,J.C. Mejía,240,,15792.0
,3.0,,,VEN,,,1999-03-01,Surgery,oswaldo,1749,#oswaldocabrera-MLB-NYY-95,,1754948751423.0,True,mlb,,[],,,Cabrera,,,,D60,,72,,,oswaldocabrera,,f2c55fb7-f18f-44ab-80a0-7e5d8ee165cc,,,,NYY,5ACB5F70F3B8,,Guarenas,"{'bat_hand': 'B', 'channel_id': '1157161465300418560', 'full_name': 'Oswaldo Cabrera', 'pro_debut': '2022-08-17', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-06-24T03:08:27+00:00'}",Oswaldo,IL60,665828.0,,,3B,cabrera,95.0,Oswaldo Cabrera,200,Ankle,17675.0
,1.0,,,VEN,,,2001-12-15,,jairo,3054,#jairoiriarte-MLB-CWS-58,,1741280422618.0,True,mlb,,[],,,Iriarte,,,,A,,76,,,jairoiriarte,,f66bebbb-fb11-4bc4-b4a6-f822959e8e73,,,,CWS,33D599567DC9,,La Guaira,"{'bat_hand': 'R', 'channel_id': '1157161290716708864', 'full_name': 'Jairo Iriarte', 'pro_debut': '2024-09-03', 'rookie_year': '2024', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:05:13+00:00'}",Jairo,,683568.0,,,SP,iriarte,58.0,Jairo Iriarte,240,,18187.0
,,,,USA,Arizona,,,,jj,2320,#jjmatijevic-MLB-HOU-13,,,False,mlb,,[],,,Matijevic,,PA,,MIN,,72,,,jjmatijevic,Norwin (PA),236dff4a-aec7-4ce9-9d32-6dc857c045b0,,,,HOU,,,Latrobe,"{'bat_hand': 'L', 'full_name': 'J.J. Matijevic', 'pro_debut': '2022-04-22', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2023-03-28T21:25:50+00:00'}",J.J.,,656695.0,,,1B,matijevic,13.0,J.J. Matijevic,206,,
,11.0,,,USA,UConn,,1989-09-19,,george,1100,#georgespringer-MLB-TOR-4,,1759099231709.0,True,mlb,,[],,,Springer,,CT,,A,,73,,,georgespringer,Avon Old Farms School (CT),7f92278a-91c4-4c25-9e75-eaff3aed89b3,,,,TOR,4EA0B72B5B41,,New Britain,"{'bat_hand': 'R', 'channel_id': '1157161147070185472', 'full_name': 'George Springer', 'pro_debut': '2014-04-16', 'rookie_year': '2014', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-16T16:10:13+00:00'}",George,,543807.0,,,RF,springer,4.0,George Springer,220,,12130.0
,6.0,,,VEN,,,1993-12-26,,yonny,1895,#yonnychirinos-MLB-MIA-26,,1732744237183.0,True,mlb,,[],,,Chirinos,,,,A,,74,,,yonnychirinos,,5bccd611-800b-4333-8292-13d0564db285,,,,MIA,5B720B339387,,Bachaquero,"{'bat_hand': 'R', 'full_name': 'Yonny Chirinos', 'pro_debut': '2018-04-01', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-06-19T14:26:09+00:00'}",Yonny,,630023.0,,,SP,chirinos,26.0,Yonny Chirinos,225,,15140.0
,,,,DOM,Rowan College of South Jersey (NJ),,,,narciso,2496,#narcisocrook-MLB-CHC-24,,,True,mlb,,[],,,Crook,,,,A,,75,,,narcisocrook,Trenton (NJ),01711dad-c00a-4b15-b9e1-a5b574833fcb,,,,CHC,,,Nagua,"{'bat_hand': 'R', 'full_name': 'Narciso Crook', 'pro_debut': '2022-06-30', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-20T01:44:14+00:00'}",Narciso,,643271.0,,,RF,crook,24.0,Narciso Crook,220,,
