gsis_id,sportradar_id,college,swish_id,fantasy_data_id,news_updated,birth_state,player_id,birth_date,height,depth_chart_order,espn_id,team,active,team_abbr,kalshi_id,practice_description,rotoworld_id,high_school,rotowire_id,competitions,status,injury_start_date,search_last_name,search_first_name,practice_participation,sport,age,years_exp,opta_id,pandascore_id,oddsjam_id,birth_city,injury_status,first_name,fantasy_positions,stats_id,birth_country,metadata,last_name,depth_chart_position,injury_body_part,hashtag,position,search_rank,team_changed_at,number,search_full_name,full_name,injury_notes,weight,yahoo_id
,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,Tennessee-Martin,,,,,13175,2000-07-27,76,,,,True,,,,,Jackson Academy (MS),,[],Active,,dent,kinkead,,nfl,24.0,0.0,,,,,,Kinkead,['QB'],,,"{'channel_id': '1225943136610562048', 'rookie_year': '0'}",Dent,,,#kinkeaddent-NFL-FA,QB,9999999.0,,,kinkeaddent,Kinkead Dent,,215,
,110e6fe0-1c34-11ee-8294-af17faac15de,Notre Dame,1454349.0,24902.0,1759171556761.0,,11533,1995-03-14,75,1.0,,DAL,True,,8ab98460-cf9f-4895-a793-c2deda5b200b,,,Plano Senior (TX),17649.0,[],Active,,aubrey,brandon,,nfl,30.0,2.0,,,872D94B3727D,,,Brandon,['K'],,,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",Aubrey,K,,#brandonaubrey-NFL-DAL-17,K,100.0,,17.0,brandonaubrey,Brandon Aubrey,,218,
,faf5f854-73af-4ab9-8f19-95ea75431d45,Georgia,,16967.0,,,2508,1991-09-20,"6'1""",,2578542.0,,False,,,,,North Clayton,10372.0,[],Inactive,,herrera,amarlo,,nfl,28.0,5.0,,,,,,Amarlo,['LB'],,,,Herrera,,,#amarloherrera-NFL-FA-56,LB,9999999.0,,56.0,amarloherrera,Amarlo Herrera,,249,28595.0
00-0031255,25a958c9-4035-43ad-8c9c-1309ea592e66,Boston College,,16570.0,1572497732686.0,,2199,1989-08-17,74,,17141.0,,True,,,,,Kimball Union (NH),9378.0,[],Inactive,,edebali,kasim,,nfl,32.0,8.0,,,,,,Kasim,"['DL', 'LB']",498200.0,,{'channel_id': '1116852786479235072'},Edebali,,,#kasimedebali-NFL-FA-95,DE,9999999.0,,95.0,kasimedebali,Kasim Edebali,,253,27923.0
,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,New Mexico Highlands,,17349.0,,,2881,1992-01-29,"6'2""",,2516911.0,,False,,,,,,10861.0,[],Inactive,,slavin,tyler,,nfl,26.0,1.0,,,,,,Tyler,['WR'],542556.0,,,Slavin,,,#tylerslavin-NFL-FA-13,WR,9999999.0,,13.0,tylerslavin,Tyler Slavin,,215,29002.0
00-0031411,3e3bd10a-6462-47f8-8938-42518781d060,Boise State,651780.0,16366.0,1759362659959.0,,2064,1992-04-28,75,1.0,16802.0,SEA,True,,8657e120-393b-46b0-bd01-5f2dd6b4aca1,,9633.0,Silver Bluff (SC),9344.0,[],Active,,lawrence,demarcus,,nfl,33.0,11.0,,,4306CF8AB318,,Questionable,DeMarcus,['DL'],,,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",Lawrence,LOLB,Thigh,#demarcuslawrence-NFL-SEA-0,DE,570.0,,0.0,demarcuslawrence,DeMarcus Lawrence,,254,27562.0
,9f0f0495-b5b8-45c2-866b-02d9f96087f7,North Texas,,14731.0,1520632201229.0,,1284,1990-01-25,"5'8""",,15369.0,,False,,,,7798.0,Haltom (TX),8086.0,[],Inactive,,dunbar,lance,,nfl,30.0,8.0,,,,,,Lance,['RB'],468901.0,,,Dunbar,,,#lancedunbar-NFL-FA-25,RB,9999999.0,,25.0,lancedunbar,Lance Dunbar,,187,26064.0
00-0031511,e0abf267-f265-4682-9bb7-72bbcefda451,Alabama,,17269.0,1598920530064.0,,2801,1991-10-16,72,,2515962.0,,True,,,,,North Shore (TX),10243.0,[],Inactive,,white,deandrew,,nfl,30.0,7.0,,,,,Questionable,DeAndrew,['WR'],557177.0,,{'channel_id': '1116852821904326656'},White,,Undisclosed,#deandrewwhite-NFL-FA-18,WR,9999999.0,,18.0,deandrewwhite,DeAndrew White,,195,28800.0
00-0033501,87c4b182-e4bc-4f35-97ec-8537a2665875,Auburn,835146.0,19373.0,1627877117922.0,,4501,1992-10-13,74,,3121581.0,,True,,,,,Carolina (SC),12173.0,[],Active,,lawrence,devaroe,,nfl,29.0,5.0,,,,,,Devaroe,['DL'],,,{'channel_id': '1116852977559142400'},Lawrence,,,#devaroelawrence-NFL-FA-0,DT,1257.0,,0.0,devaroelawrence,Devaroe Lawrence,,294,30412.0
 00-0035684,02d1b3c3-f292-4174-89fa-9ecc6286adb0,Georgia,880521.0,21020.0,1660181717555.0,,5852,1997-09-04,71,,3915163.0,,True,,,,,Miami Northwestern (FL),13475.0,[],Active,,baker,deandre,,nfl,24.0,3.0,,,,,,DeAndre,['DB'],,,{'channel_id': '1116853171138854912'},Baker,,,#deandrebaker-NFL-FA-30,CB,9999999.0,,30.0,deandrebaker,DeAndre Baker,,186,31862.0
,c2c65162-07df-48fb-93ce-86f340afb688,SMU,,13881.0,,,1073,1989-10-19,"6'6""",,15067.0,,False,,,,,,,[],Inactive,,thompson,taylor,,nfl,27.0,3.0,,,,,,Taylor,['TE'],460898.0,,,Thompson,,,#taylorthompson-NFL-FA-84,TE,9999999.0,,84.0,taylorthompson,Taylor Thompson,,268,
00-0032942,e431a42b-5abe-49de-9c8c-f143f393591c,USC,691066.0,18135.0,1755740717239.0,,3374,1993-11-30,72,,2971603.0,,True,,d3ace602-f6d2-49e5-8f05-b9573ecabf9a,,,Muir (CA),11170.0,[],Inactive,,seymour,kevon,,nfl,31.0,9.0,,,0B131E4B26AA,,Questionable,Kevon,['DB'],691066.0,,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",Seymour,,Undisclosed,#kevonseymour-NFL-FA-29,CB,9999999.0,,29.0,kevonseymour,Kevon Seymour,,188,29452.0
,a01a9064-c0c3-4f3e-8753-89f5859879f9,Louisiana-Monroe,1067387.0,,,,8012,1998-10-16,70,,,,True,,,,,Neville (LA),15702.0,[],Active,,straughter,corey,,nfl,23.0,1.0,,,,,,Corey,['DB'],,,{'channel_id': '1116853451070898176'},Straughter,,,#coreystraughter-NFL-FA-0,CB,,,0.0,coreystraughter,Corey Straughter,,183,
,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,Kentucky,920059.0,,1661021115529.0,,7918,1997-10-14,73,,,,True,,,,,Garfield Heights (OH),15350.0,[],Active,,rose,aj,,nfl,24.0,1.0,,,,,,A.J.,['RB'],,,{'channel_id': '1116853435631665152'},Rose,,,#ajrose-NFL-FA-24,RB,311.0,,24.0,ajrose,A.J. Rose,,212,
,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,Colorado State,,12610.0,,,777,1982-06-25,"6'8""",,9399.0,,False,,,,,John F. Kennedy (CO),7124.0,[],Inactive,,pears,erik,,nfl,38.0,15.0,,,,,,Erik,['OL'],,,,Pears,,,#erikpears-NFL-FA-71,T,9999999.0,,71.0,erikpears,Erik Pears,,316,7588.0
,3e838e40-4637-11f0-8b96-73caf6d6c117,South Florida,,,1756107953603.0,,13229,,74,,,,True,,7b611cb8-466d-4ebe-8f89-c68258095c93,,,Center Point (AL),19197.0,[],Active,,hawthorne,decarius,,nfl,,0.0,,,,,,Decarius,['DL'],,,"{'channel_id': '1238264321964769280', 'rookie_year': '2025'}",Hawthorne,,,#decariushawthorne-NFL-FA-92,DL,9999999.0,,92.0,decariushawthorne,Decarius Hawthorne,,290,
,e5395ca3-47d0-403b-84f5-41bfeba78e67,Georgia Tech,,20526.0,1535476203701.0,,5428,1993-12-03,75,,3055908.0,,True,,,,,Saint Joseph Regional (NJ),13096.0,[],Active,,jeune,ricky,,nfl,28.0,4.0,,,,,,Ricky,['WR'],748570.0,,{'channel_id': '1116853100703907840'},Jeune,,,#rickyjeune-NFL-FA-2,WR,9999999.0,,2.0,rickyjeune,Ricky Jeune,,212,31388.0
00-0031259,76c630cf-0fd3-4210-a73d-9347da9d9d66,Oklahoma,,16249.0,1599351058114.0,,1982,1991-10-02,72,,16900.0,,True,,,,9348.0,Owasso (OK),9337.0,[],Active,,colvin,aaron,,nfl,30.0,8.0,,,,,,Aaron,['DB'],542873.0,,{'channel_id': '1116852771618816000'},Colvin,,,#aaroncolvin-NFL-FA-34,CB,9999999.0,,34.0,aaroncolvin,Aaron Colvin,,191,27642.0
,07923890-0e3a-11ef-9a4a-c565d3259077,Purdue,,,,,12376,,71,,,,True,,,,,Avon Old Farms (CT),,[],Active,,wilson,marquis,,nfl,,1.0,,,,,,Marquis,['DB'],,,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",Wilson,,,#marquiswilson-NFL-FA,DB,9999999.0,,,marquiswilson,Marquis Wilson,,185,
,2b02fad4-574c-4a40-ab7d-43aca2142b66,Illinois State,943834.0,,,,7882,1998-01-22,75,,,,True,,,,,Washington (IL),15476.0,[],Active,,uphoff,christian,,nfl,23.0,1.0,,,,,,Christian,['DB'],,,{'channel_id': '1116853428480376832'},Uphoff,,,#christianuphoff-NFL-FA-0,DB,,,0.0,christianuphoff,Christian Uphoff,,195,
,0c7ceb00-d207-11ec-ab20-b37737d70cc4,Iowa State,1058624.0,23646.0,1753806622728.0,,8733,1999-01-04,73,2.0,,BAL,True,,4c9cd475-5b22-4560-959d-52b91a7344cd,,,Dowling Catholic (IA),16270.0,[],Active,,hummel,jake,,nfl,26.0,3.0,,,6592B272CCBB,,,Jake,['LB'],,,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",Hummel,RILB,,#jakehummel-NFL-BAL-35,LB,9999999.0,,35.0,jakehummel,Jake Hummel,,235,
,08f0fef0-3748-11f0-9677-41d005293433,Miami (OH),,,1754250907948.0,,13221,2000-08-04,72,,,,True,,b78d326c-47b1-4197-bfba-8e3c393cbd39,,,Christian Brothers College (MO),19192.0,[],Active,,gabbert,brett,,nfl,24.0,0.0,,,0D57BED3D0B2DB99,,,Brett,['QB'],,,"{'channel_id': '1231394003711180800', 'rookie_year': '0'}",Gabbert,,,#brettgabbert-NFL-FA-16,QB,999.0,,16.0,brettgabbert,Brett Gabbert,,206,
,64c0ef00-fa65-11ed-b161-c5ef733b4e80,Kutztown,1448292.0,,1693334405078.0,,11522,1999-04-07,75,,,,True,,,,,Boyertown Area Senior (PA),17644.0,[],Active,,kapp,jerome,,nfl,24.0,1.0,,,,,,Jerome,['WR'],,,{'channel_id': '1116852698889584640'},Kapp,,,#jeromekapp-NFL-FA-31,WR,622.0,,31.0,jeromekapp,Jerome Kapp,,210,
00-0031598,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,Delaware,608753.0,16931.0,1673388617497.0,,2474,1993-02-17,76,,2574591.0,,True,,,,10547.0,High Point Regional (NJ),10252.0,[],Active,,boyle,nick,,nfl,29.0,8.0,,,,,,Nick,['TE'],608753.0,,{'channel_id': '1116852808646131712'},Boyle,,,#nickboyle-NFL-FA-86,TE,9999999.0,,86.0,nickboyle,Nick Boyle,,261,28559.0
,c22d7080-d3b2-11ec-96a0-c3471a31202c,Arkansas,1060719.0,,,,8852,1999-05-07,76,,,,True,,,,,Fayetteville (AR),,[],Active,,clary,ty,,nfl,25.0,0.0,,,,,,Ty,['OL'],,,"{'channel_id': '1116853538769600512', 'rookie_year': ''}",Clary,,,#tyclary-NFL-FA-0,OL,9999999.0,,0.0,tyclary,Ty Clary,,299,
,c09be300-d30d-11ec-8b77-45b1765fd110,Harvard,1051044.0,,1756225808845.0,,8809,1999-10-18,70,,,,True,,5933b078-dcce-4bfe-9d7f-a50bac96cfe3,,,Long Beach Polytechnic (CA),16367.0,[],Active,,shampklin,aaron,,nfl,25.0,3.0,,,8C27E3A10D7A,,,Aaron,['RB'],,,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",Shampklin,,,#aaronshampklin-NFL-FA-48,RB,672.0,,48.0,aaronshampklin,Aaron Shampklin,,195,
,c05863ec-3414-4ae6-a8d2-830aed99b6d3,Penn State,1229074.0,24143.0,1759127452906.0,,9487,2002-03-21,70,4.0,,JAX,True,,6599a162-f520-46bf-8858-83777c92bd54,,,Travis (TX),16690.0,[],Active,,washington,parker,,nfl,23.0,2.0,,,6C394246A6D8,,,Parker,['WR'],,,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",Washington,SWR,,#parkerwashington-NFL-JAX-11,WR,444.0,,11.0,parkerwashington,Parker Washington,,204,
,95f3b8ac-e10f-4f0d-8650-b464b37ded86,Iowa,1059222.0,21931.0,1759277454268.0,,6923,1999-04-19,71,1.0,4240575.0,CIN,True,,8501baf3-7e07-4cad-b179-fff54a63eb89,,,New Castle (PA),14474.0,[],Active,,stone,geno,,nfl,26.0,5.0,,,403AA74AF980,,,Geno,['DB'],,,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",Stone,FS,,#genostone-NFL-CIN-22,DB,624.0,,22.0,genostone,Geno Stone,,210,32889.0
,7ebbfdef-1185-4896-a323-e6d5669a8345,Texas A&M,,16135.0,1552834853016.0,,1907,1992-12-06,"6'0""",,16736.0,,False,,,,9271.0,Tivy (TX),9246.0,[],Inactive,,manziel,johnny,,nfl,27.0,6.0,,,,,,Johnny,['QB'],593578.0,,,Manziel,,,#johnnymanziel-NFL-FA-2,QB,9999999.0,,2.0,johnnymanziel,Johnny Manziel,,210,27550.0
,bab100c6-1a6c-4411-9286-f719244f5d35,Northwestern,880210.0,22317.0,1754644241341.0,,7325,1996-09-27,76,,3915990.0,,True,,74473a55-e757-43b5-b910-0c00eabafb72,,,Xaverian Brothers (MA),15065.0,[],Active,,gaziano,joe,,nfl,28.0,5.0,,,4F578D605AAF,,,Joe,['DL'],,,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",Gaziano,,,#joegaziano-NFL-FA-90,DE,9999999.0,,90.0,joegaziano,Joe Gaziano,,280,32982.0
,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,Miami (FL),877900.0,,1691094646911.0,,8716,1997-07-02,78,,,,True,,,,,Cedar Hill (TX),16329.0,[],Active,,williams,jarrid,,nfl,26.0,1.0,,,,,,Jarrid,['OL'],,,{'channel_id': '1116853519173812224'},Williams,,,#jarridwilliams-NFL-FA-76,OL,9999999.0,,76.0,jarridwilliams,Jarrid Williams,,308,
 00-0035477,89fc014a-7d41-40c9-90d1-1459286813e2,Toledo,,21539.0,,,6648,1996-01-07,80,,3122934.0,,True,,,,,DeMatha Catholic,14291.0,[],Active,,ruble,brock,,nfl,26.0,3.0,,,,,,Brock,['OL'],,,{'channel_id': '1116853286427688960'},Ruble,,,#brockruble-NFL-FA-72,OT,9999999.0,,72.0,brockruble,Brock Ruble,,325,32485.0
00-0032791,5de11f0b-8da9-42ba-9a93-db7f0a58543b,Texas Tech,605325.0,18103.0,1734242151808.0,,3342,1992-10-30,67,,2577641.0,,True,,,,11475.0,Horn (TX),10990.0,[],Active,,grant,jakeem,,nfl,32.0,8.0,,,2CDE42756969,,,Jakeem,['WR'],605325.0,,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",Grant,,,#jakeemgrant-NFL-FA-84,WR,662.0,,84.0,jakeemgrant,Jakeem Grant,,172,29420.0
00-0030300,51952c7b-11c5-4229-baf9-08d4694cc2ad,Clemson,,15509.0,1602620149319.0,,1684,1990-01-08,75,,16172.0,,True,,,,8869.0,Cheraw (SC),9046.0,[],Active,,brown,jaron,,nfl,32.0,9.0,,,,,,Jaron,['WR'],463514.0,,{'channel_id': '1116852755042926592'},Brown,,,#jaronbrown-NFL-FA-18,WR,763.0,,18.0,jaronbrown,Jaron Brown,,205,27074.0
00-0033038,16e4ffec-959d-4210-8702-36c0bf20dda5,Minnesota,651636.0,18029.0,1759096848743.0,,3268,1994-01-07,71,1.0,2970716.0,JAX,True,,99a4e7d9-42da-4f89-8633-f7a6dddade6a,,,Riverside (WI),11141.0,[],Active,,murray,eric,,nfl,31.0,9.0,,,DFF0CE83247F,,Questionable,Eric,['DB'],,,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",Murray,FS,Neck,#ericmurray-NFL-JAX-29,DB,9999999.0,,29.0,ericmurray,Eric Murray,,199,29340.0
00-0033445,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,Greenville,1050219.0,19310.0,1735865416050.0,,4449,1995-07-10,72,,4232830.0,,True,,,,,Huntsville (AL),12428.0,[],Active,,morrow,nicholas,,nfl,29.0,8.0,,,DB8EDD57A8EC,,,Nicholas,['LB'],,,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",Morrow,,,#nicholasmorrow-NFL-FA-43,LB,500.0,,43.0,nicholasmorrow,Nicholas Morrow,,216,30633.0
,fa4e3720-e760-11ed-a510-95de71e69612,Bowie State,1334826.0,,1700343030178.0,,11072,1999-10-25,76,,,,True,,,,,Paul Laurence Dunbar (MD),17615.0,[],Active,,pryor,joshua,,nfl,24.0,1.0,,,C7E7375D12FB,,,Joshua,['DL'],,,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",Pryor,,,#joshuapryor-NFL-FA-47,DL,9999999.0,,47.0,joshuapryor,Joshua Pryor,,280,
,0dbbd211-0372-4751-9751-e4df4ab1f8eb,Washington,1049246.0,21843.0,1754694945192.0,,6918,1998-12-30,71,5.0,4243315.0,IND,True,,bcea8876-5fa5-4a1b-a7e5-c182a2a2bc35,,,Juanita (WA),14453.0,[],Inactive,,ahmed,salvon,,nfl,26.0,5.0,,,998715B4D91F,,IR,Salvon,['RB'],,,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",Ahmed,RB,Ankle,#salvonahmed-NFL-IND-36,RB,578.0,,36.0,salvonahmed,Salvon Ahmed,,197,33265.0
 00-0035308,ec63ee49-3a03-44ca-a083-3916f0bccd76,Boston College,836094.0,20957.0,1729806320462.0,,6137,1995-07-01,77,,3122818.0,,True,,,,,Don Bosco Prep (NJ),13667.0,[],Active,,sweeney,tommy,,nfl,29.0,6.0,,,BAB992EBEF7A,,Out,Tommy,['TE'],836094.0,,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",Sweeney,,Undisclosed,#tommysweeney-NFL-FA-87,TE,9999999.0,,87.0,tommysweeney,Tommy Sweeney,,255,32060.0
,692c0a10-2313-11f0-8b96-b1b768d28795,North Carolina A&T,,,,,12784,,77,,,,True,,bf4867ef-319c-46a1-b13d-95e9d196fb92,,,South Mecklenburg (NC),,[],Active,,ivey,jason,,nfl,,0.0,,,DD416D5CB3BFBAA4,,,Jason,['OL'],,,"{'channel_id': '1222062624800247808', 'rookie_year': '2025'}",Ivey,,,#jasonivey-NFL-FA-72,OL,9999999.0,,72.0,jasonivey,Jason Ivey,,300,
,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,Georgia,,25996.0,1759184144207.0,,12602,2004-06-29,77,1.0,,SF,True,,6ab0ff51-a9df-494f-833d-8f6d8bd6649c,,,Hardaway (GA),18584.0,[],Active,,williams,mykel,,nfl,21.0,0.0,,,8E27972C8FB706B4,,,Mykel,['DL'],,,"{'channel_id': '1221352992523952128', 'rookie_year': '2025', 'source_id': '54326870-84a6-11ec-a2e6-affc80bcd2fc'}",Williams,RDE,,#mykelwilliams-NFL-SF-98,DL,335.0,,98.0,mykelwilliams,Mykel Williams,,267,
,c242e360-ec6c-11ed-9b1c-797c54fc9d07,South Florida,1124148.0,,,,11340,1999-12-29,76,,,,True,,,,,Bartram Trail (FL),,[],Active,,cecil,brad,,nfl,25.0,2.0,,,,,,Brad,['OL'],,,"{'channel_id': '1116852678471712768', 'rookie_year': '2023'}",Cecil,,,#bradcecil-NFL-FA,OL,9999999.0,,,bradcecil,Brad Cecil,,300,
00-0034668,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,James Madison,750486.0,20379.0,1743032417495.0,,5668,1994-02-18,75,,3049339.0,NYG,True,,ef76f3a4-3ef6-44b5-9149-7ae9c819b5f6,,,St. Anne's-Belfield (VA),13303.0,[],Active,,stinnie,aaron,,nfl,31.0,7.0,,,15D6D87D37FB,,,Aaron,"['OG', 'OL']",,,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",Stinnie,OL,,#aaronstinnie-NFL-NYG-64,G,9999999.0,,64.0,aaronstinnie,Aaron Stinnie,,312,31619.0
,266a09c0-262e-11f0-9779-dd9f3cf183b7,Marshall,,26287.0,1755570034925.0,,13132,2001-09-22,72,,,TB,True,,d5ad5509-dfa8-4054-aa57-be2f1c89927c,,,Cabell Midland (WV),19064.0,[],Inactive,,roberts,jj,,nfl,24.0,0.0,,,9148DF6B7A1F3CAA,,IR,JJ,['DB'],,,"{'channel_id': '1223497110247190528', 'rookie_year': '2025'}",Roberts,DB,Knee,#jjroberts-NFL-TB-36,DB,699.0,,36.0,jjroberts,JJ Roberts,,195,
00-0032583,a204547e-ecd3-4116-909a-ce823caa9067,East Carolina,,18334.0,1523486701657.0,,3561,1993-02-24,78,,2981998.0,,True,,,,,North Davidson,10946.0,[],Active,,williams,bryce,,nfl,28.0,6.0,,,,,,Bryce,['TE'],609814.0,,{'channel_id': '1116852875503337472'},Williams,,,#brycewilliams-NFL-FA-80,TE,9999999.0,,80.0,brycewilliams,Bryce Williams,,258,29879.0
,4a99b4bf-e03e-4253-8b9b-c070ef796daf,Stanford,,12857.0,,,832,1989-07-26,"6'1""",,14131.0,,False,,,,,,7411.0,[],Inactive,,whalen,ryan,,nfl,29.0,3.0,,,,,,Ryan,['WR'],,,,Whalen,,,#ryanwhalen-NFL-FA-81,WR,9999999.0,,81.0,ryanwhalen,Ryan Whalen,,202,24954.0
